date,value
2002-01-04,3.209600
2002-01-07,3.200300
2002-01-08,3.522500
2002-01-09,3.589600
2002-01-10,3.578400
2002-01-11,3.453200
2002-01-14,3.511400
2002-01-15,3.502300
2002-01-16,3.441400
2002-01-17,3.451100
2002-01-18,3.296800
2002-01-21,3.256300
2002-01-22,3.318200
2002-01-23,3.189700
2002-01-24,3.258100
2002-01-25,3.079500
2002-01-28,3.158400
2002-01-29,3.810000
2002-01-30,3.215200
2002-01-31,3.218600
2002-02-01,3.201600
2002-02-04,3.218000
2002-02-05,3.189300
2002-02-06,3.189700
2002-02-07,3.249100
2002-02-08,3.208500
2002-02-09,3.194800
2002-02-10,3.208400
2002-02-11,3.217300
2002-02-19,3.167900
2002-02-20,3.164700
2002-02-21,3.158300
2002-02-22,3.223700
2002-02-25,3.161600
2002-02-26,3.151200
2002-02-27,3.148100
2002-02-28,3.131500
2002-03-01,3.115500
2002-03-04,3.082800
2002-03-05,3.085000
2002-03-06,3.086400
2002-03-07,3.084000
2002-03-08,3.065600
2002-03-11,3.073000
2002-03-12,3.004400
2002-03-13,2.987200
2002-03-14,2.979800
2002-03-15,3.018800
2002-03-18,3.023200
2002-03-19,2.944200
2002-03-20,3.000900
2002-03-21,2.950800
2002-03-22,2.946800
2002-03-25,2.916600
2002-03-26,2.905200
2002-03-27,3.071400
2002-03-28,3.053600
2002-03-29,2.855100
2002-04-01,2.743300
2002-04-02,2.704800
2002-04-03,2.917900
2002-04-04,2.732300
2002-04-05,3.269900
2002-04-08,2.734600
2002-04-09,2.798200
2002-04-10,2.715800
2002-04-11,2.673700
2002-04-12,2.673600
2002-04-15,2.637400
2002-04-16,2.565300
2002-04-17,2.618100
2002-04-18,2.527500
2002-04-19,2.580000
2002-04-22,2.586500
2002-04-23,2.563700
2002-04-24,2.605000
2002-04-25,2.547800
2002-04-26,1.977500
2002-04-27,2.630400
2002-04-28,3.518600
2002-04-29,2.536300
2002-04-30,2.502200
2002-05-08,2.536300
2002-05-09,2.519200
2002-05-10,2.497200
2002-05-13,2.507200
2002-05-14,2.544700
2002-05-15,2.503500
2002-05-16,2.495900
2002-05-17,2.542300
2002-05-20,2.483700
2002-05-21,2.496100
2002-05-22,2.547600
2002-05-23,2.554700
2002-05-24,2.498300
2002-05-27,2.446200
2002-05-28,2.417800
2002-05-29,2.419900
2002-05-30,2.392400
2002-05-31,2.381000
2002-06-03,2.335300
2002-06-04,2.738500
2002-06-05,2.802800
2002-06-06,2.401600
2002-06-07,2.678600
2002-06-10,2.437600
2002-06-11,2.483100
2002-06-12,2.433900
2002-06-13,2.434100
2002-06-14,2.456400
2002-06-17,2.446700
2002-06-18,2.374100
2002-06-19,2.481800
2002-06-20,2.451700
2002-06-21,2.460600
2002-06-24,2.493600
2002-06-25,2.708100
2002-06-26,2.698200
2002-06-27,2.591200
2002-06-28,2.579800
2002-07-01,2.571900
2002-07-02,2.525800
2002-07-03,2.625200
2002-07-04,2.519600
2002-07-05,2.609300
2002-07-08,2.526400
2002-07-09,2.515400
2002-07-10,2.594100
2002-07-11,2.570700
2002-07-12,2.553600
2002-07-15,2.839600
2002-07-16,2.702200
2002-07-17,2.755400
2002-07-18,2.756400
2002-07-19,2.931200
2002-07-22,2.969100
2002-07-23,2.875800
2002-07-24,2.978500
2002-07-25,2.781600
2002-07-26,2.893100
2002-07-29,2.796200
2002-07-30,2.811500
2002-07-31,2.869000
2002-08-01,2.980500
2002-08-02,3.028700
2002-08-05,3.005400
2002-08-06,2.941500
2002-08-07,2.990000
2002-08-08,2.875300
2002-08-09,3.174100
2002-08-12,3.080400
2002-08-13,2.973700
2002-08-14,3.003800
2002-08-15,2.988000
2002-08-16,3.345100
2002-08-19,3.341100
2002-08-20,3.389600
2002-08-21,3.399100
2002-08-22,2.800700
2002-08-26,3.375100
2002-08-27,3.332100
2002-08-28,3.326200
