date,open,high,low,close,volume
2006-02-06,19.462568,19.549773,19.105821,19.185099,771500
2006-02-07,19.066180,19.185097,18.590518,18.630156,674400
2006-02-08,18.622228,18.764927,18.495385,18.550879,335400
2006-02-09,18.677723,18.883844,18.638085,18.725290,705900
2006-02-10,18.749072,18.780784,18.313048,18.384398,276700
2006-02-13,18.384400,18.392327,18.051435,18.099001,237600
2006-02-14,18.075213,18.098997,17.924588,17.948370,256400
2006-02-15,17.995940,18.019723,17.631264,17.686758,404800
2006-02-16,17.702615,17.932520,17.639193,17.900808,463600
2006-02-17,18.011794,18.170349,17.980084,18.154493,467700
2006-02-21,18.511241,18.550879,18.313048,18.455748,714100
2006-02-22,18.352686,18.471602,18.114855,18.154493,543900
2006-02-23,18.114856,18.313049,17.948373,18.091072,380400
2006-02-24,18.392331,18.590524,18.233775,18.582596,535300
2006-02-27,18.392324,18.431962,18.170347,18.217913,664500
2006-02-28,18.273408,18.471601,18.122782,18.463675,579700
2006-03-01,18.455748,18.455748,18.273409,18.424036,270500
2006-03-02,18.519171,18.804568,18.447821,18.757002,885900
2006-03-03,18.844206,18.939338,18.677723,18.931410,362900
2006-03-06,18.828349,18.828349,18.431962,18.630156,588300
2006-03-07,18.471602,18.503314,18.209987,18.305120,341300
2006-03-08,18.059364,18.154496,17.861171,18.011797,243700
2006-03-09,18.114854,18.225842,18.019721,18.194132,413100
2006-03-10,18.019721,18.186204,17.861168,18.114855,398800
2006-03-13,18.114857,18.360616,17.988013,18.352688,328800
2006-03-14,18.344758,18.653940,18.297192,18.622229,331700
2006-03-15,18.606372,18.661868,18.360613,18.416107,566900
2006-03-16,18.416110,18.614303,18.305122,18.574665,642100
2006-03-17,18.606373,18.646012,18.431963,18.487457,324200
2006-03-20,18.408179,18.511240,18.043504,18.106926,495500
2006-03-21,18.075218,18.265484,17.956302,18.170351,412200
2006-03-22,18.233771,18.273409,18.043506,18.138638,283800
2006-03-23,18.194136,18.447823,18.075218,18.447823,224500
2006-03-24,18.408178,18.542950,18.336829,18.408178,310800
2006-03-27,18.455747,18.574663,18.392325,18.519169,147300
2006-03-28,18.542953,18.772858,18.542953,18.757002,355200
2006-03-29,18.725291,18.883844,18.669795,18.883844,319600
2006-03-30,18.883846,19.169244,18.883846,19.113750,603700
2006-03-31,18.978979,19.082039,18.788714,18.978979,402600
2006-04-03,19.169241,19.296084,19.026541,19.066179,406400
2006-04-04,18.978975,19.018613,18.828348,18.963120,201400
2006-04-05,19.026545,19.185100,18.986907,19.082039,297300
2006-04-06,19.288155,19.470492,19.288155,19.422926,619900
2006-04-07,19.304014,19.367436,19.145459,19.335724,415600
2006-04-10,19.573557,19.700400,19.430858,19.692472,497100
2006-04-11,19.700396,19.779674,19.502203,19.771746,537900
2006-04-12,19.755895,19.882738,19.621123,19.732111,517700
2006-04-13,19.621124,19.858955,19.541847,19.858955,233200
2006-04-17,19.977874,20.096789,19.882740,20.073006,526600
2006-04-18,20.120569,20.382184,20.065075,20.334618,886800
2006-04-19,20.366331,20.612090,20.255341,20.532812,558500
2006-04-20,20.516956,20.516956,20.057148,20.294981,640100
2006-04-21,20.350475,20.778572,20.223632,20.723078,559000
2006-04-24,20.604158,20.683436,20.263266,20.310833,481900
2006-04-25,20.477318,20.532812,20.231559,20.374258,550700
2006-04-26,20.398041,20.532812,20.255341,20.294981,493900
2006-04-27,20.176066,20.223632,19.914451,19.977873,427100
2006-04-28,20.176062,20.429749,20.104712,20.310833,453800
2006-05-01,20.405969,20.651728,20.350475,20.532812,571700
2006-05-02,20.723078,20.810283,20.596234,20.770645,516300
2006-05-03,20.762719,20.786501,20.294983,20.398043,422000
2006-05-04,20.287054,20.453536,20.017511,20.152283,445500
2006-05-05,20.318763,20.429752,20.215703,20.374258,377300
2006-05-08,20.136423,20.318760,19.938229,20.318760,342900
2006-05-09,20.485248,20.770647,20.453537,20.635876,1164700
2006-05-10,20.715147,21.151173,20.635871,21.151173,757600
2006-05-11,21.539631,21.539631,21.254233,21.357294,1037600
2006-05-12,21.404861,21.523777,21.182885,21.285946,1040100
2006-05-15,20.707223,20.778571,20.453534,20.564524,685200
2006-05-16,20.572449,20.841992,20.461460,20.627943,602500
2006-05-17,20.810280,20.810280,20.318761,20.596231,785100
2006-05-18,20.524881,20.612086,20.398037,20.604158,263100
2006-05-19,20.255343,20.294982,19.977873,20.152283,724900
2006-05-22,19.898591,20.318759,19.898591,20.310833,863900
2006-05-23,20.556593,20.826136,20.493172,20.627943,855100
2006-05-24,20.398040,20.461462,20.017510,20.104715,402700
2006-05-25,20.176064,20.453533,20.104714,20.453533,324200
2006-05-26,20.509030,20.770645,20.405969,20.651728,333400
2006-05-30,20.715147,20.746858,20.421822,20.540737,429400
2006-05-31,20.413897,20.485247,20.001655,20.231560,337500
2006-06-01,19.977871,20.231558,19.740039,19.985798,584800
2006-06-02,20.136424,20.501100,20.057146,20.382183,349300
2006-06-05,20.429754,20.548669,20.255343,20.326693,492100
2006-06-06,20.136427,20.215704,19.977873,20.152283,329000
2006-06-07,20.057146,20.096785,19.898592,20.017508,176800
2006-06-08,19.827243,19.866881,19.581484,19.803459,722700
2006-06-09,19.938232,20.057148,19.819317,19.835173,343800
2006-06-12,19.962016,20.041293,19.541846,19.597340,362400
2006-06-13,19.264372,19.462566,19.026541,19.066179,900600
2006-06-14,19.066183,19.224738,19.026545,19.058256,265700
2006-06-15,19.264374,19.367435,19.161314,19.264374,289100
2006-06-16,19.193027,19.304016,19.026545,19.304016,202400
2006-06-19,19.097895,19.161317,18.899702,18.947268,178200
2006-06-20,19.034470,19.137530,18.947265,19.105820,318000
2006-06-21,19.066183,19.422931,19.002761,19.383293,302100
2006-06-22,19.367438,19.446716,19.272305,19.375366,171900
2006-06-23,19.200952,19.422929,19.200952,19.335724,151400
2006-06-26,19.311941,19.581484,19.185098,19.549772,150400
2006-06-27,19.565629,19.716256,19.438785,19.621122,227800
2006-06-28,19.557703,19.636981,19.367438,19.541847,205500
2006-06-29,19.629050,19.969942,19.605266,19.969942,346300
2006-06-30,20.041292,20.176063,20.041292,20.057146,405600
2006-07-03,20.334619,20.604162,20.152282,20.588306,144500
2006-07-05,20.255341,20.445608,20.215703,20.429752,998200
2006-07-06,20.429752,20.564524,20.294981,20.564524,675800
2006-07-07,20.564520,20.564520,20.334615,20.413893,391300
2006-07-10,20.334620,20.421826,20.183993,20.271198,204700
2006-07-11,20.604161,20.754788,20.501101,20.715149,232800
2006-07-12,20.849919,20.929196,20.572450,20.921268,395000
2006-07-13,20.952981,21.032259,20.826138,20.913342,418000
2006-07-14,21.167029,21.198740,20.873703,21.008474,462800
2006-07-17,20.865777,21.000548,20.461462,20.532812,191500
2006-07-18,20.683437,20.818208,20.255339,20.405966,206100
2006-07-19,20.350474,20.477318,20.017510,20.477318,236400
2006-07-20,20.604162,20.691367,20.168138,20.263269,293100
2006-07-21,20.374258,20.374258,20.041294,20.207775,151700
2006-07-24,20.112644,20.294981,19.906523,20.294981,214300
2006-07-25,20.366330,20.405968,19.977871,20.120569,428100
2006-07-26,20.001654,20.279124,19.962016,19.985798,225200
2006-07-27,20.374258,20.437680,20.215703,20.374258,155900
2006-07-28,20.374256,20.413894,20.017507,20.302906,180700
2006-07-31,20.374259,20.509030,20.168138,20.501102,241400
2006-08-01,20.532810,20.651725,20.421822,20.596231,200300
2006-08-02,20.731006,20.929199,20.707223,20.873705,642000
2006-08-03,20.612091,20.699296,20.469391,20.675512,181000
2006-08-04,20.731005,20.746861,20.461462,20.651728,136900
2006-08-07,20.723074,20.976761,20.723074,20.976761,293200
2006-08-08,20.754787,20.849919,20.572450,20.683437,243800
2006-08-09,20.715149,20.881632,20.612089,20.715149,217000
2006-08-10,20.588304,20.596232,20.271195,20.445606,347100
2006-08-11,20.524883,20.548667,20.096786,20.247414,179500
2006-08-14,20.017508,20.088858,19.882737,20.057146,123400
2006-08-15,20.065074,20.128496,19.954086,20.088858,247200
2006-08-16,20.057147,20.080930,19.827243,19.874809,228200
2006-08-17,19.692473,19.779679,19.422931,19.565630,617000
2006-08-18,19.684544,19.700399,19.470495,19.668688,180900
2006-08-21,19.684544,19.827244,19.629051,19.827244,259800
2006-08-22,19.803460,19.835172,19.700400,19.795532,281500
2006-08-23,19.755894,19.755894,19.525989,19.589411,322600
