date,open,high,low,close,volume
2003-09-29,49.314637,49.319459,49.223035,49.256783,13600
2003-09-30,49.319436,49.531560,49.314614,49.512276,62600
2003-10-01,49.483337,49.536369,49.464052,49.488159,66300
2003-10-02,49.271188,49.488138,49.179591,49.410999,68900
2003-10-03,49.198924,49.198924,49.030184,49.054291,64500
2003-10-06,49.001227,49.169963,48.981942,49.126575,28700
2003-10-07,49.145876,49.145876,48.875894,48.957855,13000
2003-10-08,48.928921,49.198903,48.827680,49.078377,42700
2003-10-09,48.880728,48.933760,48.740917,48.904835,35900
2003-10-10,49.020508,49.198889,49.020508,49.174782,13500
2003-10-13,49.174801,49.223011,48.957855,48.957855,23700
2003-10-14,48.904792,48.977105,48.760159,48.861401,54300
2003-10-15,48.779441,48.808366,48.644452,48.740871,23100
2003-10-16,48.880711,48.957850,48.475744,48.610733,62300
2003-10-17,48.711962,48.842129,48.572151,48.842129,55600
2003-10-20,48.760147,48.919243,48.760147,48.813179,12900
2003-10-21,48.880712,49.044630,48.880712,48.909637,49000
2003-10-22,49.054259,49.150679,48.938555,49.126575,25400
2003-10-23,49.097648,49.112114,49.006050,49.006050,20700
2003-10-24,49.078338,49.247074,49.078338,49.247074,28200
2003-10-27,49.194045,49.232615,49.078341,49.150654,35400
2003-10-28,49.078388,49.343544,49.078388,49.343544,16600
2003-10-29,49.213355,49.222995,49.126575,49.126575,71700
2003-10-30,49.073544,49.155501,49.068721,49.126575,17300
2003-10-31,49.126562,49.126562,48.885509,49.049423,31000
2003-11-03,49.024724,49.068266,48.961826,48.961826,56700
2003-11-04,49.082797,49.145695,49.058609,49.058609,26900
2003-11-05,49.106990,49.140856,49.058609,49.058609,24600
2003-11-06,48.952182,48.957021,48.792522,48.792522,78000
2003-11-07,48.715149,48.816750,48.647416,48.816750,33400
2003-11-10,48.903822,48.932849,48.821574,48.908657,21100
2003-11-11,48.952203,48.961878,48.773191,48.821575,23700
2003-11-12,48.884455,49.029597,48.773176,48.913483,16400
2003-11-13,49.121538,49.305389,49.121538,49.271519,25400
2003-11-14,49.310257,49.426375,49.295743,49.310257,18800
2003-11-17,49.455363,49.552124,49.436010,49.518257,48800
2003-11-18,49.411779,49.518218,49.373077,49.494030,26800
2003-11-19,49.484387,49.494065,49.261833,49.261833,44900
2003-11-20,49.348951,49.474743,49.319923,49.431198,21400
2003-11-21,49.513395,49.561779,49.450501,49.484367,66500
2003-11-24,49.392470,49.416662,49.276356,49.276356,37000
2003-11-25,49.242475,49.469868,49.242475,49.469868,54000
2003-11-26,49.387593,49.416621,49.290829,49.290829,25300
2003-11-28,49.227942,49.227942,49.213428,49.213428,22900
2003-12-01,49.068909,49.151377,48.996142,49.078609,58700
2003-12-02,48.918488,49.068874,48.802062,49.064022,52100
2003-12-03,48.947587,49.165885,48.947587,49.112522,32400
2003-12-04,49.064048,49.238688,49.020390,49.185326,25200
2003-12-05,49.427857,49.432709,49.243516,49.432709,42200
2003-12-08,49.476367,49.500624,49.389047,49.432709,67200
2003-12-09,49.500632,49.529737,49.097990,49.156204,87900
2003-12-10,49.355122,49.359974,49.287206,49.350273,120500
2003-12-11,49.282389,49.549201,49.190220,49.524944,91600
2003-12-12,49.597625,49.646135,49.456942,49.553967,16400
2003-12-15,49.578307,49.602564,49.408519,49.524944,21100
2003-12-16,49.529710,49.573371,49.432689,49.553967,61500
2003-12-17,49.694675,49.748037,49.558845,49.675270,23100
2003-12-18,49.699529,49.791701,49.583104,49.748043,33400
2003-12-19,49.743172,49.772278,49.655852,49.772278,26500
2003-12-22,49.815958,49.869321,49.612209,49.748043,139700
2003-12-23,49.670392,49.723754,49.553967,49.553967,80300
2003-12-24,49.646208,49.718976,49.534635,49.592850,16200
2003-12-26,49.767427,49.840195,49.631597,49.840195,54500
2003-12-29,49.723781,49.772292,49.558846,49.718929,37600
2003-12-30,49.621895,49.670405,49.520022,49.626747,33800
2003-12-31,49.622361,49.695335,49.622361,49.695335,51900
2004-01-02,49.695341,49.714801,49.306144,49.413174,26100
2004-01-05,49.398579,49.471554,49.281822,49.471554,63600
2004-01-06,49.593172,49.714796,49.505603,49.695335,151800
2004-01-07,49.719678,49.841302,49.695356,49.807247,75200
2004-01-08,49.719689,49.865638,49.680772,49.792664,39800
2004-01-09,50.177004,50.240246,50.065112,50.206192,49800
2004-01-12,50.206166,50.230493,50.060220,50.065086,67600
2004-01-13,50.128317,50.196426,50.060208,50.181831,21700
2004-01-14,50.133200,50.225632,50.133200,50.176983,14100
2004-01-15,50.279174,50.279174,50.108902,50.240253,32600
2004-01-16,50.303484,50.376459,50.157534,50.201321,66800
2004-01-20,50.196422,50.249936,50.074798,50.157501,51700
2004-01-21,50.245085,50.249951,50.113733,50.191570,53800
2004-01-22,50.293761,50.371602,50.245113,50.279167,44100
2004-01-23,50.488317,50.493183,50.108853,50.157501,28700
2004-01-26,50.147829,50.152692,49.962959,49.962959,31900
2004-01-27,50.050510,50.181865,50.011593,50.035915,20200
2004-01-28,50.176978,50.303467,49.729405,49.933731,63000
2004-01-29,49.885087,49.885087,49.768330,49.816978,50600
2004-01-30,50.026175,50.026175,49.865631,49.914280,105300
2004-02-02,50.020646,50.084060,49.927959,49.927959,21300
2004-02-03,50.137706,50.137706,49.957217,50.064533,40300
2004-02-04,50.088952,50.093831,49.937730,50.069439,37600
2004-02-05,50.049913,50.079185,49.869424,49.927959,38900
2004-02-06,50.069409,50.137703,50.025508,50.132824,31600
2004-02-09,50.210878,50.245025,50.098679,50.166973,15800
2004-02-10,50.186461,50.186461,50.025484,50.059631,31300
2004-02-11,50.084068,50.337734,49.981627,50.254803,26200
2004-02-12,50.342556,50.342556,50.166942,50.259628,61400
2004-02-13,50.357237,50.484066,50.245037,50.484066,82500
2004-02-17,50.381574,50.391332,50.244986,50.362061,78300
2004-02-18,50.464480,50.488872,50.293746,50.323017,38800
2004-02-19,50.284061,50.391381,50.196254,50.376743,21500
2004-02-20,50.357222,50.362098,50.166971,50.220631,40700
2004-02-23,50.284047,50.366974,50.152334,50.357220,24300
2004-02-24,50.406022,50.435289,50.303581,50.313335,40800
2004-02-25,50.415714,50.474253,50.342541,50.430347,78800
2004-02-26,50.406001,50.410876,50.303560,50.347462,33700
2004-02-27,50.484066,50.498700,50.381625,50.484066,34100
2004-03-01,50.535868,50.550537,50.315830,50.506531,154200
2004-03-02,50.413615,50.477185,50.242474,50.330490,28500
2004-03-03,50.403815,50.403815,50.218001,50.276680,79900
2004-03-04,50.403839,50.413617,50.281595,50.398949,116500
2004-03-05,50.804839,50.848845,50.359867,50.770611,68900
2004-03-08,50.927058,50.951505,50.790145,50.941727,44100
2004-03-09,50.941747,51.063992,50.878181,51.015095,46400
2004-03-10,51.000416,51.029753,50.912399,50.956406,38800
2004-03-11,51.117737,51.117737,50.809682,51.068840,56000
2004-03-12,51.000400,51.010178,50.858596,50.912384,42300
2004-03-15,50.927071,50.985746,50.853724,50.922180,61300
2004-03-16,50.892844,51.083545,50.760818,51.044426,53200
2004-03-17,51.137312,51.137312,50.966171,51.019955,28300
2004-03-18,51.010200,51.078657,50.863505,50.971081,27000
2004-03-19,50.971089,51.000430,50.799947,50.917301,132500
2004-03-22,50.971120,51.059136,50.912445,51.049358,23300
2004-03-23,51.024858,51.078646,50.936842,51.054199,45500
2004-03-24,51.098256,51.108034,50.971121,51.083588,31300
2004-03-25,51.024858,51.063977,50.936842,51.054199,39000
2004-03-26,51.000403,51.024850,50.741242,50.878159,102300
2004-03-29,50.746144,50.790154,50.589671,50.785263,210100
2004-03-30,50.819516,50.829294,50.584805,50.584805,243200
2004-03-31,50.755918,50.892831,50.707017,50.829262,105100
2004-04-01,50.873391,50.873391,50.672409,50.853783,128500
2004-04-02,50.201823,50.476337,50.201823,50.388100,165600
2004-04-05,50.025381,50.172440,50.025381,50.079304,77500
2004-04-06,50.221447,50.245959,50.069485,50.221447,54800
2004-04-07,50.236137,50.329274,50.098877,50.098877,207600
2004-04-08,50.147916,50.290072,50.123404,50.128307,18700
2004-04-12,50.172386,50.196897,50.040032,50.113564,88400
2004-04-13,49.991019,50.049841,49.858662,50.025333,110800
