date,open,high,low,close,volume
2002-07-30,40.505097,40.594076,40.386456,40.421059,41300
2002-07-31,40.559513,40.821506,40.559513,40.791843,32600
2002-08-01,40.801685,40.979643,40.791797,40.959869,71400
2002-08-02,41.038974,41.375117,40.979658,41.276253,120300
2002-08-05,41.365219,41.483856,41.291069,41.483856,159300
2002-08-06,41.281233,41.281233,41.043954,41.147762,90100
2002-08-07,41.123013,41.350402,41.078521,41.276253,38100
2002-08-08,41.192213,41.226816,41.073572,41.132893,142600
2002-08-09,41.187254,41.464076,41.187254,41.439362,99600
2002-08-12,41.572854,41.661833,41.498704,41.523422,38100
2002-08-13,41.681646,41.889263,41.553120,41.854660,109300
2002-08-14,42.012788,42.131429,41.701364,41.731022,146100
2002-08-15,41.523407,41.686535,41.399825,41.488804,60500
2002-08-16,41.647003,41.656888,41.162562,41.216938,55800
2002-08-19,41.281188,41.281188,41.093341,41.256470,41600
2002-08-20,41.424566,41.637127,41.375131,41.637127,56900
2002-08-21,41.414661,41.543187,41.375114,41.533298,37900
2002-08-22,41.424564,41.424564,41.276265,41.310867,43600
2002-08-23,41.385010,41.523421,41.355352,41.498703,26500
2002-08-26,41.483891,41.622302,41.459177,41.518494,27800
2002-08-27,41.399827,41.488805,41.310848,41.394882,38800
2002-08-28,41.567915,41.607462,41.523427,41.548145,40200
2002-08-29,41.805236,41.815120,41.686598,41.740974,101500
2002-08-30,41.810142,41.839800,41.671731,41.820026,28900
2002-09-03,42.206928,42.459902,42.162287,42.276375,110700
2002-09-04,42.241648,42.385493,42.201965,42.261486,77300
2002-09-05,42.459867,42.484670,42.256499,42.430107,57900
2002-09-06,42.206937,42.286303,42.082930,42.102772,32200
2002-09-09,42.132513,42.236678,42.038267,42.043228,88800
2002-09-10,42.018442,42.266456,41.993643,42.192051,21400
2002-09-11,41.968848,42.038292,41.909324,42.038292,77500
2002-09-12,42.063073,42.276365,42.063073,42.256523,39900
2002-09-13,42.350760,42.484690,42.306120,42.454926,125900
2002-09-16,42.514436,42.618601,42.469795,42.469795,108700
2002-09-17,42.360675,42.638449,42.360675,42.608688,30400
2002-09-18,42.618612,42.767421,42.613654,42.658295,76400
2002-09-19,42.866621,42.891424,42.717815,42.871582,61100
2002-09-20,42.807114,42.896399,42.757509,42.856716,128600
2002-09-23,43.094804,43.184089,43.015442,43.099766,293700
2002-09-24,43.184097,43.377547,43.094812,43.253540,158200
2002-09-25,43.005537,43.149385,42.856731,42.926174,88900
2002-09-26,42.821980,42.950945,42.688051,42.896385,256100
2002-09-27,42.946039,43.179173,42.911317,43.179173,199400
2002-09-30,43.352721,43.501527,43.308076,43.432083,97200
2002-10-01,43.162469,43.291815,43.053020,43.053020,150100
2002-10-02,43.067951,43.212224,42.973426,43.197300,43000
2002-10-03,43.207252,43.217204,42.993330,43.172428,37500
2002-10-04,42.868935,43.261955,42.863963,43.217182,61400
2002-10-07,43.371402,43.411202,43.256977,43.386326,80300
2002-10-08,43.247074,43.530645,43.217225,43.306774,134600
2002-10-09,43.500740,43.525612,43.366414,43.525612,94500
2002-10-10,43.480875,43.515699,43.232129,43.276901,120400
2002-10-11,43.122693,43.167466,42.873947,42.968472,133600
2002-10-14,43.082870,43.082870,42.849048,42.933624,51300
2002-10-15,42.456016,42.575417,42.187374,42.212246,167000
2002-10-16,42.252046,42.396320,42.192346,42.212246,124200
2002-10-17,41.898866,42.058063,41.898866,41.988415,205300
2002-10-18,41.993342,42.142588,41.729668,42.112740,98600
2002-10-21,42.137626,42.137626,41.779435,41.789383,572300
2002-10-22,41.814258,41.878931,41.724709,41.769482,197500
2002-10-23,41.888884,42.038133,41.814263,41.859035,64300
2002-10-24,41.814282,42.142625,41.749605,42.058052,41800
2002-10-25,42.266995,42.266995,42.152574,42.242123,566500
2002-10-28,42.341573,42.396297,42.286848,42.291824,22100
2002-10-29,42.495810,42.839081,42.451038,42.674908,118300
2002-10-30,42.600269,42.774395,42.575397,42.669918,53000
2002-10-31,42.610249,43.132614,42.590349,42.888844,71100
2002-11-01,42.796470,42.811445,42.476978,42.631733,63400
2002-11-04,42.407077,42.496933,42.337189,42.496933,85000
2002-11-05,42.432057,42.432057,42.307256,42.382137,426300
2002-11-06,42.262359,42.756567,42.262359,42.521942,135100
2002-11-07,42.771561,42.966249,42.706666,42.936298,68000
2002-11-08,42.976193,43.041092,42.926274,43.041092,27300
2002-11-11,42.981183,43.150913,42.981183,43.150913,52100
2002-11-12,43.160932,43.175907,42.991205,43.016163,48200
2002-11-13,42.996179,43.115990,42.981203,43.066067,330200
2002-11-14,42.761522,42.786480,42.526897,42.526897,71800
2002-11-15,42.382112,42.556831,42.257312,42.556831,40900
2002-11-18,42.496982,42.651737,42.457049,42.596825,35300
2002-11-19,42.741558,42.766515,42.591796,42.631733,11000
2002-11-20,42.726607,42.731600,42.337231,42.397137,251800
2002-11-21,42.217456,42.257393,42.052719,42.152561,95000
2002-11-22,42.207451,42.212440,42.062682,42.102615,144800
2002-11-25,42.182466,42.187459,42.032704,42.037697,49700
2002-11-26,42.202450,42.422100,42.162513,42.417107,103800
2002-11-27,42.217386,42.237355,41.808042,41.932842,324900
2002-11-29,41.917898,42.012747,41.877961,41.992779,15000
2002-12-02,41.691355,42.017854,41.686331,41.977669,78000
2002-12-03,42.103287,42.103287,41.892320,41.972687,38200
2002-12-04,42.163549,42.183642,42.063086,42.118340,135600
2002-12-05,42.012867,42.304205,42.012867,42.233883,194900
2002-12-06,42.605613,42.605613,42.269069,42.404690,194800
2002-12-09,42.444858,42.590527,42.399653,42.565411,143900
2002-12-10,42.545296,42.590506,42.464929,42.530228,154600
2002-12-11,42.675903,42.766319,42.590512,42.670879,287200
2002-12-12,42.645750,42.761278,42.605565,42.706024,69800
2002-12-13,42.685948,42.685948,42.480001,42.550323,32400
2002-12-16,42.590492,42.595516,42.359432,42.374500,37600
2002-12-17,42.520227,42.520227,42.389626,42.475018,73700
2002-12-18,42.635727,42.736191,42.615635,42.736191,106600
2002-12-19,42.801501,42.997400,42.741223,42.957214,187800
2002-12-20,42.927077,42.987355,42.881872,42.957214,79900
2002-12-23,42.881869,42.962236,42.806522,42.932098,109300
2002-12-24,43.112908,43.138021,43.087791,43.092815,37400
2002-12-26,43.097860,43.158134,43.042606,43.158134,85200
2002-12-27,43.333951,43.469576,43.273677,43.414322,149600
2002-12-30,43.419351,43.580089,43.404282,43.494694,60700
2002-12-31,43.543102,43.639002,43.447205,43.482536,194300
2003-01-02,43.204943,43.275605,42.770874,42.796112,106700
2003-01-03,42.750686,42.866776,42.700213,42.866776,518400
2003-01-06,42.801148,42.801148,42.654776,42.760769,214500
2003-01-07,42.760789,42.922302,42.740599,42.897064,101700
2003-01-08,42.987885,43.053503,42.962651,42.997982,162600
2003-01-09,42.690147,42.710337,42.427685,42.478161,98000
2003-01-10,42.680040,42.705278,42.407485,42.523575,235800
2003-01-13,42.498337,42.629568,42.468054,42.599285,219700
2003-01-14,42.700214,42.745642,42.669932,42.700214,204500
2003-01-15,42.780971,42.922295,42.760781,42.796112,239000
2003-01-16,42.730530,42.801192,42.558919,42.781002,205700
2003-01-17,42.977824,43.013155,42.932396,42.957634,60100
