date,open,high,low,close,volume
2010-06-01,986.0200,994.7900,948.1200,973.2300,1356285
2010-06-02,967.6100,997.1200,952.6100,997.1200,1074627
2010-06-03,1002.3500,1026.7000,997.7800,998.3900,1616805
2010-06-04,989.6800,1027.6800,986.5000,1027.6800,1500295
2010-06-07,1005.0300,1075.2200,1001.7000,1069.4700,2655275
2010-06-08,1067.3200,1075.5000,1050.9600,1067.1500,1976720
2010-06-09,1070.8500,1102.1000,1069.4300,1077.8200,2541568
2010-06-10,1077.6800,1119.1100,1076.2800,1117.4800,2197404
2010-06-11,1122.4400,1128.2300,1118.7100,1122.2000,2224874
2010-06-17,1126.1300,1129.6900,1064.8400,1064.8400,1764283
2010-06-18,1052.0700,1053.1400,993.1700,1000.2800,1630650
2010-06-21,991.9600,1043.1600,976.4100,1040.8000,1574797
2010-06-22,1037.0400,1057.3600,1033.6500,1034.9900,1427162
2010-06-23,1026.8600,1056.3500,1023.7400,1047.3400,1257359
2010-06-24,1046.7600,1059.7500,1041.5400,1050.6000,1069132
2010-06-25,1046.2100,1046.2100,999.1600,1016.2800,1237298
2010-06-28,1009.2200,1014.4100,984.2200,987.8300,920673
2010-06-29,985.5700,992.2300,912.5400,913.3100,1497799
2010-06-30,898.2900,921.8100,881.3600,919.3100,1223661
2010-07-01,914.4000,921.2100,882.1900,882.1900,1049572
2010-07-02,878.9500,885.3400,832.6200,873.1200,1288833
2010-07-05,857.3700,870.8600,842.7300,862.2700,915864
2010-07-06,859.2600,898.4500,857.8000,893.7200,1165231
2010-07-07,896.5300,908.5500,890.3400,908.5500,1046162
2010-07-08,912.0000,914.3000,887.0300,905.5100,1098087
2010-07-09,903.5000,936.5300,896.8900,932.1500,1451460
2010-07-12,931.5300,941.0700,924.0600,930.1700,1263617
2010-07-13,924.9500,936.6400,906.3000,931.0800,1468657
2010-07-14,929.7500,937.9300,916.0700,922.3600,1423586
2010-07-15,920.0500,930.5500,892.5600,892.5600,1175880
2010-07-16,885.0700,895.0600,869.0200,892.3000,1009312
2010-07-19,881.6600,910.1800,878.0700,908.0500,938802
2010-07-20,909.5400,937.5400,909.5400,937.0200,1365808
2010-07-21,940.1000,959.0400,938.1600,941.2500,1665745
2010-07-22,938.2200,950.2100,932.0200,950.2100,1326602
2010-07-23,951.8400,964.7400,948.1300,960.5900,1721251
2010-07-26,962.7600,966.7300,954.7600,966.1500,1476035
2010-07-27,963.5400,968.0400,955.7300,957.9700,1361821
2010-07-28,955.1900,972.5300,954.5200,972.5300,1566182
2010-07-29,974.2900,982.0200,965.6100,975.3600,1794193
2010-07-30,971.6600,971.6600,955.9200,968.4300,1458486
2010-08-02,968.4500,994.2300,968.4500,994.2300,1810364
