date,open,high,low,close,volume
2005-01-04,994.7700,994.7700,980.6600,982.7900,7412868
2005-01-05,981.5800,997.3200,979.8800,992.5600,7119108
2005-01-06,993.3300,993.7900,980.3300,983.1700,6288029
2005-01-07,983.0500,995.7100,979.8100,983.9600,7298694
2005-01-10,983.7600,993.9600,979.7900,993.8800,5791697
2005-01-11,994.1900,999.5500,991.0900,997.1400,5849079
2005-01-12,996.6500,996.9800,989.2600,996.7500,5014525
2005-01-13,996.0800,999.4700,992.7000,996.8800,6044065
2005-01-14,996.6200,1006.4600,987.2300,988.3100,7297842
2005-01-17,979.1100,981.5300,965.0800,967.4500,7288188
2005-01-18,967.3700,974.8700,960.2900,974.6900,7311847
2005-01-19,974.3300,974.3300,965.2600,967.2100,6338091
2005-01-20,963.2100,963.2100,952.2300,956.2400,7727106
2005-01-21,954.4600,984.2700,943.4400,982.6000,14450059
2005-01-24,1001.8500,1001.8500,986.2400,998.1300,14359461
2005-01-25,995.6400,997.9500,985.2400,997.7800,9862529
2005-01-26,995.7800,999.4700,988.4800,989.9300,7663290
2005-01-27,987.3400,987.7000,973.7700,974.6300,6945364
2005-01-28,974.6300,975.6200,965.2100,969.2100,5748807
2005-01-31,965.7900,965.7900,953.1400,954.8800,6788706
2005-02-01,953.3300,965.4800,952.7400,955.9500,7433066
2005-02-02,956.7000,1006.9300,956.7000,1006.9100,17057338
2005-02-03,1005.5600,1014.1900,992.1600,993.2200,16974539
2005-02-04,992.2500,1021.0300,989.9400,1016.8600,15736214
2005-02-16,1023.3200,1033.2500,1018.4900,1023.5800,12131293
2005-02-17,1024.4300,1024.4300,1010.4800,1020.6100,8968297
2005-02-18,1020.1200,1021.2000,1005.6300,1006.0500,8139939
2005-02-21,1006.6900,1025.6600,1006.6900,1025.6300,9886094
2005-02-22,1026.8400,1048.6800,1024.5300,1046.7400,17937842
2005-02-23,1046.8100,1049.6100,1036.6300,1043.9400,18696929
2005-02-24,1042.2500,1045.9600,1034.7300,1045.4600,14681788
2005-02-25,1046.2700,1059.4800,1045.9800,1046.7600,18170003
2005-02-28,1046.2100,1048.2800,1035.0400,1039.9900,12971046
2005-03-01,1039.3500,1042.7400,1031.1700,1035.9300,9962090
2005-03-02,1036.3700,1045.7600,1021.0000,1021.3200,14225135
2005-03-03,1019.8800,1028.4000,1014.7500,1027.7100,9203085
2005-03-04,1027.9300,1031.8500,1022.1800,1023.6700,8173641
2005-03-07,1024.4800,1031.3400,1024.4800,1029.8700,7932949
2005-03-08,1033.7900,1049.2900,1032.8500,1048.9900,14295793
2005-03-09,1051.2600,1054.6400,1041.9800,1046.5400,15327488
2005-03-10,1046.6900,1046.6900,1019.6300,1022.4100,13295953
2005-03-11,1021.0800,1028.1200,1016.9300,1027.4300,11476381
2005-03-14,1027.1800,1041.5700,1014.9300,1031.0300,14466089
2005-03-15,1030.8600,1030.9400,1011.6400,1013.5200,12007492
2005-03-16,1011.8500,1012.2000,995.9700,1003.0700,10622782
2005-03-17,1001.9700,1004.8200,992.1200,992.8600,9969011
2005-03-18,991.8900,996.4000,975.7100,978.6600,9652059
2005-03-21,977.3000,983.1800,973.0000,981.8900,7252564
2005-03-22,981.7100,982.1400,959.5600,964.0200,11375717
2005-03-23,962.8200,975.3600,955.9900,959.0100,10930053
2005-03-24,957.4300,965.0600,948.5300,964.8000,9260714
2005-03-25,964.2500,966.9700,959.0600,962.9600,7107322
2005-03-28,961.6500,961.6500,948.8100,960.7000,6669246
2005-03-29,960.4200,968.1200,954.7400,955.1900,7577378
2005-03-30,952.7100,952.7100,936.3800,937.0300,8950164
2005-03-31,934.8500,942.3700,928.3400,942.2000,7859445
2005-04-01,941.4300,989.9000,937.5500,978.1500,16347504
2005-04-04,968.4900,974.0600,956.1300,962.1700,11435093
2005-04-05,960.5400,967.7500,953.5900,955.6000,9534536
2005-04-06,955.6000,977.8600,948.9500,973.6700,14282421
2005-04-07,975.9700,1000.2700,974.3100,984.7300,20754211
2005-04-08,984.6600,1003.7000,979.5300,1003.4500,14762526
2005-04-11,1003.8800,1008.7300,992.7700,995.4200,15936066
2005-04-12,993.7100,993.7100,978.2000,978.7000,10226193
2005-04-13,987.9500,1006.5000,987.9500,1000.9000,16071687
2005-04-14,1004.6400,1006.4200,985.5800,986.9700,12945710
2005-04-15,982.6100,982.6100,971.9300,974.0800,10408955
2005-04-18,970.9100,970.9100,958.6500,963.7700,8598400
2005-04-19,962.9200,968.8700,957.9100,965.8900,9212623
2005-04-20,964.1500,964.1500,946.2000,950.8700,8850705
2005-04-21,948.8600,955.5500,938.5900,943.9800,9946145
2005-04-22,942.9100,947.9100,934.9600,939.1000,10691884
2005-04-25,935.9900,935.9900,920.1600,930.0700,11470478
2005-04-26,928.4300,939.7000,924.6600,937.0800,11690471
2005-04-27,938.5700,938.9100,925.9000,926.6000,10780611
2005-04-28,923.5300,945.5000,914.8300,942.0700,14343486
2005-04-29,940.8100,942.4500,929.8100,932.4000,11235419
2005-05-09,934.6500,937.3900,909.1700,909.1700,8529115
2005-05-10,905.5400,913.3900,892.3100,913.0800,10494331
2005-05-11,911.8400,917.2200,900.4400,901.8500,9042047
2005-05-12,899.9700,900.0600,883.5100,885.8200,10228720
2005-05-13,883.5100,898.5100,875.5800,887.5400,11244906
2005-05-16,885.3900,885.3900,869.3300,875.2700,8224288
2005-05-17,873.0800,888.2800,868.2100,881.4600,8772273
2005-05-18,881.1400,890.4000,871.8200,883.2000,7878610
2005-05-19,882.8400,888.0200,871.2900,884.1700,8149583
2005-05-20,883.5100,891.0200,879.1800,882.7600,7226676
2005-05-23,880.2800,880.2800,862.1000,863.3400,7279795
2005-05-24,861.2000,871.7700,855.5900,868.4600,9206929
2005-05-25,867.6600,876.3000,861.6600,868.4500,7238556
2005-05-26,867.7600,872.8400,854.9600,857.3300,6622786
2005-05-27,855.5900,864.9600,848.4000,849.5100,7749983
2005-05-30,847.6300,858.4600,842.1000,855.6100,6971583
2005-05-31,856.5600,863.2000,853.2900,855.9500,7047821
2005-06-01,855.2100,857.6600,836.0400,837.5300,7902302
2005-06-02,835.4700,835.4900,812.9900,818.3800,9508657
2005-06-03,816.5500,823.8600,807.9700,818.0300,7936056
2005-06-06,816.7300,839.1500,807.7800,839.0000,9009185
2005-06-07,841.5800,858.0900,835.1800,837.2800,13067068
2005-06-08,848.5400,908.8300,844.4700,905.7700,32907839
2005-06-09,907.5700,925.3600,895.0400,912.6000,33141840
2005-06-10,911.9400,911.9400,889.1000,894.5600,22391502
2005-06-13,895.0000,900.1800,877.6900,892.9600,15628002
2005-06-14,895.3900,905.4100,882.8600,883.5400,14343570
2005-06-15,881.2100,881.2500,865.1400,866.8300,11454056
2005-06-16,866.6600,879.4900,861.8300,879.2400,11049685
