date,open,high,low,close,volume
2019-12-31,1000.0000,1000.0000,1000.0000,1000.0000,1020901
2020-01-02,1005.6200,1019.9100,1005.6200,1019.7200,1659070
2020-01-03,1021.6700,1029.0700,1018.6800,1024.4800,1661490
2020-01-06,1020.0000,1040.1400,1020.0000,1027.2800,1843351
2020-01-07,1025.6600,1043.0800,1019.8600,1043.0800,1874966
2020-01-08,1035.8400,1059.4400,1034.5100,1051.1600,2379124
2020-01-09,1060.5800,1081.4000,1060.5800,1078.3100,2113303
2020-01-10,1082.3100,1088.5400,1076.4400,1076.4400,1903194
2020-01-13,1076.7600,1105.8500,1069.7800,1105.8500,1859663
2020-01-14,1107.7800,1133.9000,1107.7800,1118.3100,2453502
2020-01-15,1113.2500,1120.3500,1105.5800,1114.7700,1799324
2020-01-16,1116.5100,1161.4800,1116.5100,1154.3000,2243417
2020-01-17,1159.3700,1252.5600,1159.3700,1238.6600,4408890
2020-01-20,1239.4400,1270.3600,1208.6900,1240.5100,3681523
2020-01-21,1233.6500,1247.8400,1194.8000,1195.0100,2747565
2020-01-22,1178.7800,1247.6100,1157.2900,1244.5300,3421028
2020-01-23,1219.2300,1262.4400,1177.0900,1202.1000,2735159
2020-02-03,1018.2800,1082.7900,1015.6000,1030.5500,3860473
2020-02-04,1049.9600,1153.2300,1049.9600,1153.2300,3479660
2020-02-05,1166.9700,1240.3700,1166.9700,1203.6100,3920360
2020-02-06,1191.7300,1251.8400,1191.7300,1238.7600,3684341
2020-02-07,1240.0400,1307.7600,1234.2300,1307.7600,3745513
2020-02-10,1310.5300,1336.5300,1293.4300,1322.2500,4394874
2020-02-11,1318.4200,1318.4200,1266.2100,1283.5700,3304646
2020-02-12,1274.8000,1360.5500,1274.8000,1348.7000,3113608
2020-02-13,1360.1300,1409.6800,1353.0500,1360.7100,3998880
2020-02-14,1359.3700,1382.9600,1305.9700,1327.2200,3537073
2020-02-17,1332.9700,1381.5500,1332.9700,1381.5500,3279011
2020-02-18,1381.5800,1404.7100,1372.5300,1399.3800,3235241
2020-02-19,1398.7800,1412.1700,1373.4400,1373.4400,3209051
2020-02-20,1377.7600,1390.0200,1321.7300,1348.3400,2829191
2020-02-21,1337.5600,1373.6700,1337.5600,1346.8600,2419280
2020-02-24,1341.9900,1359.2300,1328.7500,1351.7100,2511362
2020-02-25,1312.4800,1371.5800,1312.4800,1367.3700,2923589
2020-02-26,1348.0800,1361.0100,1286.3500,1288.2400,3155495
2020-02-27,1293.1900,1293.1900,1251.4500,1264.9400,2182398
2020-02-28,1206.8600,1231.0900,1187.1000,1191.0600,2606739
2020-03-02,1202.9600,1259.0800,1194.9400,1252.6200,2928261
2020-03-03,1278.2700,1332.8400,1272.0600,1285.0300,2967961
2020-03-04,1268.8300,1277.6900,1226.8000,1255.7200,1932420
2020-03-05,1277.7100,1277.7100,1246.7100,1264.7900,2621460
2020-03-06,1246.1000,1255.0700,1237.6200,1243.3700,1829908
2020-03-09,1216.0400,1223.2500,1171.8600,1171.8600,2345173
2020-03-10,1148.4000,1216.3300,1135.2100,1216.3300,2430773
2020-03-11,1218.5200,1233.4300,1184.7100,1184.7100,2842993
2020-03-12,1161.9200,1177.3600,1151.7900,1167.0700,1752732
2020-03-13,1103.9600,1187.7000,1103.9600,1175.2800,2010674
2020-03-16,1188.0800,1200.4600,1115.0800,1115.0800,1920522
2020-03-17,1132.9500,1141.3900,1079.8400,1131.5500,1712221
2020-03-18,1145.3000,1173.2300,1115.0200,1115.0200,1771201
2020-03-19,1116.2600,1133.7000,1091.2400,1128.9700,1624409
2020-03-20,1140.0900,1148.0900,1114.2900,1127.3700,1238238
2020-03-23,1092.5000,1096.4000,1037.5300,1039.8800,1609856
2020-03-24,1067.0100,1071.3400,1020.2500,1060.8400,1286896
2020-03-25,1097.3100,1110.1000,1094.1600,1101.3200,1489274
2020-03-26,1093.3300,1111.4800,1091.0000,1095.3400,1061917
2020-03-27,1109.5400,1110.5400,1082.9300,1084.5100,1314576
2020-03-30,1062.9000,1062.9000,1021.5000,1035.8300,1223684
2020-03-31,1048.7400,1055.2700,1027.2200,1029.7500,906230
2020-04-01,1026.5800,1060.7100,1026.5800,1037.9300,980423
2020-04-02,1033.5600,1094.8300,1033.5600,1094.8300,1101783
2020-04-03,1089.2400,1095.3100,1074.1900,1080.5300,949517
2020-04-07,1109.6100,1117.7900,1108.7800,1111.6500,1114526
2020-04-08,1104.9600,1117.8100,1100.3100,1104.1500,898135
2020-04-09,1107.4700,1110.0600,1094.9200,1101.2800,821339
2020-04-10,1100.3700,1100.3700,1054.3500,1058.4400,1009644
2020-04-13,1048.2100,1052.0100,1038.8200,1042.1500,676189
2020-04-14,1049.2100,1073.2200,1049.2100,1073.2200,705676
2020-04-15,1076.9400,1101.6700,1076.9400,1088.2000,818561
2020-04-16,1080.8700,1097.2000,1080.8700,1091.9300,730030
2020-04-17,1102.6600,1129.1200,1102.6600,1117.0700,1443511
2020-04-20,1119.2600,1133.3600,1115.7200,1133.3600,938728
2020-04-21,1127.6600,1127.6600,1108.4800,1119.2300,884066
2020-04-22,1108.6800,1135.8500,1108.6800,1135.8500,855651
2020-04-23,1140.8000,1157.8700,1140.5500,1149.7200,1188320
2020-04-24,1148.5900,1155.5400,1139.3100,1144.1500,1290376
2020-04-27,1140.1900,1145.7500,1136.2300,1138.1000,883700
2020-04-28,1130.6200,1130.6200,1037.2600,1113.5100,1582966
2020-04-29,1105.6000,1125.1900,1102.5700,1102.7000,899790
2020-04-30,1107.4300,1171.8000,1107.4300,1166.3500,1387472
2020-05-06,1155.1200,1252.7500,1155.1200,1247.5100,2171815
2020-05-07,1249.6400,1249.6400,1218.2400,1224.1000,1619519
2020-05-08,1230.9100,1272.6300,1230.9100,1240.2500,1440638
2020-05-11,1244.3000,1268.0800,1215.9700,1226.0600,1166807
2020-05-12,1222.3900,1233.6400,1203.1500,1233.5900,1083142
2020-05-13,1227.7200,1252.5800,1227.7200,1247.0300,1098200
2020-05-14,1241.8400,1258.2500,1238.2300,1242.1700,1277442
2020-05-15,1244.7400,1280.0500,1244.7400,1270.4800,1286872
2020-05-18,1279.2900,1279.2900,1253.3300,1254.3000,1517740
2020-05-19,1260.2200,1324.4200,1260.2200,1324.4200,1484171
2020-05-20,1317.4000,1348.5800,1297.6700,1307.0000,2016168
2020-05-21,1305.9100,1309.5100,1251.5200,1251.9300,1529177
2020-05-22,1247.6000,1258.3100,1208.8200,1230.6600,1334374
