date,open,high,low,close,volume
2014-12-31,3000.0000,3000.0000,3000.0000,3000.0000,0
2015-01-02,3006.6100,3006.6100,3006.6100,3006.6100,0
2015-01-05,3007.6400,3007.6400,3007.6400,3007.6400,0
2015-01-06,3002.1800,3002.1800,3002.1800,3002.1800,0
2015-01-07,3024.3400,3024.3400,3024.3400,3024.3400,0
2015-01-08,3052.5200,3052.5200,3052.5200,3052.5200,0
2015-01-09,3063.3800,3063.3800,3063.3800,3063.3800,0
2015-01-12,3047.0700,3047.0700,3047.0700,3047.0700,0
2015-01-13,3053.3000,3053.3000,3053.3000,3053.3000,0
2015-01-14,3056.2100,3056.2100,3056.2100,3056.2100,0
2015-01-15,3065.5800,3065.5800,3065.5800,3065.5800,0
2015-01-16,3031.1400,3031.1400,3031.1400,3031.1400,0
2015-01-19,2988.5600,2988.5600,2988.5600,2988.5600,0
2015-01-20,3001.7300,3001.7300,3001.7300,3001.7300,0
2015-01-21,3046.0100,3046.0100,3046.0100,3046.0100,0
2015-01-22,3023.5500,3023.5500,3023.5500,3023.5500,0
2015-01-23,3041.2800,3041.2800,3041.2800,3041.2800,0
2015-01-26,3080.9600,3080.9600,3080.9600,3080.9600,0
2015-01-27,3087.1100,3087.1100,3087.1100,3087.1100,0
2015-01-28,3128.6800,3128.6800,3128.6800,3128.6800,0
2015-01-29,3095.4000,3095.4000,3095.4000,3095.4000,0
2015-01-30,3059.8000,3059.8000,3059.8000,3059.8000,0
2015-02-02,3039.7500,3039.7500,3039.7500,3039.7500,0
2015-02-03,3098.2800,3098.2800,3098.2800,3098.2800,0
2015-02-04,3128.7600,3128.7600,3128.7600,3128.7600,0
2015-02-05,3104.8400,3104.8400,3104.8400,3104.8400,0
2015-02-06,3103.5400,3103.5400,3103.5400,3103.5400,0
2015-02-09,3075.5800,3075.5800,3075.5800,3075.5800,0
2015-02-10,3077.0200,3077.0200,3077.0200,3077.0200,0
2015-02-11,3081.6000,3081.6000,3081.6000,3081.6000,0
2015-02-12,3093.9100,3093.9100,3093.9100,3093.9100,0
2015-02-13,3122.6400,3122.6400,3122.6400,3122.6400,0
2015-02-16,3149.1800,3149.1800,3149.1800,3149.1800,0
2015-02-17,3146.6700,3146.6700,3146.6700,3146.6700,0
2015-02-18,3122.0400,3122.0400,3122.0400,3122.0400,0
2015-02-23,3164.4800,3164.4800,3164.4800,3164.4800,0
2015-02-24,3171.6600,3171.6600,3171.6600,3171.6600,0
2015-02-25,3191.7100,3191.7100,3191.7100,3191.7100,0
