date,open,high,low,close,volume
2009-01-05,598.2201,601.5325,590.9329,592.2578,1973910
2009-01-06,594.2453,596.8952,589.6079,591.5953,2610390
2009-01-07,602.1951,604.1825,597.5577,600.2076,4086000
2009-01-08,586.9579,589.6079,580.3331,580.3331,2681450
2009-01-09,576.3583,582.3206,575.0333,577.6832,3856500
2009-01-13,553.1715,555.1589,549.8591,549.8591,8353720
2009-01-14,558.4713,560.4588,553.8340,555.8214,3388280
2009-01-15,541.2469,543.2343,537.2720,537.9344,4669110
2009-01-16,548.1510,553.8339,545.2216,553.8339,3078890
2009-01-19,553.1715,555.8214,552.5090,552.5090,2633920
2009-01-20,540.5843,546.5466,539.9218,544.5592,2507130
2009-01-21,538.5968,539.9218,531.9720,532.6345,6456120
2009-01-22,531.9721,540.5844,530.6471,540.5844,2350060
2009-01-23,529.3221,530.6471,524.0223,524.0223,3707400
2009-01-26,524.0223,527.3347,520.0474,520.0474,1301030
2009-01-27,541.2467,543.2342,539.2593,543.2342,2806210
2009-01-28,543.8968,549.8591,542.5718,545.8842,2054450
2009-01-29,552.5089,553.1714,546.5466,551.8464,2154810
2009-01-30,537.9344,538.5969,531.9721,538.5969,4092460
2009-02-02,529.9847,529.9847,522.6974,524.6849,2823540
2009-02-03,533.9594,539.9218,522.6973,523.3597,1957090
2009-02-04,529.9846,538.5968,529.3221,535.2844,2184820
2009-02-05,537.2719,541.2468,530.6471,531.3096,1149120
2009-02-06,538.5968,538.5968,532.6345,535.2844,1645980
2009-02-09,536.6095,536.6095,526.6723,526.6723,1590170
2009-02-10,529.3222,530.6472,524.0224,526.6723,3025550
2009-02-12,515.4100,517.3975,512.7601,514.0851,3913820
2009-02-13,516.0726,516.0726,516.0726,516.0726,2834630
2009-02-16,518.7225,522.0349,518.0600,520.0474,5177450
2009-02-17,513.4225,514.0850,512.7600,512.7600,3290570
2009-02-18,506.7978,508.7853,504.8104,506.7978,2470060
2009-02-19,504.1478,512.0976,504.1478,508.7852,1827930
2009-02-20,504.1479,505.4729,500.8355,500.8355,3242320
2009-02-23,499.5105,500.1730,493.5482,496.8606,3999120
2009-02-24,489.5733,494.8731,488.2483,494.2106,2886310
2009-02-25,500.1731,505.4729,496.1982,505.4729,3013120
2009-02-26,506.1353,508.7852,500.1730,502.1604,2349450
2009-02-27,505.4727,512.7600,505.4727,512.0975,2370290
2009-03-02,498.8480,498.8480,494.2107,497.5231,2309210
2009-03-03,493.5481,496.1981,490.8982,492.8857,2257470
2009-03-04,489.5732,498.1855,489.5732,495.5356,2554680
2009-03-05,506.1353,507.4603,502.1604,502.1604,1792160
2009-03-06,493.5482,494.8731,488.9108,488.9108,2623530
2009-03-09,481.6235,485.5984,477.6486,482.2860,5603430
2009-03-10,475.6612,478.9736,474.9987,475.6612,5275370
2009-03-11,492.8857,494.2107,488.2484,488.2484,3542500
2009-03-12,476.3237,478.3111,473.0113,476.3237,3105880
2009-03-13,489.5733,489.5733,488.2483,488.9108,4138830
2009-03-16,506.1353,506.1353,501.4980,502.1604,2696970
2009-03-17,508.7852,515.4100,507.4603,515.4100,4236210
2009-03-18,518.0599,520.7099,512.0976,517.3975,4600950
2009-03-19,516.7350,520.0474,511.4351,517.3975,2935340
2009-03-23,529.9846,537.2719,529.9846,536.6094,5911570
2009-03-24,544.5592,549.8591,541.2468,549.8591,4661210
2009-03-25,551.1840,555.8214,547.8716,552.5090,2512100
2009-03-26,559.7962,566.4210,558.4712,566.4210,2586210
2009-03-27,569.7335,573.0459,563.7712,564.4337,3843850
2009-03-30,551.8465,555.1590,537.9344,537.9344,4236040
2009-03-31,543.2343,543.2343,524.6848,527.9973,4795530
2009-04-01,542.5718,543.8967,536.6094,543.8967,5243820
2009-04-02,561.7838,563.7712,559.1339,563.7712,10484930
2009-04-03,569.7334,575.0333,563.7711,567.7460,4143300
2009-04-06,577.6831,578.3456,565.0960,567.0834,2733290
2009-04-07,570.3959,570.3959,567.0835,570.3959,1998820
2009-04-08,559.1337,559.1337,558.4713,558.4713,6771060
2009-04-09,566.4210,576.3582,565.7585,575.0333,1998620
2009-04-10,577.6832,578.3457,569.0710,577.6832,4185450
2009-04-13,580.9956,585.6330,579.0082,581.6581,3092010
2009-04-14,573.7083,578.3457,571.7209,575.0333,3282890
2009-04-15,568.4085,572.3834,564.4336,569.7335,1583150
2009-04-16,578.3457,579.6706,567.0835,567.7460,2276840
2009-04-17,579.0081,579.6706,573.7083,579.6706,3313050
2009-04-20,575.6958,580.3331,574.3708,580.3331,2644550
2009-04-21,561.1211,566.4210,561.1211,566.4210,3060260
2009-04-22,566.4210,569.7334,563.7710,567.0834,1548400
2009-04-23,564.4336,575.0333,563.1086,571.0584,5022010
2009-04-24,574.3708,574.3708,566.4211,568.4085,2528740
2009-04-27,570.3958,571.0583,561.1211,566.4210,5387700
2009-04-28,567.7461,568.4085,555.1589,555.8214,3197110
2009-04-30,574.3709,575.0333,569.0710,573.7084,2431460
2009-05-01,572.3834,577.0208,572.3834,577.0208,1931870
2009-05-07,602.8575,603.5200,595.5702,602.8575,3967670
2009-05-08,602.8576,608.1574,601.5326,608.1574,4787430
2009-05-11,608.8198,614.7821,608.8198,613.4572,5083320
2009-05-12,606.8324,608.1573,602.8575,604.8449,3033270
2009-05-13,603.5200,606.1699,603.5200,606.1699,3396080
2009-05-14,589.6079,591.5954,586.2955,588.2830,3125170
2009-05-15,598.8827,600.2076,597.5577,600.2076,3631620
2009-05-18,585.6331,589.6080,584.9706,586.2956,2251170
2009-05-19,598.8827,600.2076,596.2328,600.2076,2121720
2009-05-20,601.5325,604.1824,601.5325,603.5200,2411630
2009-05-21,596.8952,600.8701,596.2328,600.8701,1232790
2009-05-22,599.5451,599.5451,594.2453,596.2327,1602760
2009-05-25,600.2075,604.1824,598.8825,601.5325,2908160
2009-05-26,599.5450,603.5199,598.2201,602.1949,2420870
2009-05-27,610.8073,612.7948,606.8324,608.8199,3557020
2009-05-28,608.8199,610.8073,608.1574,610.8073,2436090
2009-05-29,608.8199,612.1323,606.8324,610.8073,2914590
2009-06-01,618.0946,621.4070,618.0946,621.4070,4795870
2009-06-02,628.0317,628.6942,622.7319,624.0568,3419100
2009-06-03,623.3944,623.3944,622.7319,623.3944,3878270
2009-06-04,622.7319,623.3944,620.0820,621.4070,3172980
2009-06-05,623.3945,625.3819,622.0695,624.7194,1373640
2009-06-08,630.0192,632.0067,628.0318,630.0192,2041500
2009-06-09,628.0318,628.6942,624.0569,625.3818,2376110
2009-06-10,633.9941,643.9313,633.9941,637.3065,1947960
2009-06-11,638.6315,641.2814,637.9690,641.2814,2560380
2009-06-12,643.9313,649.8936,643.2688,647.9062,2708960
2009-06-15,645.9187,646.5812,642.6063,644.5938,1964040
2009-06-16,626.0443,626.0443,622.0694,623.3944,2822560
2009-06-17,625.3819,628.6943,624.7194,628.6943,2863530
2009-06-18,617.4321,621.4070,616.7696,621.4070,3338550
2009-06-19,623.3943,626.0443,621.4069,624.0568,3107120
2009-06-22,628.0318,632.6692,627.3693,629.3568,2426120
2009-06-23,612.1322,614.7821,611.4697,613.4572,2829080
2009-06-24,612.7947,617.4320,612.7947,614.7821,2165020
2009-06-25,620.0820,631.3442,616.7696,626.7068,2913940
2009-06-26,633.3316,633.3316,626.7068,631.3441,1731060
2009-06-29,632.0066,634.6565,621.4069,624.0568,1803370
2009-06-30,632.6691,635.9815,630.0192,633.3316,3043540
2009-07-01,630.0192,640.6189,627.3693,633.3316,3893820
2009-07-02,635.3191,636.6440,628.6943,630.0192,3330380
2009-07-03,619.4195,627.3693,617.4321,626.7068,1915530
2009-07-06,623.3944,626.7068,620.0820,621.4070,1707220
2009-07-07,612.7948,614.1197,605.5075,608.1574,3050640
2009-07-08,599.5451,599.5451,591.5953,592.2578,2894310
2009-07-09,586.2954,589.6078,582.9830,584.3079,1499640
2009-07-10,586.2954,587.6204,580.9956,582.3206,2653350
2009-07-13,579.0082,586.9580,569.0710,569.7335,2826380
2009-07-14,579.0082,582.3206,576.3582,580.3331,2293200
2009-07-15,584.3080,584.3080,576.3583,579.0082,2558010
2009-07-16,592.2578,592.2578,581.6581,583.6456,2254140
2009-07-17,588.2830,588.9454,584.3081,587.6205,2685870
2009-07-21,600.2075,602.1949,596.2326,602.1949,2882790
2009-07-22,602.8575,607.4949,599.5451,606.1699,2222390
2009-07-23,608.1574,612.1322,604.1825,606.1699,3057150
2009-07-24,616.1071,616.1071,610.8072,614.1196,2534230
2009-07-27,620.7445,625.3819,618.7571,619.4196,2087160
2009-07-28,622.0695,622.7320,617.4321,620.0820,1838480
2009-07-29,619.4195,624.7193,617.4320,620.7444,1685930
2009-07-30,625.3819,626.7069,618.7571,624.7194,1696560
2009-07-31,632.6691,634.6566,629.3567,633.3316,2547050
2009-08-03,637.3064,640.6188,635.9814,639.9563,1905860
2009-08-04,645.9187,648.5687,638.6314,641.9438,2620610
2009-08-05,644.5938,644.5938,633.3316,633.3316,2188840
2009-08-06,635.3189,641.2813,635.3189,639.9563,1520690
2009-08-07,639.2939,639.2939,628.6943,639.2939,3131250
2009-08-10,647.9062,650.5561,643.9313,647.9062,2644180
2009-08-11,648.5687,650.5562,645.9188,650.5562,1779820
2009-08-12,644.5938,645.9187,640.6189,642.6063,1041720
2009-08-13,646.5812,648.5686,644.5937,647.2437,1286390
2009-08-14,647.2437,651.8811,646.5812,649.2311,3660760
2009-08-17,645.9187,646.5812,633.3315,633.9940,1963980
2009-08-18,628.6943,635.3191,628.0318,634.6566,2718280
2009-08-19,634.6565,637.3064,628.6942,632.0066,2564220
2009-08-20,634.6566,641.9439,630.0192,640.6189,1582190
2009-08-21,637.9689,639.9564,626.7067,632.0066,2906480
2009-08-24,646.5812,649.8936,645.2563,645.9188,6250390
2009-08-25,645.2563,647.9062,642.6064,645.9188,1270880
2009-08-26,647.9062,653.2061,647.2437,653.2061,3110980
2009-08-27,647.2437,648.5686,637.9689,644.5938,3018210
2009-08-28,647.2437,648.5686,643.2688,647.2437,2379410
2009-08-31,651.2186,660.4933,640.6189,645.2563,3881640
2009-09-02,632.6691,633.9940,630.0191,633.9940,1905120
2009-09-03,631.3442,633.3316,627.3693,629.3568,1699410
2009-09-04,630.6816,630.6816,622.7319,624.0568,1986080
2009-09-07,630.6816,632.6691,628.6942,631.3441,1200410
2009-09-08,633.9940,633.9940,628.0317,631.3441,1556110
2009-09-09,631.3441,632.0066,624.0569,627.3693,2783470
2009-09-10,632.0067,640.6189,632.0067,638.6315,3455190
2009-09-11,639.9565,640.6189,632.0067,634.6566,3033040
2009-09-14,633.9941,633.9941,620.7445,623.3944,2801890
2009-09-15,626.7068,628.0318,622.0694,623.3944,1971500
2009-09-16,626.0443,630.6817,620.7445,621.4070,1328400
2009-09-17,627.3693,630.6817,622.0695,628.0318,1688880
2009-09-18,624.0569,627.3693,617.4321,627.3693,2294500
2009-09-24,629.3567,637.9689,628.6942,633.9940,7519360
2009-09-25,624.7194,626.7068,618.0946,621.4070,2347180
2009-09-28,611.4698,611.4698,604.1825,608.1574,2808770
2009-09-29,611.4698,612.7948,606.1700,608.1574,1470880
