date,open,high,low,close,volume
2000-10-16,858.5000,873.9000,851.3000,867.1000,193900
2000-10-17,849.6000,860.1000,791.1000,804.0000,218200
2000-10-18,788.5000,811.4000,758.2000,802.6000,241000
2000-10-19,793.6000,820.4000,786.9000,798.4000,204500
2000-10-20,834.7000,840.9000,822.5000,826.2000,221900
2000-10-23,820.0000,829.8000,794.4000,796.4000,182400
2000-10-24,793.6000,809.8000,784.8000,808.9000,204700
2000-10-25,805.0000,816.2000,801.7000,808.6000,214500
2000-10-26,793.8000,802.0000,785.4000,793.8000,195700
2000-10-27,806.4000,810.1000,780.5000,783.7000,222800
2000-10-30,776.4000,779.8000,735.2000,741.8000,167700
2000-10-31,719.3000,748.0000,676.9000,746.8000,225500
2000-11-01,762.0000,771.1000,756.8000,763.6000,240400
2000-11-02,758.0000,790.1000,755.7000,782.5000,253100
2000-11-03,800.7000,809.8000,788.2000,795.4000,242400
2000-11-06,794.0000,816.9000,792.1000,804.6000,246700
2000-11-07,803.9000,810.3000,790.6000,796.3000,276200
2000-11-08,793.8000,804.5000,784.2000,793.1000,238400
2000-11-09,785.3000,801.1000,785.3000,801.1000,211900
2000-11-10,800.5000,810.9000,798.4000,808.3000,246800
2000-11-13,797.2000,798.0000,775.8000,780.7000,243200
2000-11-14,782.3000,800.9000,782.3000,800.9000,287900
2000-11-15,819.3000,834.4000,808.4000,816.4000,368400
2000-11-16,821.1000,822.0000,798.3000,808.6000,293800
2000-11-17,801.6000,812.5000,798.1000,806.8000,285700
2000-11-20,802.0000,810.5000,797.3000,801.7000,281200
2000-11-21,789.3000,791.5000,763.1000,787.0000,312700
2000-11-22,782.4000,793.6000,770.0000,771.3000,299900
2000-11-23,756.6000,758.4000,724.1000,728.3000,290000
2000-11-24,726.0000,739.4000,713.1000,735.0000,263900
2000-11-27,746.1000,759.4000,745.6000,759.4000,276700
2000-11-28,750.2000,750.2000,722.5000,725.0000,270700
2000-11-29,699.0000,699.0000,681.1000,684.5000,261800
2000-11-30,682.1000,687.5000,647.6000,672.6000,308300
2000-12-01,640.8000,678.1000,640.8000,678.1000,341100
2000-12-04,686.2000,691.1000,661.9000,663.8000,327300
2000-12-05,664.5000,670.3000,654.5000,669.6000,334500
2000-12-06,695.4000,706.0000,671.7000,675.4000,402400
2000-12-07,667.4000,684.8000,666.9000,677.2000,299600
2000-12-08,678.2000,686.1000,672.8000,684.1000,310000
2000-12-11,697.0000,711.1000,696.0000,711.1000,289200
2000-12-12,715.2000,716.9000,693.6000,697.7000,304800
2000-12-13,695.3000,707.6000,692.7000,707.5000,294000
2000-12-14,698.0000,712.3000,696.1000,708.5000,307600
2000-12-15,698.8000,714.0000,676.4000,679.4000,270900
2000-12-18,667.0000,671.2000,660.1000,665.7000,222500
2000-12-19,661.8000,664.0000,630.4000,634.0000,283800
2000-12-20,616.7000,616.7000,586.0000,589.8000,235700
2000-12-21,558.5000,573.5000,544.0000,560.6000,218200
2000-12-22,561.3000,569.2000,520.1000,526.7000,203500
2000-12-26,526.1000,529.2000,516.5000,525.8000,180600
2001-01-02,502.5000,559.6000,502.5000,557.0000,201200
2001-01-03,545.8000,579.9000,539.3000,569.0000,285000
2001-01-04,617.7000,621.5000,609.0000,615.1000,233100
2001-01-05,614.5000,630.7000,602.5000,625.2000,367200
2001-01-08,614.9000,657.0000,614.0000,650.0000,358600
