date,open,high,low,close,volume
1996-12-11,705.9900,709.4800,704.4300,704.6800,28000
1996-12-12,705.1100,706.0100,688.7400,689.3800,25900
1996-12-13,690.4400,695.7200,677.6400,689.0700,26500
1996-12-16,686.9700,686.9700,667.7100,673.9200,22800
1996-12-17,675.3500,680.0900,660.3900,663.3500,31600
1996-12-18,662.0700,671.4300,655.4700,661.3900,31500
1996-12-19,668.1300,690.9700,668.1300,690.9700,30400
1996-12-20,695.3300,703.5100,692.4700,700.8700,30000
1996-12-23,691.9800,697.1200,684.8100,684.8100,21500
1996-12-24,683.1100,687.0600,677.5600,677.7600,23800
1996-12-26,676.2100,676.2100,655.2400,659.0100,25500
1996-12-27,654.8200,657.0400,643.5700,651.2200,35100
1997-01-03,647.6700,655.7000,635.4100,653.7900,13900
1997-01-06,637.9800,637.9800,625.0100,626.8700,17600
1997-01-07,622.4500,627.6100,609.1200,611.0500,24100
1997-01-08,608.5300,623.3900,600.5600,621.4100,34200
1997-01-09,619.1000,640.8100,612.4100,639.8700,36100
1997-01-10,637.9900,653.5900,636.8100,648.6900,36500
1997-01-13,659.8100,664.9500,655.7400,659.5400,28700
1997-01-14,656.6700,687.6600,656.6700,686.5900,36600
1997-01-15,690.1800,699.7600,686.0200,699.7600,42000
1997-01-16,701.6400,711.9600,694.3900,711.8600,47300
1997-01-17,713.0700,720.4100,695.7700,701.1800,48200
1997-01-20,697.5600,720.6900,697.5600,718.4600,43000
1997-01-21,721.0400,721.7900,690.5400,690.5400,44300
1997-01-22,686.7100,686.8900,671.9100,678.9400,36700
1997-01-23,679.3400,685.1400,672.7300,676.9100,31000
1997-01-24,669.0300,679.5600,658.1800,679.5600,35500
1997-01-27,684.3100,685.4600,664.6800,664.7000,28300
1997-01-28,661.6600,677.6300,653.4200,662.8500,30400
1997-01-29,663.3300,672.9000,654.9500,663.5600,30200
1997-01-30,663.6500,679.0400,662.2700,676.5200,28800
1997-01-31,678.1900,687.9900,678.1700,685.8400,32000
1997-02-03,682.2600,696.2100,681.0100,687.2500,27300
1997-02-04,687.8400,696.2400,687.8400,695.9500,33100
1997-02-05,698.1800,708.2000,697.9500,698.6000,38600
1997-02-06,698.5400,704.4400,693.8200,700.2200,34100
1997-02-10,701.4300,709.8000,701.4300,709.7900,29300
1997-02-11,711.1100,713.8800,707.8600,713.4300,41400
1997-02-12,714.8200,715.8700,708.7200,712.5000,35300
1997-02-13,713.6400,726.1300,713.6400,716.7100,49800
1997-02-14,717.2900,723.0200,715.0000,721.0000,39100
1997-02-17,720.4200,721.5000,712.9300,712.9300,31500
1997-02-18,712.6200,715.1800,703.9900,706.9400,30400
1997-02-19,708.6400,713.6700,706.5800,713.6700,31100
1997-02-20,713.5000,716.1800,707.8300,711.1300,35000
1997-02-21,710.8700,711.7500,686.7100,686.7200,30800
1997-02-24,681.4800,686.9400,676.1100,676.5900,24100
1997-02-25,676.7300,682.8100,670.4100,682.8100,25300
1997-02-26,683.5900,691.2700,679.6600,679.7100,29900
1997-02-27,678.1100,679.8000,668.7100,669.4100,30300
1997-02-28,669.0100,679.0700,664.7500,676.5300,37800
1997-03-03,677.1800,684.4400,677.1800,679.6400,27000
1997-03-04,679.5100,683.3200,675.8200,679.9700,28100
1997-03-05,680.4800,684.5500,673.6300,674.9000,38800
1997-03-06,675.2500,685.9500,675.2500,678.1100,41300
1997-03-07,679.8300,685.2600,679.8300,681.2200,37400
1997-03-10,673.9100,674.2900,667.2900,667.3500,29400
1997-03-11,665.8300,665.8300,654.9200,655.9500,29800
1997-03-12,655.7600,663.9000,655.0700,663.9000,30000
1997-03-13,663.9100,666.2600,656.8600,657.9000,32100
1997-03-14,657.7300,657.9800,641.8300,642.0800,27600
1997-03-17,642.1700,658.9400,641.0400,658.9000,28400
1997-03-18,659.7300,663.7000,653.2500,657.9700,30500
1997-03-19,656.9000,656.9000,643.0400,646.2900,33000
1997-03-20,642.7300,646.7300,630.3700,642.8600,34100
1997-03-21,640.5200,640.5200,626.3900,627.6300,34200
1997-03-24,622.1400,622.3900,607.8700,617.2600,36200
1997-03-25,616.1100,638.9000,614.9900,638.9000,43000
1997-03-26,640.4500,656.7800,637.3600,656.6200,44000
1997-03-27,657.1000,665.5700,651.5900,651.6500,45600
1997-03-28,652.8800,661.5500,650.7200,652.8700,40700
1997-03-31,670.7500,678.7600,670.7500,677.3400,44000
1997-04-01,678.9700,688.1200,672.0700,672.9900,38600
1997-04-02,672.8200,683.3200,668.7200,678.8600,36300
1997-04-03,680.1400,689.1200,676.4400,678.7400,41700
1997-04-04,679.8800,688.0600,679.1400,687.4200,40600
1997-04-07,688.8800,699.0200,688.8800,694.9000,40700
1997-04-08,695.3500,699.0700,687.8700,694.9700,40100
1997-04-09,695.8600,699.7000,694.5500,698.6600,43800
1997-04-10,698.8800,700.0600,688.0400,688.0400,46100
1997-04-11,688.3900,693.9400,682.4700,693.9400,44200
1997-04-14,698.4400,705.8200,698.4400,704.2000,43300
1997-04-15,706.0500,710.6700,701.3900,701.3900,46700
1997-04-16,701.4300,703.0400,697.7500,702.4200,39100
1997-04-17,702.9800,703.4400,690.6600,694.7600,42900
1997-04-18,695.2100,698.5200,692.5700,695.6700,38700
1997-04-21,702.1600,706.9500,697.3000,697.3400,40300
1997-04-22,696.2800,696.3700,685.9600,687.9600,31400
1997-04-23,688.1700,695.2400,688.0000,693.0500,35100
1997-04-24,694.0400,697.4300,689.2900,690.8000,44000
1997-04-25,691.5700,693.9700,687.4100,692.4800,41600
1997-04-28,703.1300,707.4200,703.1300,704.1600,41700
1997-04-29,705.1300,705.6800,701.0900,704.0500,38100
1997-04-30,705.0000,706.5400,701.8900,703.2300,43700
1997-05-02,704.7700,709.6000,699.1800,706.1000,65400
1997-05-06,706.5300,706.9200,700.3200,701.5700,44500
1997-05-07,700.8700,700.8700,689.0900,689.1000,42000
1997-05-08,688.8900,690.4400,682.7300,684.6900,39800
1997-05-09,685.9100,693.2000,685.9100,687.6200,44700
1997-05-12,678.5000,683.3200,667.6600,672.1000,36800
1997-05-13,673.0800,684.6100,669.0100,683.8600,36000
1997-05-15,684.7400,705.1000,684.7400,699.9500,51200
1997-05-16,702.5100,709.5700,695.9300,699.5300,50100
1997-05-19,710.4100,721.2300,710.4100,721.2000,56900
1997-05-20,723.1600,734.7600,722.3500,734.6700,62800
1997-05-21,735.3000,739.7300,729.3200,737.7100,64200
1997-05-22,737.1800,738.1800,723.5400,724.3800,60000
1997-05-23,723.6700,730.5400,715.5300,730.5300,53900
1997-05-26,724.7100,725.5100,717.3500,718.9900,39300
1997-05-27,719.8200,724.3900,716.5100,723.3500,39800
1997-05-28,724.9700,738.1200,724.9700,738.1200,56100
1997-05-29,745.2600,749.3700,741.8500,742.5000,65100
1997-05-30,742.3800,752.2900,741.0000,746.3600,55200
1997-06-02,758.9200,770.9700,756.8800,758.3900,84900
1997-06-03,758.8900,766.4900,753.3600,766.0600,60600
1997-06-04,766.5400,774.4800,755.0100,763.2500,87900
1997-06-05,762.9200,766.7700,761.6700,765.6700,51300
1997-06-09,764.9100,775.0200,762.4200,775.0100,57000
1997-06-10,777.8800,781.5100,769.1100,769.8300,67100
1997-06-11,769.7000,770.5800,764.9400,765.7900,46200
1997-06-12,767.9400,777.8800,767.9400,774.6600,59700
1997-06-13,775.6700,789.4000,775.6700,789.1500,83700
1997-06-16,793.5700,796.8100,786.1600,789.0500,58700
1997-06-17,790.9900,798.7600,783.3200,792.2900,60000
1997-06-18,793.0200,799.5400,768.0400,773.2100,54300
1997-06-19,769.6900,779.1700,763.1800,770.9500,48700
1997-06-20,772.6000,775.6100,766.2500,770.2200,42200
1997-06-23,759.3300,762.4400,751.8500,753.0500,31700
1997-06-24,751.6300,753.9700,747.2900,753.7000,34500
1997-06-25,753.7200,753.8500,742.5200,744.9900,37300
1997-06-26,746.0700,751.9900,741.7200,744.3400,44400
1997-06-27,743.3900,751.3800,737.9800,738.4300,42400
1997-06-30,746.3000,753.5600,744.2100,745.4000,29300
1997-07-01,744.9800,760.5200,744.6700,758.0300,37000
1997-07-02,763.3900,777.2900,763.3900,777.2900,52200
1997-07-03,778.8200,782.1700,773.2700,775.2600,51200
1997-07-04,776.0200,783.2400,773.9000,781.7000,47900
1997-07-07,777.7000,777.7500,772.1400,773.5100,38400
1997-07-08,773.0000,774.0000,761.5700,767.7400,39600
1997-07-09,768.2600,772.2400,763.9700,771.9900,39400
1997-07-10,771.9900,773.1700,765.5000,767.7700,38300
1997-07-11,766.9100,771.0800,762.7100,768.3000,39400
1997-07-14,767.1700,770.7300,763.6100,764.4500,40000
1997-07-15,762.9300,764.2000,748.4700,755.0500,42000
1997-07-16,750.3500,750.3500,737.5900,739.7200,44000
1997-07-18,737.2300,748.0600,736.7100,747.3700,41000
1997-07-21,741.0200,747.5200,736.9200,740.9300,27900
1997-07-22,740.8900,741.1500,723.4600,725.9800,34700
1997-07-23,723.5600,730.7800,721.6700,730.5800,31800
1997-07-24,729.4200,739.0400,724.9200,739.0400,40300
1997-07-25,739.8200,746.8700,733.5900,733.6400,43300
1997-07-28,732.5600,738.1300,730.9100,733.9200,28300
1997-07-29,733.6800,734.6300,731.4100,732.6800,29200
1997-07-30,733.6300,736.2800,726.0600,726.8900,25500
1997-07-31,724.7800,726.1200,721.4000,726.1200,25800
1997-08-01,726.8400,735.1700,726.7900,731.4500,29000
1997-08-04,729.6600,734.6900,729.2400,734.1900,25800
1997-08-05,734.3700,740.9100,733.6600,740.8600,33700
1997-08-06,740.0400,745.6500,739.6800,745.6500,34100
1997-08-07,746.3800,748.9700,743.4000,745.3500,34200
1997-08-08,745.9700,752.0100,745.9100,752.0100,34000
1997-08-11,762.7700,766.4800,762.3600,765.0700,35600
1997-08-12,766.2600,766.7000,761.8000,762.0200,35300
1997-08-13,762.9900,766.5200,760.9400,762.7300,33400
1997-08-14,762.7800,762.7800,753.6600,755.7800,35900
1997-08-18,747.8400,749.4400,745.3700,747.2900,29000
1997-08-19,746.4600,747.4500,737.5400,741.2900,31600
1997-08-20,741.1600,749.3100,735.3700,746.2300,34900
1997-08-21,745.7500,746.6900,739.4200,739.4700,33900
1997-08-22,738.9200,742.2800,729.7200,736.6200,36200
1997-08-25,744.0400,746.9900,739.9900,741.7600,34900
1997-08-26,740.7700,740.7700,731.5500,734.0300,31400
1997-08-27,732.5500,735.7300,730.2400,730.2800,32700
1997-08-28,729.8600,731.3600,716.6000,716.8600,38300
1997-08-29,714.9700,718.6100,704.2700,704.2700,38800
1997-09-01,691.8000,697.3800,682.1000,682.2000,32300
1997-09-02,679.0900,688.7800,671.0900,688.7800,33200
1997-09-03,690.7300,697.4400,687.3300,688.6300,36200
1997-09-04,687.3700,690.1900,682.2200,687.9900,28800
1997-09-05,688.0400,701.3600,686.9900,700.9200,32900
1997-09-08,703.4600,703.6500,696.0500,697.9800,33600
1997-09-09,694.8300,694.8300,687.7500,688.9700,31100
1997-09-10,687.5200,691.6200,685.6500,691.6200,27500
1997-09-11,690.5000,695.3700,687.6900,695.3700,27100
1997-09-12,694.4700,699.7500,693.6100,699.3300,30500
1997-09-18,700.8100,705.2000,700.8100,701.3900,26400
1997-09-19,700.5700,700.5700,689.1600,689.1600,29200
1997-09-22,678.7700,682.2300,666.9500,668.4500,29300
1997-09-23,666.5600,666.5600,654.3700,654.3700,26600
1997-09-24,653.3000,658.5800,645.4700,655.7500,32200
1997-09-25,655.2200,658.7800,643.3100,647.0000,32900
1997-09-26,644.3800,645.9600,637.2900,638.2600,28800
1997-09-29,625.4400,633.0200,622.0300,625.0700,26700
1997-09-30,623.9300,647.1100,623.3100,647.1100,32700
1997-10-01,646.8600,654.0500,644.9200,644.9200,33700
1997-10-02,644.4400,647.7000,633.7000,636.6500,27900
1997-10-06,644.6800,655.0400,644.1300,644.2100,31200
1997-10-07,642.2500,642.2500,629.4600,630.0300,26900
1997-10-08,627.6800,627.8000,610.1900,610.4400,29000
1997-10-09,607.4900,616.5400,601.1300,609.3600,28600
1997-10-10,612.8200,616.9800,607.3900,609.8400,24000
1997-10-13,618.2200,619.3400,611.8300,613.0000,20800
1997-10-14,619.6700,627.3300,617.2300,620.6800,23900
1997-10-15,621.5000,621.5100,602.8200,604.7400,26000
1997-10-16,598.1300,598.1300,573.4300,579.2500,32400
1997-10-17,577.8700,592.8400,564.4700,585.4900,41300
1997-10-20,584.5900,585.4000,561.0000,565.6400,33000
1997-10-21,559.7700,582.8500,554.5800,566.8500,46300
1997-10-22,569.4700,601.9300,569.4700,601.3200,45600
1997-10-23,602.9900,614.6200,593.9600,604.0600,62300
1997-10-24,596.3300,596.3300,569.8000,570.9100,50000
1997-10-27,549.3100,557.5700,529.1200,530.4700,36800
1997-10-28,522.3900,522.3900,492.3000,495.2800,45600
1997-10-29,500.0500,519.0700,486.6400,506.6400,59500
1997-10-30,499.6500,502.1900,480.5400,485.0800,63600
1997-10-31,476.0800,476.9400,462.8300,470.7900,50700
1997-11-03,497.1100,517.6800,487.6700,511.6600,64800
1997-11-04,514.0800,542.8600,514.0800,542.1300,62900
1997-11-05,547.3300,565.1600,546.3000,555.7400,86400
1997-11-06,555.2100,558.2500,544.5300,553.8700,64500
1997-11-07,554.3800,554.7400,514.9400,515.6300,77000
1997-11-10,501.4500,526.6000,501.4500,525.3200,62400
1997-11-11,521.6200,537.9500,509.4300,522.1100,57500
1997-11-12,521.3300,521.3300,507.2200,517.4900,41700
1997-11-13,521.4600,529.7800,515.5700,519.4700,60400
1997-11-14,519.1400,522.7600,509.5300,520.0100,47000
1997-11-17,517.6500,526.1200,495.4100,496.9800,44700
1997-11-18,489.6900,500.4900,476.3000,494.6600,48800
1997-11-19,494.7400,502.5900,482.9500,502.5900,44200
1997-11-20,504.9400,505.7100,475.8600,488.4100,56900
1997-11-21,493.4300,506.0700,483.2400,506.0700,69900
1997-11-24,477.0900,477.0900,450.0100,450.6400,33200
1997-11-25,441.6600,448.1100,423.6900,439.5900,56800
1997-11-26,436.4500,444.3200,429.5100,438.7000,63400
1997-11-27,439.0500,445.5600,432.8300,433.1000,57800
1997-11-28,430.2500,430.2500,407.2200,411.9100,48600
1997-12-01,405.5200,412.1500,393.1600,393.1600,46900
1997-12-02,389.1200,389.1200,367.3400,376.8700,40900
1997-12-03,369.0100,379.4500,356.8200,379.3100,88200
1997-12-04,383.0600,406.0100,383.0600,405.8100,111200
1997-12-05,417.4300,436.5000,417.4300,434.1200,92200
1997-12-08,432.7800,438.5500,414.6300,414.8300,98100
1997-12-09,410.1300,410.1300,387.9300,388.0000,81300
1997-12-10,396.3300,405.4600,380.4600,399.8500,87200
1997-12-11,398.0600,398.0600,376.1900,377.3700,78000
1997-12-12,362.6500,362.6500,350.6800,350.6800,43900
1997-12-15,367.0400,385.9500,367.0400,385.8000,79500
1997-12-16,393.9200,413.1200,393.9200,404.2600,100700
1997-12-17,404.4800,422.5200,398.9700,418.4900,111300
1997-12-19,416.1100,420.1400,396.5900,397.0200,99300
1997-12-22,402.1200,409.0400,395.4400,396.0600,75200
1997-12-23,391.2700,391.2700,366.3200,366.3600,85900
1997-12-24,361.3200,361.3200,343.3200,351.4500,85800
1997-12-26,359.6500,376.8400,359.6500,375.1500,68600
1998-01-05,389.0800,403.9300,389.0800,396.4900,98400
1998-01-06,396.8400,406.3900,395.8900,406.3400,74800
1998-01-07,407.6900,424.0100,407.2200,409.4200,97700
1998-01-08,409.8800,424.8100,403.0800,423.9600,90000
1998-01-09,420.7700,420.9200,408.3100,414.0000,85300
1998-01-12,447.0700,461.5600,444.0700,456.2000,113100
1998-01-13,456.0000,466.5900,450.0100,463.7400,111800
1998-01-14,466.0000,482.8400,463.8100,475.1300,128200
1998-01-15,479.5500,506.5200,479.5500,505.9800,129200
1998-01-16,512.2700,532.4300,485.8300,488.1000,200100
1998-01-19,502.3100,528.8000,502.3100,528.7700,151200
1998-01-20,529.2500,543.4600,520.4900,533.5500,127800
1998-01-21,529.8200,529.8200,504.0700,506.6600,131200
1998-01-22,503.9900,510.8700,483.9900,483.9900,110800
1998-01-23,483.4700,492.6700,474.4700,486.8600,87500
1998-01-26,512.6100,522.5000,512.1300,518.6400,80800
1998-01-30,528.4800,558.3400,528.4800,558.3300,61300
1998-02-02,556.5800,556.5800,534.3900,543.6800,98000
1998-02-03,547.7000,564.1300,539.6800,550.2100,104600
1998-02-04,552.9700,560.8600,545.7900,547.2800,100300
1998-02-05,546.7400,549.1700,524.3800,528.0500,95200
1998-02-06,539.3100,553.1100,534.7600,540.4500,104100
1998-02-09,543.0800,557.9600,542.9200,554.2400,90800
1998-02-10,554.8300,558.6500,538.3700,541.7700,86200
1998-02-11,539.2200,539.2200,511.8100,520.1400,83000
1998-02-12,516.5000,516.5000,497.2700,512.4900,78100
1998-02-13,519.4700,529.1400,506.2000,506.2000,91700
1998-02-16,482.9300,486.9900,469.8600,476.9800,69400
1998-02-17,475.8800,475.8800,462.2600,471.7300,58900
1998-02-18,475.1600,492.7100,472.6200,487.7300,68800
1998-02-19,488.5600,516.6900,488.5600,513.4500,78000
1998-02-20,518.7100,536.6300,518.7100,522.1300,83900
1998-02-23,537.5500,553.5300,537.5500,543.0600,83500
1998-02-24,541.5800,546.3300,534.0700,540.8900,77000
1998-02-25,539.3800,547.7900,516.1000,516.3800,81900
1998-02-26,516.7200,531.4100,507.5900,524.9800,71700
1998-02-27,527.4000,551.1900,527.4000,548.4200,85900
1998-03-02,562.6600,581.1200,562.6400,574.3500,99900
1998-03-03,577.2400,591.7000,567.5500,570.8900,108900
1998-03-04,570.3300,572.7600,553.2500,572.7600,86400
1998-03-05,570.1300,570.1300,535.6800,535.6800,94300
1998-03-06,530.7600,535.6300,517.0600,522.5500,78400
1998-03-09,526.4000,531.5300,507.7100,507.7100,57500
1998-03-10,507.8200,525.5600,501.8400,525.5600,58400
1998-03-11,522.0600,540.9400,518.3100,531.0500,70200
1998-03-12,534.9500,544.5900,534.5400,535.8400,70500
1998-03-13,537.8400,540.0900,521.8000,536.1600,86400
1998-03-16,535.6000,539.5400,528.8700,528.8800,73100
1998-03-17,528.5400,528.5400,513.4400,515.5100,74500
1998-03-18,516.0000,526.7700,510.8700,518.0800,67800
1998-03-19,518.0000,525.1200,518.0000,521.7300,65300
1998-03-20,522.3800,530.4000,522.3800,525.9500,68500
1998-03-23,521.9100,522.8400,511.8900,511.9000,76200
1998-03-24,512.8000,513.3700,506.1000,508.4300,73500
1998-03-25,509.2500,512.8500,503.7400,510.1400,73900
1998-03-26,508.8900,508.8900,498.4300,501.1300,71800
1998-03-27,501.2000,503.0800,493.9500,503.0800,62900
1998-03-30,493.0500,493.0500,479.5200,482.3300,59000
1998-03-31,482.9100,490.3100,481.0400,481.0400,59400
1998-04-01,482.8800,482.8800,468.2200,468.2200,56200
1998-04-02,464.8700,466.3400,450.2500,453.6600,61000
1998-04-03,449.6400,450.7400,421.9200,434.4500,63200
1998-04-06,441.0800,441.8800,431.8700,435.9200,50100
1998-04-07,437.7100,459.5800,437.7100,459.5800,59000
1998-04-08,458.9600,465.8200,455.1100,455.5300,61900
1998-04-09,467.9900,475.0300,465.4900,468.1100,60700
1998-04-10,467.2300,470.0500,463.7300,468.2900,54000
1998-04-13,488.8400,498.7100,486.1300,494.8900,69800
1998-04-14,491.1900,491.1900,467.0700,467.6300,52900
1998-04-15,466.9400,470.6100,462.0200,467.8700,45700
1998-04-16,465.9000,465.9000,447.3500,454.1500,44600
1998-04-17,450.5300,454.3800,446.4600,450.2300,37000
1998-04-20,441.2200,441.2200,434.4400,435.7300,35700
1998-04-21,434.0800,441.1700,429.3300,439.2100,40300
1998-04-22,437.9700,444.0100,431.8100,431.8100,41600
1998-04-23,428.7600,428.7600,414.2900,416.5400,44600
1998-04-24,416.2100,429.4800,412.3400,414.5600,55100
1998-04-27,411.5900,413.8500,406.0600,406.2500,44800
1998-04-28,406.1600,407.5100,399.4800,402.3900,40200
1998-04-29,403.3400,418.4700,401.1900,417.0500,47100
1998-04-30,418.3100,423.4700,414.6100,421.2200,48900
1998-05-04,401.5300,401.5300,389.8200,391.8000,41600
1998-05-06,388.8000,388.8000,374.5300,376.2300,44200
1998-05-07,376.1100,380.4500,369.9500,379.4700,50100
1998-05-08,376.4600,379.6300,368.5700,373.0400,47600
1998-05-11,372.2900,372.2900,361.5800,361.5800,39300
1998-05-12,356.5500,356.8000,348.6100,351.8600,43800
1998-05-13,349.3800,360.1400,344.5700,356.5800,55300
1998-05-14,354.6900,372.8300,349.0700,362.9400,89200
1998-05-15,361.6900,367.4500,350.9500,352.8300,63600
1998-05-18,353.3800,361.8500,353.3800,359.0000,56800
1998-05-19,360.1600,362.5300,355.0200,362.5300,63500
1998-05-20,364.0600,374.9700,364.0600,369.1700,79100
