date,value
1850-01-01,115.810000
1851-01-01,118.310000
1852-01-01,133.550000
1853-01-01,159.060000
1854-01-01,158.790000
1855-01-01,154.240000
1856-01-01,147.670000
1857-01-01,150.120000
1858-01-01,138.030000
1859-01-01,136.660000
1860-01-01,132.470000
1861-01-01,117.130000
1862-01-01,100.290000
1863-01-01,79.420000
1864-01-01,65.680000
1865-01-01,59.080000
1866-01-01,59.150000
1867-01-01,55.650000
1868-01-01,57.090000
1869-01-01,58.710000
1870-01-01,57.750000
1871-01-01,65.500000
1872-01-01,88.280000
1873-01-01,81.390000
1874-01-01,80.430000
1875-01-01,86.620000
1876-01-01,82.210000
1877-01-01,75.300000
1878-01-01,72.060000
1879-01-01,67.410000
1880-01-01,71.450000
1881-01-01,70.320000
1882-01-01,74.850000
1883-01-01,72.920000
1884-01-01,63.820000
1885-01-01,51.860000
1886-01-01,49.300000
1887-01-01,53.640000
1888-01-01,98.740000
1889-01-01,64.260000
1890-01-01,68.810000
1891-01-01,64.990000
1892-01-01,57.340000
1893-01-01,54.780000
1894-01-01,53.910000
1895-01-01,59.370000
1896-01-01,64.900000
1897-01-01,68.500000
1898-01-01,72.690000
1899-01-01,103.450000
1900-01-01,100.000000
1901-01-01,98.300000
1902-01-01,66.490000
1903-01-01,78.040000
1904-01-01,74.690000
1905-01-01,91.890000
1906-01-01,111.160000
1907-01-01,110.380000
1908-01-01,74.460000
1909-01-01,73.990000
1910-01-01,69.550000
1911-01-01,67.580000
1912-01-01,87.400000
1913-01-01,79.970000
1914-01-01,70.560000
1915-01-01,89.200000
1916-01-01,128.530000
1917-01-01,106.590000
1918-01-01,82.230000
1919-01-01,54.320000
1920-01-01,43.800000
1921-01-01,35.110000
1922-01-01,40.110000
1923-01-01,42.470000
1924-01-01,38.280000
1925-01-01,40.270000
1926-01-01,39.200000
1927-01-01,37.400000
1928-01-01,42.330000
1929-01-01,53.150000
1930-01-01,39.080000
1931-01-01,26.800000
1932-01-01,20.460000
1933-01-01,27.230000
1934-01-01,31.650000
1935-01-01,31.680000
1936-01-01,34.350000
1937-01-01,46.110000
1938-01-01,35.680000
1939-01-01,39.670000
1940-01-01,40.490000
1941-01-01,40.280000
1942-01-01,36.330000
1943-01-01,34.230000
1944-01-01,33.650000
1945-01-01,32.900000
1946-01-01,35.560000
1947-01-01,47.170000
1948-01-01,46.020000
1949-01-01,40.480000
1950-01-01,44.350000
1951-01-01,46.830000
1952-01-01,45.830000
1953-01-01,54.130000
1954-01-01,55.530000
1955-01-01,70.380000
1956-01-01,77.360000
1957-01-01,52.830000
1958-01-01,44.780000
1959-01-01,53.760000
1960-01-01,54.400000
1961-01-01,50.280000
1962-01-01,50.840000
1963-01-01,50.240000
1964-01-01,51.780000
1965-01-01,55.790000
1966-01-01,56.020000
1967-01-01,57.550000
1968-01-01,60.460000
1969-01-01,65.170000
1970-01-01,74.690000
1971-01-01,63.830000
1972-01-01,60.810000
1973-01-01,66.590000
1974-01-01,78.120000
1975-01-01,59.340000
1976-01-01,60.770000
1977-01-01,54.590000
1978-01-01,50.500000
1979-01-01,63.920000
1980-01-01,62.480000
1981-01-01,45.150000
1982-01-01,36.170000
1983-01-01,37.660000
1984-01-01,31.220000
1985-01-01,31.030000
1986-01-01,29.440000
1987-01-01,36.930000
1988-01-01,51.770000
1989-01-01,54.090000
1990-01-01,47.960000
1991-01-01,40.440000
1992-01-01,38.360000
1993-01-01,31.220000
1994-01-01,36.650000
1995-01-01,45.320000
1996-01-01,34.430000
1997-01-01,33.390000
1998-01-01,23.900000
1999-01-01,22.230000
2000-01-01,24.820000
2001-01-01,21.020000
2002-01-01,20.430000
2003-01-01,22.780000
2004-01-01,35.710000
2005-01-01,44.340000
2006-01-01,78.650000
2007-01-01,81.020000
2008-01-01,76.190000
2009-01-01,56.700000
2010-01-01,81.430000
2011-01-01,92.400000
2012-01-01,81.660000
2013-01-01,74.130000
2014-01-01,68.290000
2015-01-01,54.770000
2016-01-01,47.780000
2017-01-01,59.290000
2018-01-01,61.260000
2019-01-01,55.380000
2020-01-01,56.200000
2021-01-01,81.000000
2022-01-01,71.060000
2023-01-01,65.640000
2024-01-01,68.650000
2025-01-01,72.780000
