date,value
1850-01-01,107.530000
1851-01-01,109.850000
1852-01-01,108.680000
1853-01-01,108.680000
1854-01-01,100.000000
1855-01-01,97.140000
1856-01-01,99.030000
1857-01-01,96.330000
1858-01-01,102.010000
1859-01-01,100.990000
1860-01-01,100.990000
1861-01-01,99.210000
1862-01-01,116.320000
1863-01-01,118.710000
1864-01-01,97.810000
1865-01-01,73.020000
1866-01-01,73.670000
1867-01-01,79.820000
1868-01-01,80.340000
1869-01-01,74.100000
1870-01-01,71.970000
1871-01-01,77.070000
1872-01-01,78.900000
1873-01-01,77.940000
1874-01-01,83.600000
1875-01-01,86.870000
1876-01-01,83.700000
1877-01-01,81.540000
1878-01-01,84.260000
1879-01-01,84.180000
1880-01-01,82.140000
1881-01-01,82.140000
1882-01-01,82.140000
1883-01-01,83.830000
1884-01-01,85.590000
1885-01-01,87.340000
1886-01-01,89.250000
1887-01-01,88.290000
1888-01-01,88.290000
1889-01-01,91.260000
1890-01-01,92.290000
1891-01-01,92.290000
1892-01-01,92.290000
1893-01-01,93.350000
1894-01-01,97.600000
1895-01-01,100.000000
1896-01-01,100.000000
1897-01-01,101.240000
1898-01-01,101.240000
1899-01-01,101.240000
1900-01-01,100.000000
1901-01-01,98.790000
1902-01-01,97.600000
1903-01-01,95.430000
1904-01-01,94.320000
1905-01-01,95.430000
1906-01-01,93.350000
1907-01-01,89.350000
1908-01-01,91.260000
1909-01-01,92.290000
1910-01-01,88.380000
1911-01-01,88.380000
1912-01-01,86.600000
1913-01-01,84.790000
1914-01-01,84.000000
1915-01-01,83.570000
1916-01-01,76.500000
1917-01-01,63.490000
1918-01-01,54.050000
1919-01-01,47.050000
1920-01-01,40.620000
1921-01-01,45.470000
1922-01-01,48.540000
1923-01-01,47.690000
1924-01-01,47.600000
1925-01-01,46.430000
1926-01-01,45.990000
1927-01-01,46.860000
1928-01-01,47.520000
1929-01-01,47.520000
1930-01-01,48.740000
1931-01-01,53.450000
1932-01-01,65.620000
1933-01-01,102.480000
1934-01-01,102.940000
1935-01-01,100.390000
1936-01-01,99.450000
1937-01-01,95.980000
1938-01-01,97.820000
1939-01-01,98.030000
1940-01-01,96.720000
1941-01-01,94.300000
1942-01-01,86.880000
1943-01-01,82.470000
1944-01-01,82.560000
1945-01-01,83.640000
1946-01-01,77.970000
1947-01-01,75.100000
1948-01-01,68.820000
1949-01-01,65.840000
1950-01-01,67.340000
1951-01-01,60.390000
1952-01-01,56.620000
1953-01-01,52.430000
1954-01-01,51.620000
1955-01-01,51.690000
1956-01-01,50.960000
1957-01-01,49.310000
1958-01-01,48.000000
1959-01-01,47.600000
1960-01-01,46.890000
1961-01-01,46.400000
1962-01-01,45.850000
1963-01-01,45.130000
1964-01-01,44.550000
1965-01-01,43.820000
1966-01-01,42.620000
1967-01-01,41.210000
1968-01-01,44.050000
1969-01-01,44.120000
1970-01-01,36.440000
1971-01-01,39.670000
1972-01-01,54.730000
1973-01-01,86.230000
1974-01-01,127.130000
1975-01-01,117.780000
1976-01-01,86.320000
1977-01-01,95.980000
1978-01-01,116.680000
1979-01-01,166.420000
1980-01-01,290.580000
1981-01-01,199.110000
1982-01-01,153.360000
1983-01-01,167.060000
1984-01-01,136.630000
1985-01-01,116.350000
1986-01-01,132.120000
1987-01-01,154.770000
1988-01-01,145.490000
1989-01-01,121.140000
1990-01-01,115.540000
1991-01-01,104.720000
1992-01-01,96.480000
1993-01-01,98.050000
1994-01-01,102.040000
1995-01-01,99.270000
1996-01-01,97.310000
1997-01-01,81.240000
1998-01-01,71.070000
1999-01-01,65.890000
2000-01-01,63.810000
2001-01-01,60.260000
2002-01-01,67.850000
2003-01-01,77.800000
2004-01-01,85.310000
2005-01-01,89.700000
2006-01-01,118.050000
2007-01-01,132.330000
2008-01-01,159.440000
2009-01-01,178.600000
2010-01-01,221.170000
2011-01-01,274.730000
2012-01-01,286.370000
2013-01-01,238.610000
2014-01-01,210.530000
2015-01-01,192.850000
2016-01-01,204.940000
2017-01-01,202.040000
2018-01-01,199.050000
2019-01-01,214.500000
2020-01-01,269.370000
2021-01-01,261.550000
2022-01-01,242.300000
2023-01-01,251.080000
2024-01-01,299.760000
2025-01-01,420.980000
