date,value
1900-01-01,100.000000
1901-01-01,89.430000
1902-01-01,91.670000
1903-01-01,102.140000
1904-01-01,96.620000
1905-01-01,93.070000
1906-01-01,99.940000
1907-01-01,103.210000
1908-01-01,101.830000
1909-01-01,95.720000
1910-01-01,84.870000
1911-01-01,80.270000
1912-01-01,87.700000
1913-01-01,108.820000
1914-01-01,89.990000
1915-01-01,85.160000
1916-01-01,139.990000
1917-01-01,162.740000
1918-01-01,151.300000
1919-01-01,130.320000
1920-01-01,159.500000
1921-01-01,94.630000
1922-01-01,103.480000
1923-01-01,101.390000
1924-01-01,100.030000
1925-01-01,105.750000
1926-01-01,113.950000
1927-01-01,84.420000
1928-01-01,83.510000
1929-01-01,85.500000
1930-01-01,77.900000
1931-01-01,58.410000
1932-01-01,73.540000
1933-01-01,70.070000
1934-01-01,88.470000
1935-01-01,86.290000
1936-01-01,91.530000
1937-01-01,100.090000
1938-01-01,98.530000
1939-01-01,90.900000
1940-01-01,89.550000
1941-01-01,91.820000
1942-01-01,85.500000
1943-01-01,82.010000
1944-01-01,81.740000
1945-01-01,81.170000
1946-01-01,86.210000
1947-01-01,96.100000
1948-01-01,112.700000
1949-01-01,114.940000
1950-01-01,115.120000
1951-01-01,109.100000
1952-01-01,107.600000
1953-01-01,112.260000
1954-01-01,114.220000
1955-01-01,116.570000
1956-01-01,118.250000
1957-01-01,122.710000
1958-01-01,119.150000
1959-01-01,118.170000
1960-01-01,116.240000
1961-01-01,115.150000
1962-01-01,113.580000
1963-01-01,112.410000
1964-01-01,111.780000
1965-01-01,109.720000
1966-01-01,107.220000
1967-01-01,106.530000
1968-01-01,104.200000
1969-01-01,103.630000
1970-01-01,102.940000
1971-01-01,106.670000
1972-01-01,102.990000
1973-01-01,119.680000
1974-01-01,234.480000
1975-01-01,229.000000
1976-01-01,224.850000
1977-01-01,229.310000
1978-01-01,219.040000
1979-01-01,269.840000
1980-01-01,346.970000
1981-01-01,337.280000
1982-01-01,298.070000
1983-01-01,278.220000
1984-01-01,261.580000
1985-01-01,244.520000
1986-01-01,158.840000
1987-01-01,166.860000
1988-01-01,143.180000
1989-01-01,159.410000
1990-01-01,176.850000
1991-01-01,154.170000
1992-01-01,141.100000
1993-01-01,127.170000
1994-01-01,118.440000
1995-01-01,122.850000
1996-01-01,135.930000
1997-01-01,125.860000
1998-01-01,95.420000
1999-01-01,109.990000
2000-01-01,157.390000
2001-01-01,132.850000
2002-01-01,129.980000
2003-01-01,154.930000
2004-01-01,207.210000
2005-01-01,262.300000
2006-01-01,284.010000
2007-01-01,299.970000
2008-01-01,410.750000
2009-01-01,260.650000
2010-01-01,321.420000
2011-01-01,369.430000
2012-01-01,347.970000
2013-01-01,349.360000
2014-01-01,328.090000
2015-01-01,191.110000
2016-01-01,171.560000
2017-01-01,197.620000
2018-01-01,237.770000
2019-01-01,206.530000
2020-01-01,152.970000
2021-01-01,246.260000
2022-01-01,335.490000
2023-01-01,246.260000
2024-01-01,227.090000
2025-01-01,196.490000
