date,value
1900-01-01,100.000000
1901-01-01,89.110000
1902-01-01,92.320000
1903-01-01,91.010000
1904-01-01,79.770000
1905-01-01,89.330000
1906-01-01,92.190000
1907-01-01,95.450000
1908-01-01,85.980000
1909-01-01,79.460000
1910-01-01,80.970000
1911-01-01,73.120000
1912-01-01,72.680000
1913-01-01,75.940000
1914-01-01,64.330000
1915-01-01,75.400000
1916-01-01,119.000000
1917-01-01,127.170000
1918-01-01,94.270000
1919-01-01,70.250000
1920-01-01,71.230000
1921-01-01,52.790000
1922-01-01,52.180000
1923-01-01,65.590000
1924-01-01,61.570000
1925-01-01,56.910000
1926-01-01,55.320000
1927-01-01,52.550000
1928-01-01,53.660000
1929-01-01,55.440000
1930-01-01,51.030000
1931-01-01,52.250000
1932-01-01,54.670000
1933-01-01,64.820000
1934-01-01,65.960000
1935-01-01,64.110000
1936-01-01,66.670000
1937-01-01,77.520000
1938-01-01,76.200000
1939-01-01,74.150000
1940-01-01,71.490000
1941-01-01,68.780000
1942-01-01,62.350000
1943-01-01,58.910000
1944-01-01,58.320000
1945-01-01,58.620000
1946-01-01,59.720000
1947-01-01,58.520000
1948-01-01,61.510000
1949-01-01,65.980000
1950-01-01,68.290000
1951-01-01,68.420000
1952-01-01,68.730000
1953-01-01,72.150000
1954-01-01,73.890000
1955-01-01,78.880000
1956-01-01,83.400000
1957-01-01,85.570000
1958-01-01,83.920000
1959-01-01,87.980000
1960-01-01,86.670000
1961-01-01,86.310000
1962-01-01,84.950000
1963-01-01,84.890000
1964-01-01,87.000000
1965-01-01,86.110000
1966-01-01,83.430000
1967-01-01,81.770000
1968-01-01,81.240000
1969-01-01,81.770000
1970-01-01,81.840000
1971-01-01,86.500000
1972-01-01,78.710000
1973-01-01,86.410000
1974-01-01,104.670000
1975-01-01,103.510000
1976-01-01,96.690000
1977-01-01,102.260000
1978-01-01,102.530000
1979-01-01,97.660000
1980-01-01,101.750000
1981-01-01,93.320000
1982-01-01,87.440000
1983-01-01,97.660000
1984-01-01,97.480000
1985-01-01,99.820000
1986-01-01,96.720000
1987-01-01,71.910000
1988-01-01,72.010000
1989-01-01,76.680000
1990-01-01,73.860000
1991-01-01,70.220000
1992-01-01,59.460000
1993-01-01,58.520000
1994-01-01,58.860000
1995-01-01,58.800000
1996-01-01,56.750000
1997-01-01,57.300000
1998-01-01,53.210000
1999-01-01,46.340000
2000-01-01,52.500000
2001-01-01,39.520000
2002-01-01,42.980000
2003-01-01,53.300000
2004-01-01,78.290000
2005-01-01,92.910000
2006-01-01,91.840000
2007-01-01,88.010000
2008-01-01,127.090000
2009-01-01,103.580000
2010-01-01,108.370000
2011-01-01,119.030000
2012-01-01,108.770000
2013-01-01,99.840000
2014-01-01,97.160000
2015-01-01,84.510000
2016-01-01,75.690000
2017-01-01,81.130000
2018-01-01,88.670000
2019-01-01,88.100000
2020-01-01,82.720000
2021-01-01,108.900000
2022-01-01,119.770000
2023-01-01,106.630000
2024-01-01,97.180000
2025-01-01,95.860000
