date,value
1900-01-01,100.000000
1901-01-01,99.790000
1902-01-01,103.780000
1903-01-01,102.360000
1904-01-01,100.580000
1905-01-01,104.710000
1906-01-01,106.490000
1907-01-01,107.480000
1908-01-01,113.760000
1909-01-01,118.600000
1910-01-01,116.850000
1911-01-01,117.740000
1912-01-01,123.400000
1913-01-01,111.850000
1914-01-01,111.150000
1915-01-01,125.430000
1916-01-01,130.200000
1917-01-01,146.620000
1918-01-01,136.150000
1919-01-01,131.710000
1920-01-01,106.000000
1921-01-01,77.150000
1922-01-01,81.590000
1923-01-01,82.510000
1924-01-01,88.820000
1925-01-01,95.240000
1926-01-01,89.370000
1927-01-01,85.560000
1928-01-01,87.440000
1929-01-01,86.100000
1930-01-01,73.580000
1931-01-01,63.840000
1932-01-01,52.830000
1933-01-01,60.290000
1934-01-01,70.240000
1935-01-01,86.060000
1936-01-01,90.290000
1937-01-01,95.910000
1938-01-01,78.120000
1939-01-01,72.940000
1940-01-01,78.790000
1941-01-01,91.200000
1942-01-01,99.630000
1943-01-01,101.790000
1944-01-01,101.070000
1945-01-01,101.030000
1946-01-01,108.380000
1947-01-01,117.790000
1948-01-01,103.850000
1949-01-01,93.730000
1950-01-01,90.130000
1951-01-01,88.900000
1952-01-01,85.670000
1953-01-01,87.820000
1954-01-01,86.880000
1955-01-01,82.230000
1956-01-01,88.540000
1957-01-01,85.730000
1958-01-01,83.500000
1959-01-01,95.620000
1960-01-01,98.450000
1961-01-01,96.610000
1962-01-01,98.850000
1963-01-01,97.990000
1964-01-01,99.850000
1965-01-01,99.240000
1966-01-01,107.200000
1967-01-01,107.260000
1968-01-01,103.510000
1969-01-01,105.090000
1970-01-01,101.920000
1971-01-01,96.560000
1972-01-01,105.890000
1973-01-01,155.070000
1974-01-01,158.380000
1975-01-01,120.750000
1976-01-01,116.970000
1977-01-01,110.520000
1978-01-01,123.880000
1979-01-01,136.400000
1980-01-01,133.240000
1981-01-01,111.350000
1982-01-01,94.740000
1983-01-01,89.630000
1984-01-01,84.010000
1985-01-01,72.290000
1986-01-01,72.740000
1987-01-01,78.970000
1988-01-01,79.300000
1989-01-01,75.940000
1990-01-01,73.550000
1991-01-01,70.560000
1992-01-01,65.000000
1993-01-01,77.080000
1994-01-01,68.800000
1995-01-01,62.360000
1996-01-01,63.880000
1997-01-01,59.390000
1998-01-01,47.820000
1999-01-01,45.980000
2000-01-01,45.500000
2001-01-01,43.970000
2002-01-01,44.060000
2003-01-01,46.130000
2004-01-01,51.060000
2005-01-01,50.510000
2006-01-01,51.640000
2007-01-01,54.970000
2008-01-01,65.110000
2009-01-01,57.210000
2010-01-01,61.940000
2011-01-01,75.160000
2012-01-01,71.040000
2013-01-01,64.390000
2014-01-01,65.780000
2015-01-01,57.210000
2016-01-01,54.620000
2017-01-01,55.250000
2018-01-01,53.620000
2019-01-01,55.540000
2020-01-01,55.730000
2021-01-01,60.280000
2022-01-01,57.790000
2023-01-01,49.960000
2024-01-01,52.030000
2025-01-01,53.710000
