date,value
1900-01-01,100.000000
1901-01-01,92.280000
1902-01-01,94.960000
1903-01-01,99.760000
1904-01-01,94.920000
1905-01-01,94.290000
1906-01-01,98.310000
1907-01-01,100.370000
1908-01-01,100.550000
1909-01-01,97.430000
1910-01-01,90.400000
1911-01-01,86.880000
1912-01-01,92.010000
1913-01-01,103.120000
1914-01-01,90.310000
1915-01-01,94.170000
1916-01-01,132.930000
1917-01-01,152.330000
1918-01-01,139.850000
1919-01-01,122.640000
1920-01-01,132.630000
1921-01-01,84.310000
1922-01-01,90.310000
1923-01-01,90.990000
1924-01-01,90.970000
1925-01-01,95.760000
1926-01-01,98.420000
1927-01-01,79.500000
1928-01-01,80.210000
1929-01-01,81.500000
1930-01-01,73.580000
1931-01-01,61.560000
1932-01-01,68.110000
1933-01-01,69.340000
1934-01-01,82.930000
1935-01-01,84.060000
1936-01-01,88.540000
1937-01-01,97.230000
1938-01-01,91.590000
1939-01-01,85.610000
1940-01-01,86.550000
1941-01-01,90.500000
1942-01-01,88.250000
1943-01-01,87.230000
1944-01-01,87.110000
1945-01-01,86.630000
1946-01-01,92.270000
1947-01-01,100.190000
1948-01-01,106.750000
1949-01-01,105.260000
1950-01-01,104.920000
1951-01-01,100.770000
1952-01-01,99.200000
1953-01-01,102.820000
1954-01-01,104.230000
1955-01-01,105.670000
1956-01-01,110.160000
1957-01-01,111.390000
1958-01-01,108.320000
1959-01-01,114.430000
1960-01-01,113.870000
1961-01-01,112.030000
1962-01-01,112.020000
1963-01-01,110.410000
1964-01-01,111.430000
1965-01-01,110.560000
1966-01-01,110.970000
1967-01-01,109.950000
1968-01-01,107.560000
1969-01-01,107.920000
1970-01-01,107.710000
1971-01-01,109.870000
1972-01-01,108.660000
1973-01-01,134.250000
1974-01-01,203.570000
1975-01-01,191.280000
1976-01-01,190.800000
1977-01-01,192.840000
1978-01-01,191.630000
1979-01-01,230.980000
1980-01-01,277.880000
1981-01-01,262.250000
1982-01-01,233.880000
1983-01-01,222.120000
1984-01-01,210.470000
1985-01-01,195.280000
1986-01-01,141.470000
1987-01-01,145.580000
1988-01-01,131.610000
1989-01-01,140.040000
1990-01-01,148.170000
1991-01-01,132.980000
1992-01-01,122.400000
1993-01-01,120.430000
1994-01-01,110.650000
1995-01-01,109.800000
1996-01-01,118.110000
1997-01-01,110.800000
1998-01-01,86.340000
1999-01-01,94.120000
2000-01-01,126.920000
2001-01-01,109.240000
2002-01-01,106.800000
2003-01-01,127.570000
2004-01-01,165.860000
2005-01-01,204.600000
2006-01-01,214.670000
2007-01-01,226.010000
2008-01-01,305.390000
2009-01-01,199.420000
2010-01-01,241.220000
2011-01-01,276.820000
2012-01-01,258.790000
2013-01-01,256.300000
2014-01-01,244.370000
2015-01-01,154.590000
2016-01-01,140.760000
2017-01-01,158.660000
2018-01-01,183.770000
2019-01-01,163.830000
2020-01-01,130.320000
2021-01-01,194.990000
2022-01-01,255.570000
2023-01-01,188.410000
2024-01-01,176.510000
2025-01-01,161.510000
