date,value
1850-01-01,214.400000
1851-01-01,219.030000
1852-01-01,216.690000
1853-01-01,216.690000
1854-01-01,199.380000
1855-01-01,193.670000
1856-01-01,197.440000
1857-01-01,192.140000
1858-01-01,203.380000
1859-01-01,201.360000
1860-01-01,201.360000
1861-01-01,190.040000
1862-01-01,220.180000
1863-01-01,201.480000
1864-01-01,242.410000
1865-01-01,150.280000
1866-01-01,144.150000
1867-01-01,152.510000
1868-01-01,159.260000
1869-01-01,149.200000
1870-01-01,142.000000
1871-01-01,149.810000
1872-01-01,153.730000
1873-01-01,153.880000
1874-01-01,160.550000
1875-01-01,164.580000
1876-01-01,158.990000
1877-01-01,150.000000
1878-01-01,142.890000
1879-01-01,148.610000
1880-01-01,141.460000
1881-01-01,143.110000
1882-01-01,139.310000
1883-01-01,143.600000
1884-01-01,143.190000
1885-01-01,139.100000
1886-01-01,138.560000
1887-01-01,132.160000
1888-01-01,127.520000
1889-01-01,135.050000
1890-01-01,150.400000
1891-01-01,136.160000
1892-01-01,119.640000
1893-01-01,101.270000
1894-01-01,92.630000
1895-01-01,104.480000
1896-01-01,102.470000
1897-01-01,92.180000
1898-01-01,94.210000
1899-01-01,93.740000
1900-01-01,100.000000
1901-01-01,85.070000
1902-01-01,73.350000
1903-01-01,82.470000
1904-01-01,89.080000
1905-01-01,96.460000
1906-01-01,100.260000
1907-01-01,76.110000
1908-01-01,69.570000
1909-01-01,75.340000
1910-01-01,75.420000
1911-01-01,75.830000
1912-01-01,85.530000
1913-01-01,76.420000
1914-01-01,65.210000
1915-01-01,72.350000
1916-01-01,89.490000
1917-01-01,88.090000
1918-01-01,85.000000
1919-01-01,97.010000
1920-01-01,41.060000
1921-01-01,46.530000
1922-01-01,48.160000
1923-01-01,47.830000
1924-01-01,50.830000
1925-01-01,49.590000
1926-01-01,38.180000
1927-01-01,42.160000
1928-01-01,42.310000
1929-01-01,35.790000
1930-01-01,24.820000
1931-01-01,25.070000
1932-01-01,23.360000
1933-01-01,42.360000
1934-01-01,51.030000
1935-01-01,53.430000
1936-01-01,41.150000
1937-01-01,38.320000
1938-01-01,38.160000
1939-01-01,31.650000
1940-01-01,31.160000
1941-01-01,29.930000
1942-01-01,34.530000
1943-01-01,32.530000
1944-01-01,31.980000
1945-01-01,49.410000
1946-01-01,55.740000
1947-01-01,41.950000
1948-01-01,36.520000
1949-01-01,38.610000
1950-01-01,41.730000
1951-01-01,42.550000
1952-01-01,39.410000
1953-01-01,40.060000
1954-01-01,39.860000
1955-01-01,42.450000
1956-01-01,42.240000
1957-01-01,40.070000
1958-01-01,38.660000
1959-01-01,39.370000
1960-01-01,38.750000
1961-01-01,38.810000
1962-01-01,44.990000
1963-01-01,52.470000
1964-01-01,52.340000
1965-01-01,51.460000
1966-01-01,50.040000
1967-01-01,58.260000
1968-01-01,77.410000
1969-01-01,61.340000
1970-01-01,57.270000
1971-01-01,47.930000
1972-01-01,50.560000
1973-01-01,72.280000
1974-01-01,119.890000
1975-01-01,103.090000
1976-01-01,96.090000
1977-01-01,96.090000
1978-01-01,104.370000
1979-01-01,192.130000
1980-01-01,317.240000
1981-01-01,145.370000
1982-01-01,103.230000
1983-01-01,144.110000
1984-01-01,98.460000
1985-01-01,71.390000
1986-01-01,62.340000
1987-01-01,77.520000
1988-01-01,69.340000
1989-01-01,55.790000
1990-01-01,46.450000
1991-01-01,37.370000
1992-01-01,35.330000
1993-01-01,37.450000
1994-01-01,44.790000
1995-01-01,42.860000
1996-01-01,41.640000
1997-01-01,38.400000
1998-01-01,42.780000
1999-01-01,39.320000
2000-01-01,36.130000
2001-01-01,31.040000
2002-01-01,32.130000
2003-01-01,33.290000
2004-01-01,44.270000
2005-01-01,47.010000
2006-01-01,72.030000
2007-01-01,81.140000
2008-01-01,87.500000
2009-01-01,85.740000
2010-01-01,116.090000
2011-01-01,196.710000
2012-01-01,170.360000
2013-01-01,128.610000
2014-01-01,101.200000
2015-01-01,83.320000
2016-01-01,89.750000
2017-01-01,87.460000
2018-01-01,78.610000
2019-01-01,79.690000
2020-01-01,99.680000
2021-01-01,116.660000
2022-01-01,93.550000
2023-01-01,96.470000
2024-01-01,113.210000
2025-01-01,155.300000
