date,value
1850-01-01,98.050000
1851-01-01,70.050000
1852-01-01,68.540000
1853-01-01,111.950000
1854-01-01,152.600000
1855-01-01,178.460000
1856-01-01,144.360000
1857-01-01,123.680000
1858-01-01,93.490000
1859-01-01,125.300000
1860-01-01,132.430000
1861-01-01,96.720000
1862-01-01,90.170000
1863-01-01,94.200000
1864-01-01,115.830000
1865-01-01,83.140000
1866-01-01,97.960000
1867-01-01,159.740000
1868-01-01,143.580000
1869-01-01,97.070000
1870-01-01,88.100000
1871-01-01,118.160000
1872-01-01,121.520000
1873-01-01,116.060000
1874-01-01,113.200000
1875-01-01,110.380000
1876-01-01,113.830000
1877-01-01,144.310000
1878-01-01,115.090000
1879-01-01,118.160000
1880-01-01,122.730000
1881-01-01,133.530000
1882-01-01,136.160000
1883-01-01,120.220000
1884-01-01,100.200000
1885-01-01,103.250000
1886-01-01,96.360000
1887-01-01,94.160000
1888-01-01,113.460000
1889-01-01,110.060000
1890-01-01,116.430000
1891-01-01,126.050000
1892-01-01,103.230000
1893-01-01,89.350000
1894-01-01,78.660000
1895-01-01,85.980000
1896-01-01,94.350000
1897-01-01,122.820000
1898-01-01,128.380000
1899-01-01,102.280000
1900-01-01,100.000000
1901-01-01,100.450000
1902-01-01,102.870000
1903-01-01,106.480000
1904-01-01,137.840000
1905-01-01,135.880000
1906-01-01,104.520000
1907-01-01,115.250000
1908-01-01,126.030000
1909-01-01,157.440000
1910-01-01,137.280000
1911-01-01,123.030000
1912-01-01,128.120000
1913-01-01,113.950000
1914-01-01,120.730000
1915-01-01,154.880000
1916-01-01,149.130000
1917-01-01,212.640000
1918-01-01,169.890000
1919-01-01,167.820000
1920-01-01,146.810000
1921-01-01,95.400000
1922-01-01,93.540000
1923-01-01,78.940000
1924-01-01,98.460000
1925-01-01,116.610000
1926-01-01,105.190000
1927-01-01,92.540000
1928-01-01,107.850000
1929-01-01,89.060000
1930-01-01,67.950000
1931-01-01,51.450000
1932-01-01,47.710000
1933-01-01,69.630000
1934-01-01,83.730000
1935-01-01,86.050000
1936-01-01,94.990000
1937-01-01,98.690000
1938-01-01,65.590000
1939-01-01,64.220000
1940-01-01,79.240000
1941-01-01,80.800000
1942-01-01,90.310000
1943-01-01,102.590000
1944-01-01,109.250000
1945-01-01,110.510000
1946-01-01,116.140000
1947-01-01,138.660000
1948-01-01,120.070000
1949-01-01,104.100000
1950-01-01,106.400000
1951-01-01,108.530000
1952-01-01,101.800000
1953-01-01,88.890000
1954-01-01,91.950000
1955-01-01,91.000000
1956-01-01,95.220000
1957-01-01,91.110000
1958-01-01,81.840000
1959-01-01,77.560000
1960-01-01,77.220000
1961-01-01,80.900000
1962-01-01,79.720000
1963-01-01,76.050000
1964-01-01,63.920000
1965-01-01,58.130000
1966-01-01,61.740000
1967-01-01,52.220000
1968-01-01,44.180000
1969-01-01,43.550000
1970-01-01,46.720000
1971-01-01,45.530000
1972-01-01,51.040000
1973-01-01,105.770000
1974-01-01,109.440000
1975-01-01,74.800000
1976-01-01,62.900000
1977-01-01,49.440000
1978-01-01,57.220000
1979-01-01,64.590000
1980-01-01,61.270000
1981-01-01,50.980000
1982-01-01,41.190000
1983-01-01,41.340000
1984-01-01,40.470000
1985-01-01,35.860000
1986-01-01,32.390000
1987-01-01,29.590000
1988-01-01,35.670000
1989-01-01,39.000000
1990-01-01,29.620000
1991-01-01,27.770000
1992-01-01,31.020000
1993-01-01,27.970000
1994-01-01,28.040000
1995-01-01,32.930000
1996-01-01,35.820000
1997-01-01,26.840000
1998-01-01,20.520000
1999-01-01,17.330000
2000-01-01,17.230000
2001-01-01,18.240000
2002-01-01,21.660000
2003-01-01,22.590000
2004-01-01,22.930000
2005-01-01,20.840000
2006-01-01,23.650000
2007-01-01,34.510000
2008-01-01,37.820000
2009-01-01,25.990000
2010-01-01,31.590000
2011-01-01,38.120000
2012-01-01,38.580000
2013-01-01,35.620000
2014-01-01,31.060000
2015-01-01,26.110000
2016-01-01,22.030000
2017-01-01,21.800000
2018-01-01,24.350000
2019-01-01,24.780000
2020-01-01,26.390000
2021-01-01,31.170000
2022-01-01,39.140000
2023-01-01,25.370000
2024-01-01,22.070000
2025-01-01,20.460000
