date,value
1870-01-01,0.048800
1871-01-01,0.046000
1872-01-01,0.046000
1873-01-01,0.044000
1874-01-01,0.045000
1875-01-01,0.046000
1876-01-01,0.046000
1877-01-01,0.045000
1878-01-01,0.048000
1879-01-01,0.049000
1880-01-01,0.047000
1881-01-01,0.047000
1882-01-01,0.045000
1883-01-01,0.047000
1884-01-01,0.049000
1885-01-01,0.048000
1886-01-01,0.047000
1887-01-01,0.046000
1888-01-01,0.046000
1889-01-01,0.045000
1890-01-01,0.043000
1891-01-01,0.043000
1892-01-01,0.043000
1893-01-01,0.042000
1894-01-01,0.039000
1895-01-01,0.036000
1896-01-01,0.033000
1897-01-01,0.031000
1898-01-01,0.030000
1899-01-01,0.031000
1900-01-01,0.031000
1901-01-01,0.028800
1902-01-01,0.028800
1903-01-01,0.031300
1904-01-01,0.032500
1905-01-01,0.032500
1906-01-01,0.032500
1907-01-01,0.031900
1908-01-01,0.031900
1909-01-01,0.031300
1910-01-01,0.031300
1911-01-01,0.032500
1912-01-01,0.033800
1913-01-01,0.033000
1914-01-01,0.033000
1915-01-01,0.034730
1916-01-01,0.035248
1917-01-01,0.036804
1918-01-01,0.037322
1919-01-01,0.037322
1920-01-01,0.039395
1921-01-01,0.040847
1922-01-01,0.040847
1923-01-01,0.041469
1924-01-01,0.041469
1925-01-01,0.042091
1926-01-01,0.042091
1927-01-01,0.042091
1928-01-01,0.042091
1929-01-01,0.043439
1930-01-01,0.043439
1931-01-01,0.042816
1932-01-01,0.032864
1933-01-01,0.027680
1934-01-01,0.025918
1935-01-01,0.023326
1936-01-01,0.023326
1937-01-01,0.023326
1938-01-01,0.023326
1939-01-01,0.024156
1940-01-01,0.023326
1941-01-01,0.022497
1942-01-01,0.021564
1943-01-01,0.021564
1944-01-01,0.021564
1948-01-01,0.022500
1949-01-01,0.019900
1950-01-01,0.019500
1951-01-01,0.020100
1952-01-01,0.024900
1953-01-01,0.030700
1954-01-01,0.033400
1955-01-01,0.037900
1956-01-01,0.047100
1957-01-01,0.045700
1958-01-01,0.042900
1959-01-01,0.039900
1960-01-01,0.043900
1961-01-01,0.049900
1962-01-01,0.042900
1963-01-01,0.038200
1964-01-01,0.041200
1965-01-01,0.048500
1966-01-01,0.049200
1967-01-01,0.045500
1968-01-01,0.048100
1969-01-01,0.047900
1970-01-01,0.053817
1971-01-01,0.054117
1972-01-01,0.043192
1973-01-01,0.052125
1974-01-01,0.090692
1975-01-01,0.075100
1976-01-01,0.075117
1977-01-01,0.085250
1978-01-01,0.086467
1979-01-01,0.088767
1980-01-01,0.106675
1981-01-01,0.132508
1982-01-01,0.146425
1983-01-01,0.110608
1984-01-01,0.109850
1985-01-01,0.154200
1986-01-01,0.153867
1987-01-01,0.127983
1988-01-01,0.121417
1989-01-01,0.168000
1990-01-01,0.141508
1991-01-01,0.099558
1992-01-01,0.062650
1993-01-01,0.050017
1994-01-01,0.056942
1995-01-01,0.076438
1996-01-01,0.070164
1997-01-01,0.052902
1998-01-01,0.048368
1999-01-01,0.047585
2000-01-01,0.059761
2001-01-01,0.048002
2002-01-01,0.045508
2003-01-01,0.048092
2004-01-01,0.052500
2005-01-01,0.054575
2006-01-01,0.058050
2007-01-01,0.063875
2008-01-01,0.066717
2009-01-01,0.032782
2010-01-01,0.043460
2011-01-01,0.046927
2012-01-01,0.036967
2013-01-01,0.027375
2014-01-01,0.025000
2015-01-01,0.021092
2016-01-01,0.019867
2017-01-01,0.017400
2018-01-01,0.019483
2019-01-01,0.013442
2020-01-01,0.002567
