date,value
1900-01-01,0.019968
1901-01-01,0.001937
1902-01-01,0.004964
1903-01-01,-0.014858
1904-01-01,0.013843
1905-01-01,0.088576
1906-01-01,0.079544
1907-01-01,-0.032572
1908-01-01,0.051707
1909-01-01,0.025408
1910-01-01,0.033997
1911-01-01,0.026224
1912-01-01,0.004787
1913-01-01,0.046712
1914-01-01,0.034675
1915-01-01,0.015299
1916-01-01,0.038685
1917-01-01,0.052007
1918-01-01,0.012831
1919-01-01,0.040327
1920-01-01,0.022570
1921-01-01,0.095204
1922-01-01,0.064739
1923-01-01,0.040929
1924-01-01,0.036121
1925-01-01,0.089922
1926-01-01,0.041869
1927-01-01,0.058115
1928-01-01,0.044860
1929-01-01,-0.016814
1930-01-01,-0.044331
1931-01-01,0.037957
1932-01-01,0.334449
1933-01-01,0.058059
1934-01-01,0.072372
1935-01-01,0.021961
1936-01-01,0.036951
1937-01-01,-0.012195
1938-01-01,-0.016877
1939-01-01,0.020138
1940-01-01,0.119447
1941-01-01,-0.003335
1942-01-01,0.064712
1943-01-01,0.054298
1944-01-01,0.049381
1945-01-01,0.034364
1946-01-01,0.099843
1947-01-01,-0.034265
1948-01-01,0.057917
1949-01-01,-0.040204
1950-01-01,0.049815
1951-01-01,-0.082264
1952-01-01,0.014636
1953-01-01,0.087467
1954-01-01,0.078983
1955-01-01,-0.097861
1956-01-01,-0.006890
1957-01-01,0.040792
1958-01-01,0.093009
1959-01-01,0.072891
1960-01-01,-0.013663
1961-01-01,0.041183
1962-01-01,0.141034
1963-01-01,0.049746
1964-01-01,0.009751
1965-01-01,0.052836
1966-01-01,0.031027
1967-01-01,0.042243
1968-01-01,0.021813
1969-01-01,0.110401
1970-01-01,-0.005159
1971-01-01,0.116168
1972-01-01,0.088387
1973-01-01,-0.124658
1974-01-01,0.006275
1975-01-01,0.063145
1976-01-01,0.074417
1977-01-01,0.161241
1978-01-01,0.139865
1979-01-01,0.007621
1980-01-01,-0.042508
1981-01-01,-0.003373
1982-01-01,0.193352
1983-01-01,0.157297
1984-01-01,0.138672
1985-01-01,0.056326
1986-01-01,0.221346
1987-01-01,0.160095
1988-01-01,0.118844
1989-01-01,0.134730
1990-01-01,0.180669
1991-01-01,0.298603
1992-01-01,0.132091
1993-01-01,0.252858
1994-01-01,-0.124451
1995-01-01,0.234387
1996-01-01,0.150349
1997-01-01,0.174126
1998-01-01,0.135699
1999-01-01,-0.068951
2000-01-01,0.172906
2001-01-01,0.017728
2002-01-01,0.127731
2003-01-01,0.022817
2004-01-01,0.082361
2005-01-01,0.063577
2006-01-01,0.009243
2007-01-01,0.027799
2008-01-01,0.275556
2009-01-01,-0.075584
2010-01-01,0.073806
2011-01-01,0.196348
2012-01-01,0.079069
2013-01-01,-0.049088
2014-01-01,0.184414
2015-01-01,0.022371
2016-01-01,0.014192
2017-01-01,0.036124
2018-01-01,0.030469
2019-01-01,0.100679
2020-01-01,0.009823
