date,value
1901-01-01,0.070633
1902-01-01,0.031405
1903-01-01,0.038109
1904-01-01,0.016129
1905-01-01,0.055578
1906-01-01,0.083032
1907-01-01,0.075627
1908-01-01,0.084434
1909-01-01,0.055452
1910-01-01,0.047265
1911-01-01,0.090516
1912-01-01,0.076823
1913-01-01,0.086233
1914-01-01,0.056203
1915-01-01,0.037589
1916-01-01,0.045810
1917-01-01,0.069294
1918-01-01,0.071431
1919-01-01,0.119905
1920-01-01,0.105225
1921-01-01,0.088540
1922-01-01,0.070166
1923-01-01,0.054478
1924-01-01,0.045966
1925-01-01,0.062257
1926-01-01,0.056304
1927-01-01,0.052935
1928-01-01,0.077396
1929-01-01,0.031038
1930-01-01,-0.104980
1931-01-01,-0.014018
1932-01-01,0.103077
1933-01-01,0.054310
1934-01-01,0.098773
1935-01-01,0.082967
1936-01-01,0.080178
1937-01-01,0.045982
1938-01-01,0.034381
1939-01-01,0.053241
1940-01-01,0.067565
1941-01-01,0.065470
1942-01-01,0.101167
1943-01-01,0.069114
1944-01-01,0.040369
1948-01-01,0.039385
1949-01-01,0.026321
1950-01-01,0.867059
1951-01-01,0.120845
1952-01-01,0.010252
1953-01-01,0.044137
1954-01-01,0.078242
1955-01-01,0.050050
1956-01-01,0.113028
1957-01-01,0.129648
1958-01-01,0.085832
1959-01-01,0.136655
1960-01-01,0.116694
1961-01-01,-0.007263
1962-01-01,0.128943
1963-01-01,0.170995
1964-01-01,0.071625
1965-01-01,0.053263
1966-01-01,0.073085
1967-01-01,0.150368
1968-01-01,0.162181
1969-01-01,0.116219
1970-01-01,0.070883
1971-01-01,0.119758
1972-01-01,0.180153
1973-01-01,0.144506
1974-01-01,0.189260
1975-01-01,0.197087
1976-01-01,0.153521
1977-01-01,0.140529
1978-01-01,0.122658
1979-01-01,0.151546
1980-01-01,0.263257
1981-01-01,0.149770
1982-01-01,0.089715
1983-01-01,0.182215
1984-01-01,0.156040
1985-01-01,0.189341
1986-01-01,0.241263
1987-01-01,0.049735
1988-01-01,0.251592
1989-01-01,0.261071
1990-01-01,0.043668
1991-01-01,0.105854
1992-01-01,0.057485
1993-01-01,0.156636
1994-01-01,0.031997
1995-01-01,0.104365
1996-01-01,0.084282
1997-01-01,0.086426
1998-01-01,0.120886
1999-01-01,0.122589
2000-01-01,0.109991
2001-01-01,0.108546
2002-01-01,0.152373
2003-01-01,0.190708
2004-01-01,0.138611
2005-01-01,0.086060
2006-01-01,0.145466
2007-01-01,0.146125
2008-01-01,-0.032799
2009-01-01,0.137096
2010-01-01,0.113461
2011-01-01,-0.019883
2012-01-01,0.055631
2013-01-01,0.106658
2014-01-01,0.099538
2015-01-01,0.086076
2016-01-01,0.083199
2017-01-01,0.099197
2018-01-01,-0.008146
2019-01-01,0.095281
2020-01-01,0.049625
