date,value
1870-01-01,2.708333
1871-01-01,2.666667
1872-01-01,2.541667
1873-01-01,2.541667
1874-01-01,2.666667
1875-01-01,2.750000
1876-01-01,2.791667
1877-01-01,2.875000
1878-01-01,2.833333
1879-01-01,2.750000
1880-01-01,2.666667
1881-01-01,2.625000
1882-01-01,2.666667
1883-01-01,2.958333
1884-01-01,3.000000
1885-01-01,3.000000
1886-01-01,3.000000
1887-01-01,2.916667
1888-01-01,2.791667
1889-01-01,2.791667
1890-01-01,2.791667
1891-01-01,2.750000
1892-01-01,2.708333
1893-01-01,2.625000
1894-01-01,2.458333
1895-01-01,2.291667
1896-01-01,2.291667
1897-01-01,2.291667
1898-01-01,2.250000
1899-01-01,2.375000
1900-01-01,2.416667
1901-01-01,2.458333
1902-01-01,2.625000
1903-01-01,2.666667
1904-01-01,2.541667
1905-01-01,2.541667
1906-01-01,2.583333
1907-01-01,2.583333
1908-01-01,2.666667
1909-01-01,2.708333
1910-01-01,2.750000
1911-01-01,2.958333
1912-01-01,3.208333
1913-01-01,3.166667
1914-01-01,3.333333
1915-01-01,3.708333
1916-01-01,3.791667
1917-01-01,4.041667
1918-01-01,4.333333
1919-01-01,4.875000
1920-01-01,4.958333
1921-01-01,4.500000
1922-01-01,4.416667
1923-01-01,4.416667
1924-01-01,4.458333
1925-01-01,4.500000
1926-01-01,4.500000
1927-01-01,4.583333
1928-01-01,4.625000
1929-01-01,4.625000
1930-01-01,4.250000
1931-01-01,4.083333
1932-01-01,3.916667
1933-01-01,3.916667
1934-01-01,3.916667
1935-01-01,3.958333
1936-01-01,4.083333
1937-01-01,4.166667
1938-01-01,4.250000
1939-01-01,4.375000
1940-01-01,4.625000
1941-01-01,4.875000
1942-01-01,5.166667
1943-01-01,5.208333
1944-01-01,5.250000
1945-01-01,5.375000
1946-01-01,5.500000
1947-01-01,5.916667
1948-01-01,6.416667
1949-01-01,6.968818
1950-01-01,7.609278
1951-01-01,9.118934
1952-01-01,10.689590
1953-01-01,11.147060
1954-01-01,11.223300
1955-01-01,11.452040
1956-01-01,12.168750
1957-01-01,12.469910
1958-01-01,12.633840
1959-01-01,12.866390
1960-01-01,13.354360
1961-01-01,13.689840
1962-01-01,13.651720
1963-01-01,13.724150
1964-01-01,14.048190
1965-01-01,14.604780
1966-01-01,15.039380
1967-01-01,15.519720
1968-01-01,15.931450
1969-01-01,16.396550
1970-01-01,17.037000
1971-01-01,18.070130
1972-01-01,19.129940
1973-01-01,20.940760
1974-01-01,24.104940
1975-01-01,27.738030
1976-01-01,31.489300
1977-01-01,35.362560
1978-01-01,38.164570
1979-01-01,41.633730
1980-01-01,45.849800
1981-01-01,50.293450
1982-01-01,55.898910
1983-01-01,61.552280
1984-01-01,63.983710
1985-01-01,68.295600
1986-01-01,74.499940
1987-01-01,80.824050
1988-01-01,86.669060
1989-01-01,93.220740
1990-01-01,100.000000
1991-01-01,103.222700
1992-01-01,104.240400
1993-01-01,106.130400
1994-01-01,108.141500
1995-01-01,113.157300
1996-01-01,116.113400
1997-01-01,116.374329
1998-01-01,117.374557
1999-01-01,119.027107
2000-01-01,124.332663
2001-01-01,129.812172
2002-01-01,133.769595
2003-01-01,137.422601
2004-01-01,140.640725
2005-01-01,144.380707
2006-01-01,149.512311
2007-01-01,153.034852
2008-01-01,159.688541
2009-01-01,162.515272
2010-01-01,167.168505
2011-01-01,172.778479
2012-01-01,175.692186
2013-01-01,180.041002
2014-01-01,184.520283
2015-01-01,187.260038
2016-01-01,189.651887
2017-01-01,193.435357
2018-01-01,197.175339
2019-01-01,200.262999
2020-01-01,202.046014
