date,value
1870-01-01,-0.004904
1871-01-01,0.110193
1872-01-01,0.176749
1873-01-01,0.151686
1874-01-01,0.191481
1875-01-01,0.124408
1876-01-01,0.118815
1877-01-01,0.136591
1878-01-01,-0.078937
1879-01-01,0.124136
1880-01-01,0.114237
1881-01-01,0.072695
1882-01-01,0.090304
1883-01-01,0.287165
1884-01-01,0.044000
1885-01-01,0.113000
1886-01-01,0.029000
1887-01-01,0.282000
1888-01-01,0.262000
1889-01-01,-0.011000
1890-01-01,0.014000
1891-01-01,-0.104000
1892-01-01,0.063000
1893-01-01,-0.049000
1894-01-01,0.106000
1895-01-01,0.201000
1896-01-01,0.017000
1897-01-01,0.085000
1898-01-01,0.155000
1899-01-01,0.121000
1900-01-01,0.122000
1901-01-01,-0.032000
1902-01-01,0.156000
1903-01-01,0.219000
1904-01-01,0.075000
1905-01-01,0.146000
1906-01-01,0.102000
1907-01-01,0.088000
1908-01-01,0.173000
1909-01-01,0.135000
1910-01-01,0.067000
1911-01-01,0.107000
1912-01-01,0.086000
1913-01-01,0.089000
1914-01-01,0.114000
1915-01-01,-0.035000
1916-01-01,-0.034000
1917-01-01,0.155000
1918-01-01,0.075000
1919-01-01,0.187000
1920-01-01,0.081000
1921-01-01,0.199000
1922-01-01,0.213000
1923-01-01,0.162000
1924-01-01,0.137000
1925-01-01,0.177000
1926-01-01,0.141000
1927-01-01,0.124000
1928-01-01,0.177000
1929-01-01,-0.053000
1930-01-01,-0.296000
1931-01-01,0.177000
1932-01-01,0.248000
1933-01-01,0.256000
1934-01-01,0.232000
1935-01-01,0.101000
1936-01-01,0.198000
1937-01-01,0.024000
1938-01-01,-0.005000
1939-01-01,0.053000
1940-01-01,0.035000
1941-01-01,-0.055000
1942-01-01,0.184000
1943-01-01,0.089000
1944-01-01,0.080000
1945-01-01,0.141000
1946-01-01,0.133000
1947-01-01,0.166000
1948-01-01,0.024000
1949-01-01,0.081000
1950-01-01,0.314000
1951-01-01,-0.046000
1952-01-01,-0.133000
1953-01-01,0.130000
1954-01-01,0.186000
1955-01-01,0.103000
1956-01-01,0.077000
1957-01-01,0.167000
1958-01-01,0.189000
1959-01-01,0.443000
1960-01-01,-0.062000
1961-01-01,0.116000
1962-01-01,0.042000
1963-01-01,0.266000
1964-01-01,0.044000
1965-01-01,-0.082000
1966-01-01,0.067000
1967-01-01,0.425000
1968-01-01,0.348000
1969-01-01,0.101000
1970-01-01,-0.137000
1971-01-01,-0.061000
1972-01-01,0.364000
1973-01-01,-0.258000
1974-01-01,-0.262000
1975-01-01,0.546000
1976-01-01,0.036000
1977-01-01,0.132000
1978-01-01,0.243000
1979-01-01,0.390000
1980-01-01,0.523000
1981-01-01,-0.108000
1982-01-01,-0.153000
1983-01-01,0.637000
1984-01-01,0.005000
1985-01-01,0.421000
1986-01-01,0.511000
1987-01-01,-0.096000
1988-01-01,0.211000
1989-01-01,0.179000
1990-01-01,-0.153000
1991-01-01,0.275000
1992-01-01,-0.022000
1993-01-01,0.404561
1994-01-01,-0.088102
1995-01-01,0.207230
1996-01-01,0.143425
1997-01-01,0.114192
1998-01-01,0.084790
1999-01-01,0.192954
2000-01-01,0.050225
2001-01-01,0.101346
2002-01-01,-0.080964
2003-01-01,0.158642
2004-01-01,0.275681
2005-01-01,0.210878
2006-01-01,0.249655
2007-01-01,0.179534
2008-01-01,-0.403848
2009-01-01,0.395781
2010-01-01,0.033063
2011-01-01,-0.114308
2012-01-01,0.188408
2013-01-01,0.196557
2014-01-01,0.056099
2015-01-01,0.025605
2016-01-01,0.119300
2017-01-01,0.123200
2018-01-01,-0.037300
2019-01-01,0.238100
2020-01-01,0.049200
