date,value
1901-01-01,0.131751
1902-01-01,0.007723
1903-01-01,0.008132
1904-01-01,-0.004375
1905-01-01,0.023297
1906-01-01,0.093984
1907-01-01,0.116444
1908-01-01,0.084543
1909-01-01,0.047268
1910-01-01,0.049391
1911-01-01,0.108473
1912-01-01,0.103665
1913-01-01,0.108604
1914-01-01,0.054305
1915-01-01,0.061572
1916-01-01,0.069146
1917-01-01,0.067619
1918-01-01,0.108689
1919-01-01,0.165687
1920-01-01,0.162259
1921-01-01,0.078502
1922-01-01,0.053194
1923-01-01,0.041913
1924-01-01,0.031655
1925-01-01,0.032674
1926-01-01,0.044399
1927-01-01,0.038660
1928-01-01,0.072408
1929-01-01,0.059457
1930-01-01,-0.148447
1931-01-01,-0.099591
1932-01-01,-0.001174
1933-01-01,0.003909
1934-01-01,0.100452
1935-01-01,0.126339
1936-01-01,0.080052
1937-01-01,0.082234
1938-01-01,0.068347
1939-01-01,0.074485
1940-01-01,0.073160
1941-01-01,0.123633
1942-01-01,0.126128
1943-01-01,0.089730
1944-01-01,0.038363
1945-01-01,0.039362
1946-01-01,0.039794
1947-01-01,0.042312
1948-01-01,0.043197
1949-01-01,0.043800
1950-01-01,1.363139
1951-01-01,0.206816
1952-01-01,0.027138
1953-01-01,0.025042
1954-01-01,0.070190
1955-01-01,0.070805
1956-01-01,0.151625
1957-01-01,0.149442
1958-01-01,0.070866
1959-01-01,0.071820
1960-01-01,0.180522
1961-01-01,-0.046523
1962-01-01,0.157695
1963-01-01,0.167073
1964-01-01,0.087003
1965-01-01,0.088255
1966-01-01,0.082901
1967-01-01,0.085230
1968-01-01,0.118567
1969-01-01,0.131668
1970-01-01,0.150903
1971-01-01,0.174486
1972-01-01,0.147167
1973-01-01,0.247864
1974-01-01,0.249367
1975-01-01,0.166370
1976-01-01,0.176941
1977-01-01,0.143635
1978-01-01,0.108375
1979-01-01,0.124294
1980-01-01,0.235666
1981-01-01,0.202580
1982-01-01,0.115726
1983-01-01,0.102485
1984-01-01,0.185089
1985-01-01,0.149866
1986-01-01,0.134558
1987-01-01,0.106479
1988-01-01,0.281999
1989-01-01,0.294272
1990-01-01,0.065886
1991-01-01,0.054847
1992-01-01,0.070633
1993-01-01,0.071740
1994-01-01,0.078320
1995-01-01,0.062609
1996-01-01,0.058046
1997-01-01,0.071854
1998-01-01,0.139499
1999-01-01,0.102468
2000-01-01,0.136053
2001-01-01,0.117296
2002-01-01,0.236952
2003-01-01,0.209342
2004-01-01,0.088847
2005-01-01,0.037058
2006-01-01,0.101470
2007-01-01,0.135942
2008-01-01,0.065636
2009-01-01,0.056798
2010-01-01,0.143466
2011-01-01,-0.004763
2012-01-01,0.014367
2013-01-01,0.089003
2014-01-01,0.112339
2015-01-01,0.110453
2016-01-01,0.073653
2017-01-01,0.101280
2018-01-01,0.002144
2019-01-01,-0.023824
2020-01-01,0.071343
