date,value
1870-01-01,0.492253
1871-01-01,0.469877
1872-01-01,0.484794
1873-01-01,0.469877
1874-01-01,0.566836
1875-01-01,0.566836
1876-01-01,0.522086
1877-01-01,0.522086
1878-01-01,0.589211
1879-01-01,0.604128
1880-01-01,0.574295
1881-01-01,0.574295
1882-01-01,0.598907
1883-01-01,0.623520
1884-01-01,0.656337
1885-01-01,0.689154
1886-01-01,0.730175
1887-01-01,0.779400
1888-01-01,0.853238
1889-01-01,0.943484
1890-01-01,0.820421
1891-01-01,0.812217
1892-01-01,0.664541
1893-01-01,0.541478
1894-01-01,0.467640
1895-01-01,0.410211
1896-01-01,0.467640
1897-01-01,0.533274
1898-01-01,0.508661
1899-01-01,0.492253
1900-01-01,0.557886
1901-01-01,0.611382
1902-01-01,0.596098
1903-01-01,0.580813
1904-01-01,0.557886
1905-01-01,0.550244
1906-01-01,0.580813
1907-01-01,0.626667
1908-01-01,0.657236
1909-01-01,0.664878
1910-01-01,0.672520
1911-01-01,0.718374
1912-01-01,0.764228
1913-01-01,0.817724
1914-01-01,0.833008
1915-01-01,0.855935
1916-01-01,0.886504
1917-01-01,0.917073
1918-01-01,0.985854
1919-01-01,1.115773
1920-01-01,1.260976
1921-01-01,1.322114
1922-01-01,1.352683
1923-01-01,1.367968
1924-01-01,1.367968
1925-01-01,1.367968
1926-01-01,1.383252
1927-01-01,1.390895
1928-01-01,1.444391
1929-01-01,1.482602
1930-01-01,1.215122
1931-01-01,1.046992
1932-01-01,1.001138
1933-01-01,0.962927
1934-01-01,1.016423
1935-01-01,1.100488
1936-01-01,1.138699
1937-01-01,1.176911
1938-01-01,1.199838
1939-01-01,1.230407
1940-01-01,1.260976
1941-01-01,1.360325
1942-01-01,1.474960
1943-01-01,1.551382
1944-01-01,1.551382
1945-01-01,1.551382
1946-01-01,1.551382
1947-01-01,1.551382
1948-01-01,1.551382
1949-01-01,1.551382
1950-01-01,3.607155
1951-01-01,4.210895
1952-01-01,4.157399
1953-01-01,4.103903
1954-01-01,4.226180
1955-01-01,4.340814
1956-01-01,4.806993
1957-01-01,5.326668
1958-01-01,5.479513
1959-01-01,5.632359
1960-01-01,6.427156
1961-01-01,5.823416
1962-01-01,6.480652
1963-01-01,7.283091
1964-01-01,7.588782
1965-01-01,7.909758
1966-01-01,8.200164
1967-01-01,8.505855
1968-01-01,9.109595
1969-01-01,9.881465
1970-01-01,10.913173
1971-01-01,12.319352
1972-01-01,13.572686
1973-01-01,16.339190
1974-01-01,19.740004
1975-01-01,22.139679
1976-01-01,25.005534
1977-01-01,27.313502
1978-01-01,28.796104
1979-01-01,30.760169
1980-01-01,36.293178
1981-01-01,41.688627
1982-01-01,44.095944
1983-01-01,46.426839
1984-01-01,52.372531
1985-01-01,57.233020
1986-01-01,61.375135
1987-01-01,64.443892
1988-01-01,78.974869
1989-01-01,98.432446
1990-01-01,100.000000
1991-01-01,100.628517
1992-01-01,103.171819
1993-01-01,106.065921
1994-01-01,109.837024
1995-01-01,111.715267
1996-01-01,113.176935
1997-01-01,116.692246
1998-01-01,128.268655
1999-01-01,136.585544
2000-01-01,150.193671
2001-01-01,162.676314
2002-01-01,195.965797
2003-01-01,231.631572
2004-01-01,246.720938
2005-01-01,250.248323
2006-01-01,269.844902
2007-01-01,300.415567
2008-01-01,313.545275
2009-01-01,324.323394
2010-01-01,363.516553
2011-01-01,354.110195
2012-01-01,351.366674
2013-01-01,374.645806
2014-01-01,408.502026
2015-01-01,445.476583
2016-01-01,469.977795
2017-01-01,509.179734
2018-01-01,501.854400
2019-01-01,481.453045
2020-01-01,507.434705
