date,value
1870-01-01,4.911817
1871-01-01,4.844633
1872-01-01,4.737350
1873-01-01,4.671958
1874-01-01,4.653317
1875-01-01,4.507325
1876-01-01,4.565908
1877-01-01,4.388850
1878-01-01,4.442800
1879-01-01,4.603350
1880-01-01,4.409408
1881-01-01,3.781500
1882-01-01,3.822092
1883-01-01,4.016817
1884-01-01,3.996425
1885-01-01,4.032250
1886-01-01,4.019050
1887-01-01,3.575283
1888-01-01,3.349642
1889-01-01,3.485658
1890-01-01,3.554450
1891-01-01,3.577492
1892-01-01,3.652375
1893-01-01,3.720250
1894-01-01,3.573975
1895-01-01,3.067908
1896-01-01,2.661667
1897-01-01,2.536400
1898-01-01,2.644233
1899-01-01,2.649858
1900-01-01,2.932033
1901-01-01,3.217808
1902-01-01,3.347825
1903-01-01,3.620000
1904-01-01,3.963792
1905-01-01,3.752433
1906-01-01,3.462283
1907-01-01,3.534867
1908-01-01,3.589092
1909-01-01,3.717050
1910-01-01,3.771925
1911-01-01,3.742467
1912-01-01,4.234733
1913-01-01,4.549142
1914-01-01,4.356092
1915-01-01,4.750000
1916-01-01,5.160000
1917-01-01,5.180000
1918-01-01,5.070000
1919-01-01,5.600000
1920-01-01,6.280000
1921-01-01,7.050000
1922-01-01,6.170000
1923-01-01,5.600000
1924-01-01,5.970000
1925-01-01,5.330000
1926-01-01,5.120000
1927-01-01,5.080000
1928-01-01,5.070000
1929-01-01,5.230000
1930-01-01,5.840000
1931-01-01,6.940000
1932-01-01,5.250000
1933-01-01,4.320000
1934-01-01,3.870000
1935-01-01,3.350000
1936-01-01,3.580000
1937-01-01,3.880000
1938-01-01,3.840000
1939-01-01,3.910000
1940-01-01,3.300000
1941-01-01,3.230000
1942-01-01,3.240000
1943-01-01,3.230000
1944-01-01,3.240000
1945-01-01,3.250000
1946-01-01,3.240000
1947-01-01,3.170000
1948-01-01,3.130000
1949-01-01,3.120000
1950-01-01,3.140000
1951-01-01,3.530000
1952-01-01,4.340000
1953-01-01,4.480000
1954-01-01,4.460000
1955-01-01,4.520000
1956-01-01,5.030000
1957-01-01,5.020000
1958-01-01,4.970000
1959-01-01,4.910000
1960-01-01,4.990000
1961-01-01,5.270000
1962-01-01,4.920000
1963-01-01,4.580000
1964-01-01,4.720000
1965-01-01,5.210000
1966-01-01,5.250000
1967-01-01,5.250000
1968-01-01,5.210000
1969-01-01,5.714167
1970-01-01,6.646667
1971-01-01,6.713333
1972-01-01,5.831667
1973-01-01,6.933333
1974-01-01,9.036667
1975-01-01,9.741667
1976-01-01,10.030833
1977-01-01,10.226667
1978-01-01,9.060000
1979-01-01,9.749167
1980-01-01,11.647500
1981-01-01,13.958333
1982-01-01,15.375000
1983-01-01,13.887500
1984-01-01,13.525000
1985-01-01,13.954167
1986-01-01,13.416667
1987-01-01,13.191667
1988-01-01,12.104167
1989-01-01,13.408333
1990-01-01,13.180000
1991-01-01,10.690833
1992-01-01,9.220000
1993-01-01,7.280833
1994-01-01,9.041667
1995-01-01,9.210895
1996-01-01,8.209207
1997-01-01,6.954919
1998-01-01,5.492971
1999-01-01,6.009312
2000-01-01,6.314569
2001-01-01,5.615264
2002-01-01,5.843958
2003-01-01,5.366775
2004-01-01,5.590775
2005-01-01,5.339973
2006-01-01,5.587872
2007-01-01,5.994521
2008-01-01,5.817944
2009-01-01,5.039512
2010-01-01,5.366042
2011-01-01,4.879583
2012-01-01,3.379167
2013-01-01,3.696667
2014-01-01,3.655417
2015-01-01,2.710208
2016-01-01,2.333542
2017-01-01,2.639167
2018-01-01,2.684167
2019-01-01,1.493333
2020-01-01,0.920833
