date,value
1870-01-01,0.033203
1871-01-01,0.033265
1872-01-01,0.030575
1873-01-01,0.033460
1874-01-01,0.033579
1875-01-01,0.033640
1876-01-01,0.033741
1877-01-01,0.033955
1878-01-01,0.033993
1879-01-01,0.034021
1880-01-01,0.034022
1881-01-01,0.034082
1882-01-01,0.033601
1883-01-01,0.033457
1884-01-01,0.034561
1885-01-01,0.034597
1886-01-01,0.034696
1887-01-01,0.034019
1888-01-01,0.033847
1889-01-01,0.033180
1890-01-01,0.032780
1891-01-01,0.032783
1892-01-01,0.032807
1893-01-01,0.032760
1894-01-01,0.032441
1895-01-01,0.031596
1896-01-01,0.031745
1897-01-01,0.031838
1898-01-01,0.030935
1899-01-01,0.030916
1900-01-01,0.031164
1901-01-01,0.031346
1902-01-01,0.031371
1903-01-01,0.031012
1904-01-01,0.031436
1905-01-01,0.031464
1906-01-01,0.031209
1907-01-01,0.031328
1908-01-01,0.031353
1909-01-01,0.030959
1910-01-01,0.030919
1911-01-01,0.030940
1912-01-01,0.031061
1913-01-01,0.031139
1914-01-01,0.031671
1919-01-01,0.027819
1920-01-01,0.028458
1921-01-01,0.028543
1922-01-01,0.028659
1923-01-01,0.030417
1924-01-01,0.033241
1925-01-01,0.036330
1926-01-01,0.036349
1927-01-01,0.036576
1928-01-01,0.036678
1929-01-01,0.039891
1930-01-01,0.034800
1931-01-01,0.023000
1932-01-01,0.024500
1933-01-01,0.025000
1934-01-01,0.023300
1935-01-01,0.019700
1936-01-01,0.018200
1937-01-01,0.016000
1938-01-01,0.016000
1939-01-01,0.016000
1940-01-01,0.016000
1941-01-01,0.015200
1942-01-01,0.014000
1943-01-01,0.014000
1944-01-01,0.012700
1945-01-01,0.012500
1946-01-01,0.012700
1947-01-01,0.014000
1948-01-01,0.014000
1949-01-01,0.014000
1950-01-01,0.014000
1951-01-01,0.014000
1952-01-01,0.014000
1953-01-01,0.014000
1954-01-01,0.014000
1955-01-01,0.014000
1956-01-01,0.014000
1957-01-01,0.016200
1958-01-01,0.021400
1959-01-01,0.016500
1960-01-01,0.031900
1961-01-01,0.033800
1962-01-01,0.026900
1963-01-01,0.025800
1964-01-01,0.033500
1965-01-01,0.046300
1966-01-01,0.052100
1967-01-01,0.052200
1968-01-01,0.040100
1969-01-01,0.069500
1970-01-01,0.078600
1971-01-01,0.050900
1972-01-01,0.038600
1973-01-01,0.061600
1974-01-01,0.102100
1975-01-01,0.069900
1976-01-01,0.097700
1977-01-01,0.070800
1978-01-01,0.071400
1979-01-01,0.107600
1980-01-01,0.140800
1981-01-01,0.152500
1982-01-01,0.140900
1983-01-01,0.105400
1984-01-01,0.114200
1985-01-01,0.095800
1986-01-01,0.081000
1987-01-01,0.070900
1988-01-01,0.067200
1989-01-01,0.086800
1990-01-01,0.096700
1991-01-01,0.093100
1992-01-01,0.093600
1993-01-01,0.081600
1994-01-01,0.056800
1995-01-01,0.047800
1996-01-01,0.032100
1997-01-01,0.034300
1998-01-01,0.035500
1999-01-01,0.027800
2000-01-01,0.042400
2001-01-01,0.041500
2002-01-01,0.032100
2003-01-01,0.022200
2004-01-01,0.020100
2005-01-01,0.020700
2006-01-01,0.029000
2007-01-01,0.038900
2008-01-01,0.036700
2009-01-01,0.006600
2010-01-01,0.004300
2011-01-01,0.010100
2012-01-01,0.001300
2013-01-01,0.000500
2014-01-01,0.000500
2015-01-01,-0.002200
2016-01-01,-0.002637
2017-01-01,-0.003291
2018-01-01,-0.003221
2019-01-01,-0.003563
2020-01-01,-0.004252
