date,value
1870-01-01,0.005250
1871-01-01,0.099776
1872-01-01,0.059206
1873-01-01,-0.089322
1874-01-01,0.001665
1875-01-01,0.048008
1876-01-01,0.050690
1877-01-01,0.069776
1878-01-01,0.043412
1879-01-01,0.113132
1880-01-01,0.064411
1881-01-01,0.053282
1882-01-01,0.013116
1883-01-01,0.024468
1884-01-01,0.061599
1885-01-01,0.110118
1886-01-01,0.096941
1887-01-01,0.000350
1888-01-01,0.041126
1889-01-01,0.038124
1890-01-01,0.095777
1891-01-01,0.059840
1892-01-01,0.007229
1893-01-01,0.070020
1894-01-01,0.063024
1895-01-01,0.000800
1896-01-01,0.025933
1897-01-01,0.046278
1898-01-01,0.003215
1899-01-01,-0.025587
1900-01-01,0.002991
1901-01-01,0.069267
1902-01-01,0.061376
1903-01-01,0.012097
1904-01-01,0.015364
1905-01-01,0.022577
1906-01-01,0.032798
1907-01-01,0.001906
1908-01-01,0.020560
1909-01-01,0.011754
1910-01-01,0.003274
1911-01-01,-0.007944
1912-01-01,-0.063907
1913-01-01,-0.012981
1920-01-01,-0.048936
1921-01-01,0.061726
1922-01-01,0.109201
1923-01-01,-0.142937
1924-01-01,0.064638
1925-01-01,-0.048033
1926-01-01,0.319722
1927-01-01,0.128713
1928-01-01,0.169348
1929-01-01,0.088365
1930-01-01,0.275915
1931-01-01,-0.082021
1932-01-01,0.003818
1933-01-01,0.054438
1934-01-01,0.154150
1935-01-01,0.124983
1936-01-01,0.119848
1937-01-01,0.045069
1938-01-01,-0.120023
1939-01-01,-0.077709
1940-01-01,0.317169
1941-01-01,0.104472
1942-01-01,0.054067
1943-01-01,0.060175
1944-01-01,0.080286
1945-01-01,-0.019574
1946-01-01,-0.054467
1947-01-01,-0.027306
1948-01-01,0.046822
1949-01-01,0.101905
1950-01-01,0.038446
1951-01-01,0.041454
1952-01-01,0.062133
1953-01-01,0.065323
1954-01-01,0.067701
1955-01-01,0.040224
1956-01-01,0.010365
1957-01-01,-0.080948
1958-01-01,0.205498
1959-01-01,0.037111
1960-01-01,-0.019229
1961-01-01,0.062324
1962-01-01,0.111630
1963-01-01,0.034408
1964-01-01,0.023208
1965-01-01,0.056556
1966-01-01,0.039515
1967-01-01,0.082043
1968-01-01,0.061994
1969-01-01,-0.031845
1970-01-01,0.064807
1971-01-01,0.122670
1972-01-01,0.066471
1973-01-01,0.016270
1974-01-01,-0.025417
1975-01-01,0.123228
1976-01-01,0.021615
1977-01-01,0.164045
1978-01-01,0.063875
1979-01-01,-0.083881
1980-01-01,-0.015813
1981-01-01,0.040290
1982-01-01,0.200927
1983-01-01,0.209383
1984-01-01,0.136641
1985-01-01,0.277599
1986-01-01,0.277087
1987-01-01,0.029077
1988-01-01,0.069905
1989-01-01,-0.045031
1990-01-01,0.055170
1991-01-01,0.166439
1992-01-01,0.200480
1993-01-01,0.202781
1994-01-01,-0.032732
1995-01-01,0.189583
1996-01-01,0.136584
1997-01-01,0.099384
1998-01-01,0.171927
1999-01-01,-0.053402
2000-01-01,0.053840
2001-01-01,0.076307
2002-01-01,0.099680
2003-01-01,0.050815
2004-01-01,0.093603
2005-01-01,0.060672
2006-01-01,-0.002951
2007-01-01,-0.008605
2008-01-01,0.032268
2009-01-01,0.108880
2010-01-01,0.014645
2011-01-01,0.006537
2012-01-01,0.243211
2013-01-01,0.001091
2014-01-01,0.156862
2015-01-01,0.022625
2016-01-01,0.049659
2017-01-01,0.031767
2018-01-01,0.002425
2019-01-01,0.090463
2020-01-01,0.044372
