date,value
1890-01-01,-0.041917
1891-01-01,0.071524
1892-01-01,0.078327
1893-01-01,0.223262
1894-01-01,-0.043386
1895-01-01,0.128190
1896-01-01,0.116902
1897-01-01,0.068232
1898-01-01,0.092548
1899-01-01,0.071766
1900-01-01,0.000995
1901-01-01,0.067523
1902-01-01,0.077156
1903-01-01,0.034885
1904-01-01,0.119769
1905-01-01,0.071090
1906-01-01,0.068145
1907-01-01,0.054893
1908-01-01,0.016356
1909-01-01,0.118900
1910-01-01,0.105859
1911-01-01,0.013130
1912-01-01,0.067089
1913-01-01,0.033208
1920-01-01,0.118106
1921-01-01,0.167976
1922-01-01,0.207905
1923-01-01,0.192446
1924-01-01,0.059640
1925-01-01,0.022821
1926-01-01,0.371923
1927-01-01,0.338606
1928-01-01,0.208201
1929-01-01,0.060058
1930-01-01,-0.060114
1931-01-01,-0.056008
1932-01-01,0.001543
1933-01-01,-0.037617
1934-01-01,-0.047252
1935-01-01,0.234041
1936-01-01,0.131039
1937-01-01,0.015505
1938-01-01,-0.000526
1939-01-01,-0.049374
1940-01-01,0.551771
1941-01-01,0.523891
1942-01-01,0.134950
1943-01-01,0.034245
1944-01-01,0.141059
1945-01-01,0.066702
1946-01-01,0.074007
1947-01-01,-0.034193
1948-01-01,0.065911
1949-01-01,0.098232
1950-01-01,0.050509
1951-01-01,0.142593
1952-01-01,0.074013
1953-01-01,0.091003
1954-01-01,0.181060
1955-01-01,0.123471
1956-01-01,0.058613
1957-01-01,0.018262
1958-01-01,0.102585
1959-01-01,0.039689
1960-01-01,0.030361
1961-01-01,0.093009
1962-01-01,0.081715
1963-01-01,0.111614
1964-01-01,0.127750
1976-01-01,0.262475
1977-01-01,0.222905
1978-01-01,0.166931
1979-01-01,0.123260
1980-01-01,0.056166
1981-01-01,0.033178
1982-01-01,0.090692
1983-01-01,0.114244
1984-01-01,0.114189
1985-01-01,0.156839
1986-01-01,0.178618
1987-01-01,0.081906
1988-01-01,0.154371
1989-01-01,0.122543
1990-01-01,0.104970
1991-01-01,0.124694
1992-01-01,0.136490
1993-01-01,0.150959
1994-01-01,0.076382
1995-01-01,0.116550
1996-01-01,0.101066
1997-01-01,0.109897
1998-01-01,0.165989
1999-01-01,0.054785
2000-01-01,0.071803
2001-01-01,0.068536
2002-01-01,0.051692
2003-01-01,0.097638
2004-01-01,0.144461
2005-01-01,0.163616
2006-01-01,0.141570
2007-01-01,0.078294
2008-01-01,0.026631
2009-01-01,0.089730
2010-01-01,0.071625
2011-01-01,0.035897
2012-01-01,0.108751
2013-01-01,0.054421
2014-01-01,0.063623
2015-01-01,0.044046
2016-01-01,0.024902
2017-01-01,0.044392
2018-01-01,-0.017232
2019-01-01,0.106387
2020-01-01,0.017646
