date,value
1870-01-01,0.712070
1871-01-01,0.726170
1872-01-01,0.754371
1873-01-01,0.810773
1874-01-01,0.775522
1875-01-01,0.747321
1876-01-01,0.789622
1877-01-01,0.789622
1878-01-01,0.754371
1879-01-01,0.733221
1880-01-01,0.697970
1881-01-01,0.697970
1882-01-01,0.690919
1883-01-01,0.697970
1884-01-01,0.648618
1885-01-01,0.627468
1886-01-01,0.578116
1887-01-01,0.613367
1888-01-01,0.599267
1889-01-01,0.613367
1890-01-01,0.634518
1891-01-01,0.634518
1892-01-01,0.613367
1893-01-01,0.592217
1894-01-01,0.578116
1895-01-01,0.564016
1896-01-01,0.542865
1897-01-01,0.549915
1898-01-01,0.549915
1899-01-01,0.556966
1900-01-01,0.627468
1901-01-01,0.641568
1902-01-01,0.627468
1903-01-01,0.627468
1904-01-01,0.549915
1905-01-01,0.564016
1906-01-01,0.620417
1907-01-01,0.634518
1908-01-01,0.641568
1909-01-01,0.634518
1910-01-01,0.648618
1911-01-01,0.690919
1912-01-01,0.740271
1913-01-01,0.705020
1914-01-01,0.705020
1915-01-01,0.983777
1916-01-01,1.587450
1917-01-01,3.070708
1918-01-01,4.288923
1919-01-01,2.673026
1920-01-01,3.207840
1921-01-01,2.813029
1922-01-01,2.629724
1923-01-01,3.017484
1924-01-01,3.532149
1925-01-01,3.652002
1926-01-01,4.357022
1927-01-01,5.541455
1928-01-01,5.781162
1929-01-01,6.168923
1930-01-01,6.161873
1931-01-01,5.626058
1932-01-01,5.076142
1933-01-01,4.970389
1934-01-01,4.695431
1935-01-01,4.617879
1936-01-01,4.829385
1937-01-01,5.181895
1938-01-01,5.365200
1939-01-01,5.428652
1940-01-01,8.043841
1941-01-01,15.568118
1942-01-01,23.491258
1943-01-01,26.576841
1944-01-01,25.521040
1945-01-01,19.523706
1946-01-01,17.272984
1947-01-01,17.583192
1948-01-01,20.177665
1949-01-01,19.514946
1950-01-01,19.345742
1951-01-01,21.157642
1952-01-01,21.355048
1953-01-01,21.284546
1954-01-01,21.559504
1955-01-01,21.453751
1956-01-01,22.060068
1957-01-01,22.758037
1958-01-01,23.054146
1959-01-01,23.336153
1960-01-01,23.406655
1961-01-01,23.639312
1962-01-01,23.970671
1963-01-01,24.485336
1964-01-01,25.507614
1965-01-01,26.543993
1966-01-01,27.650874
1967-01-01,28.440496
1968-01-01,29.223068
1969-01-01,30.322899
1970-01-01,31.507332
1971-01-01,32.875071
1972-01-01,34.665821
1973-01-01,37.076988
1974-01-01,41.779470
1975-01-01,47.109419
1976-01-01,51.431190
1977-01-01,55.083192
1978-01-01,57.543711
1979-01-01,60.117033
1980-01-01,64.114495
1981-01-01,69.007332
1982-01-01,75.028201
1983-01-01,80.781162
1984-01-01,85.906655
1985-01-01,90.087422
1986-01-01,91.257755
1987-01-01,92.674845
1988-01-01,93.753525
1989-01-01,96.665257
1990-01-01,100.000000
1991-01-01,103.207840
1992-01-01,105.717710
1993-01-01,108.622391
1994-01-01,111.209814
1995-01-01,112.845460
1996-01-01,115.172025
1997-01-01,116.903060
1998-01-01,117.963371
1999-01-01,119.302255
2000-01-01,122.498363
2001-01-01,125.481198
2002-01-01,127.423647
2003-01-01,129.356664
2004-01-01,131.758817
2005-01-01,135.101538
2006-01-01,138.246702
2007-01-01,140.757262
2008-01-01,147.075095
2009-01-01,147.066924
2010-01-01,150.498752
2011-01-01,155.543540
2012-01-01,159.627416
2013-01-01,161.619511
2014-01-01,162.412100
2015-01-01,163.418769
2016-01-01,166.311310
2017-01-01,170.011148
2018-01-01,173.939775
2019-01-01,176.111632
2020-01-01,176.865000
