date,value
1870-01-01,0.058855
1871-01-01,0.101931
1872-01-01,0.258586
1873-01-01,0.180550
1874-01-01,0.020399
1875-01-01,-0.079992
1876-01-01,-0.105334
1877-01-01,0.001899
1878-01-01,-0.006560
1879-01-01,0.321343
1880-01-01,0.061406
1881-01-01,0.003382
1882-01-01,-0.066641
1883-01-01,-0.032718
1884-01-01,-0.034098
1885-01-01,-0.030099
1886-01-01,0.003622
1887-01-01,0.062960
1888-01-01,0.155621
1889-01-01,0.297145
1890-01-01,0.015375
1891-01-01,-0.019209
1892-01-01,0.028621
1893-01-01,0.008374
1894-01-01,0.129198
1895-01-01,0.034007
1896-01-01,0.106845
1897-01-01,0.130358
1898-01-01,0.148707
1899-01-01,0.039512
1900-01-01,-0.093904
1901-01-01,-0.106352
1902-01-01,0.017840
1903-01-01,0.119176
1904-01-01,0.136911
1905-01-01,0.163979
1906-01-01,0.115409
1907-01-01,-0.070923
1908-01-01,0.023608
1909-01-01,0.172603
1910-01-01,0.088114
1911-01-01,0.000314
1912-01-01,0.077506
1913-01-01,-0.039488
1914-01-01,-0.012595
1915-01-01,0.011960
1916-01-01,0.011292
1917-01-01,0.082387
1918-01-01,0.210188
1919-01-01,0.252551
1920-01-01,-0.084676
1921-01-01,0.006893
1922-01-01,0.280421
1923-01-01,0.513044
1924-01-01,-0.030854
1925-01-01,0.070846
1926-01-01,0.636901
1927-01-01,0.636546
1928-01-01,0.259420
1929-01-01,-0.302257
1930-01-01,-0.288661
1931-01-01,-0.313809
1932-01-01,0.026678
1933-01-01,-0.096824
1934-01-01,-0.188297
1935-01-01,0.526382
1936-01-01,0.266720
1937-01-01,-0.058404
1938-01-01,-0.086987
1939-01-01,-0.199872
1940-01-01,1.257972
1941-01-01,0.759566
1942-01-01,0.081869
1943-01-01,-0.087336
1944-01-01,0.146205
1945-01-01,-0.018136
1946-01-01,-0.092909
1947-01-01,-0.309692
1948-01-01,0.008932
1949-01-01,0.213615
1950-01-01,0.159216
1951-01-01,0.420502
1952-01-01,-0.007112
1953-01-01,0.094325
1954-01-01,0.422305
1955-01-01,0.283792
1956-01-01,-0.024807
1957-01-01,-0.178311
1958-01-01,0.160846
1959-01-01,-0.027248
1960-01-01,-0.137848
1961-01-01,0.167143
1962-01-01,-0.034702
1963-01-01,0.156071
1964-01-01,0.039315
1965-01-01,-0.045631
1966-01-01,-0.190229
1967-01-01,0.249816
1968-01-01,0.161845
1969-01-01,0.046637
1970-01-01,0.051439
1971-01-01,0.091173
1972-01-01,0.309505
1973-01-01,0.069190
1974-01-01,-0.247372
1975-01-01,0.231796
1976-01-01,-0.035011
1977-01-01,0.020514
1978-01-01,0.135155
1979-01-01,0.101386
1980-01-01,-0.114538
1981-01-01,0.110693
1982-01-01,0.280142
1983-01-01,0.449134
1984-01-01,0.246504
1985-01-01,0.381546
1986-01-01,0.436649
1987-01-01,-0.109432
1988-01-01,0.523404
1989-01-01,0.146502
1990-01-01,-0.196813
1991-01-01,0.125692
1992-01-01,-0.014006
1993-01-01,0.345856
1994-01-01,-0.029763
1995-01-01,0.134053
1996-01-01,0.259281
1997-01-01,0.349739
1998-01-01,0.412472
1999-01-01,-0.073025
2000-01-01,0.023514
2001-01-01,-0.023178
2002-01-01,-0.266945
2003-01-01,0.186871
2004-01-01,0.392591
2005-01-01,0.271864
2006-01-01,0.231171
2007-01-01,-0.041536
2008-01-01,-0.560559
2009-01-01,0.524777
2010-01-01,0.114603
2011-01-01,-0.132323
2012-01-01,0.390165
2013-01-01,0.189598
2014-01-01,0.179306
2015-01-01,0.099575
2016-01-01,-0.024200
2017-01-01,0.042000
2018-01-01,-0.206700
2019-01-01,0.248800
2020-01-01,-0.103100
