date,value
1890-01-01,-0.081436
1891-01-01,0.097599
1892-01-01,0.105515
1893-01-01,0.318700
1894-01-01,-0.112721
1895-01-01,0.186760
1896-01-01,0.145904
1897-01-01,0.056677
1898-01-01,0.094277
1899-01-01,0.107267
1900-01-01,0.034511
1901-01-01,0.136684
1902-01-01,0.108501
1903-01-01,0.007255
1904-01-01,0.145638
1905-01-01,0.039592
1906-01-01,0.054378
1907-01-01,0.129025
1908-01-01,0.009076
1909-01-01,0.123541
1910-01-01,0.149871
1911-01-01,0.022036
1912-01-01,0.090770
1913-01-01,0.088963
1914-01-01,0.099381
1915-01-01,0.096862
1916-01-01,0.093382
1917-01-01,0.090277
1918-01-01,0.087514
1919-01-01,0.087258
1920-01-01,0.326144
1921-01-01,0.400216
1922-01-01,0.387305
1923-01-01,0.287259
1924-01-01,0.145510
1925-01-01,0.023402
1926-01-01,0.351776
1927-01-01,0.152130
1928-01-01,0.216445
1929-01-01,0.403405
1930-01-01,-0.016281
1931-01-01,0.081495
1932-01-01,-0.027231
1933-01-01,-0.056384
1934-01-01,-0.074562
1935-01-01,0.141662
1936-01-01,0.063248
1937-01-01,0.054833
1938-01-01,0.096266
1939-01-01,0.015293
1940-01-01,0.176525
1941-01-01,0.496499
1942-01-01,0.313414
1943-01-01,0.198959
1944-01-01,0.219522
1945-01-01,0.174491
1946-01-01,0.229003
1947-01-01,0.010597
1948-01-01,0.119173
1949-01-01,0.059359
1950-01-01,0.007752
1951-01-01,0.053262
1952-01-01,0.136293
1953-01-01,0.118783
1954-01-01,0.116247
1955-01-01,0.074468
1956-01-01,0.132074
1957-01-01,0.134252
1958-01-01,0.068460
1959-01-01,0.077425
1960-01-01,0.109549
1961-01-01,0.087328
1962-01-01,0.113648
1963-01-01,0.141484
1964-01-01,0.191309
1976-01-01,0.318649
1977-01-01,0.252789
1978-01-01,0.188612
1979-01-01,0.148653
1980-01-01,0.060765
1981-01-01,0.000707
1982-01-01,0.029927
1983-01-01,0.056357
1984-01-01,0.092243
1985-01-01,0.100550
1986-01-01,0.132490
1987-01-01,0.143210
1988-01-01,0.154954
1989-01-01,0.204795
1990-01-01,0.177409
1991-01-01,0.120342
1992-01-01,0.147639
1993-01-01,0.127243
1994-01-01,0.140550
1995-01-01,0.112582
1996-01-01,0.086576
1997-01-01,0.085021
1998-01-01,0.125555
1999-01-01,0.135361
2000-01-01,0.100244
2001-01-01,0.099976
2002-01-01,0.109591
2003-01-01,0.109619
2004-01-01,0.109728
2005-01-01,0.179909
2006-01-01,0.158594
2007-01-01,0.133966
2008-01-01,0.083940
2009-01-01,0.021365
2010-01-01,0.087355
2011-01-01,0.071798
2012-01-01,0.048245
2013-01-01,0.044347
2014-01-01,0.027429
2015-01-01,0.041217
2016-01-01,0.059897
2017-01-01,0.069345
2018-01-01,0.060752
2019-01-01,0.071474
2020-01-01,0.073529
