date,value
1878-01-01,0.503338
1879-01-01,0.519673
1880-01-01,0.397770
1881-01-01,0.395653
1882-01-01,0.460688
1883-01-01,0.460083
1884-01-01,0.359355
1885-01-01,0.369942
1886-01-01,0.359960
1887-01-01,0.390208
1888-01-01,0.408357
1889-01-01,0.405333
1890-01-01,0.341810
1891-01-01,0.344835
1892-01-01,0.350885
1893-01-01,0.432556
1894-01-01,0.353910
1895-01-01,0.390208
1896-01-01,0.417432
1897-01-01,0.411382
1898-01-01,0.420457
1899-01-01,0.435581
1900-01-01,0.420457
1901-01-01,0.447681
1902-01-01,0.465830
1903-01-01,0.438606
1904-01-01,0.471880
1905-01-01,0.459780
1906-01-01,0.453731
1907-01-01,0.480954
1908-01-01,0.453731
1909-01-01,0.477929
1910-01-01,0.517253
1911-01-01,0.496079
1912-01-01,0.508178
1913-01-01,0.520278
1919-01-01,0.629173
1920-01-01,0.794464
1921-01-01,1.066395
1922-01-01,1.428969
1923-01-01,1.775548
1924-01-01,1.962167
1925-01-01,1.924843
1926-01-01,2.511360
1927-01-01,2.788623
1928-01-01,3.263168
1929-01-01,4.425539
1930-01-01,4.121616
1931-01-01,4.196264
1932-01-01,3.807030
1933-01-01,3.321820
1934-01-01,2.809951
1935-01-01,2.959246
1936-01-01,2.900594
1937-01-01,2.815283
1938-01-01,2.841942
1939-01-01,2.639327
1940-01-01,2.873934
1941-01-01,4.084292
1942-01-01,5.145355
1943-01-01,5.945152
1944-01-01,7.011546
1945-01-01,7.912650
1946-01-01,9.362947
1947-01-01,9.085685
1948-01-01,9.693530
1949-01-01,9.784173
1950-01-01,9.362947
1951-01-01,9.256308
1952-01-01,9.885481
1953-01-01,10.402682
1954-01-01,10.925216
1955-01-01,11.026523
1956-01-01,11.757004
1957-01-01,12.588792
1958-01-01,12.690099
1959-01-01,12.898046
1960-01-01,13.521887
1961-01-01,13.897495
1962-01-01,14.648711
1963-01-01,15.869437
1964-01-01,18.029183
1965-01-01,19.625517
1966-01-01,21.221851
1967-01-01,24.414519
1968-01-01,22.724283
1969-01-01,24.508421
1970-01-01,24.246849
1971-01-01,24.060120
1972-01-01,26.170058
1973-01-01,29.913120
1974-01-01,34.406110
1975-01-01,39.720544
1976-01-01,49.249486
1977-01-01,58.577777
1978-01-01,66.279092
1979-01-01,72.584512
1980-01-01,73.179649
1981-01-01,69.026077
1982-01-01,66.544566
1983-01-01,65.437813
1984-01-01,66.261554
1985-01-01,67.453610
1986-01-01,70.715083
1987-01-01,74.924581
1988-01-01,80.401054
1989-01-01,90.506842
1990-01-01,100.000000
1991-01-01,105.275420
1992-01-01,113.660867
1993-01-01,120.588949
1994-01-01,129.660054
1995-01-01,136.153325
1996-01-01,139.634929
1997-01-01,143.061056
1998-01-01,152.469597
1999-01-01,164.429708
2000-01-01,172.105363
2001-01-01,180.333317
2002-01-01,190.889869
2003-01-01,202.404921
2004-01-01,215.026620
2005-01-01,243.933802
2006-01-01,272.499797
2007-01-01,298.705004
2008-01-01,313.281588
2009-01-01,309.267661
2010-01-01,325.458592
2011-01-01,337.883708
2012-01-01,343.105228
2013-01-01,347.121928
2014-01-01,345.210271
2015-01-01,350.762847
2016-01-01,360.024740
2017-01-01,373.116086
2018-01-01,383.788046
2019-01-01,399.093582
2020-01-01,415.988075
