date,value
1870-01-01,4.020000
1871-01-01,4.042500
1872-01-01,3.915000
1873-01-01,3.872500
1874-01-01,4.080000
1875-01-01,4.085000
1876-01-01,4.080000
1877-01-01,3.987500
1878-01-01,3.970000
1879-01-01,3.805000
1880-01-01,3.647500
1881-01-01,3.565000
1882-01-01,3.560000
1883-01-01,3.335000
1884-01-01,3.560000
1885-01-01,3.400000
1886-01-01,3.130000
1887-01-01,3.117500
1888-01-01,3.107500
1889-01-01,3.107500
1890-01-01,2.972500
1891-01-01,2.827500
1892-01-01,2.822500
1893-01-01,2.690000
1894-01-01,2.562500
1895-01-01,2.580000
1896-01-01,2.652500
1897-01-01,2.630000
1898-01-01,2.612500
1899-01-01,2.782500
1900-01-01,2.920000
1901-01-01,2.907500
1902-01-01,2.837500
1903-01-01,2.770000
1904-01-01,2.850000
1905-01-01,2.875000
1906-01-01,2.915000
1907-01-01,3.027500
1908-01-01,3.145000
1909-01-01,3.110000
1910-01-01,3.215000
1911-01-01,3.250000
1912-01-01,3.502500
1920-01-01,4.850000
1921-01-01,4.980000
1922-01-01,4.760000
1923-01-01,5.000000
1924-01-01,5.400000
1925-01-01,5.810000
1926-01-01,6.570000
1927-01-01,4.980000
1928-01-01,4.590000
1929-01-01,4.530000
1930-01-01,3.970000
1931-01-01,3.970000
1932-01-01,4.470000
1933-01-01,4.550000
1934-01-01,4.120000
1935-01-01,4.310000
1936-01-01,4.070000
1937-01-01,3.950000
1938-01-01,4.390000
1939-01-01,4.890000
1940-01-01,4.810000
1941-01-01,4.130000
1942-01-01,4.010000
1943-01-01,3.950000
1944-01-01,3.820000
1945-01-01,4.010000
1946-01-01,4.180000
1947-01-01,4.450000
1948-01-01,4.750000
1949-01-01,4.600000
1950-01-01,4.420000
1951-01-01,4.620000
1952-01-01,5.100000
1953-01-01,4.930000
1954-01-01,4.690000
1955-01-01,4.610000
1956-01-01,4.680000
1957-01-01,5.990000
1958-01-01,5.550000
1959-01-01,4.990000
1960-01-01,5.480000
1961-01-01,5.900000
1962-01-01,5.240000
1963-01-01,4.970000
1964-01-01,6.410000
1965-01-01,6.440000
1966-01-01,6.620000
1967-01-01,6.700000
1968-01-01,6.540000
1969-01-01,7.200000
1970-01-01,7.810000
1971-01-01,7.350000
1972-01-01,7.040000
1973-01-01,7.450000
1974-01-01,8.680000
1975-01-01,8.540000
1976-01-01,9.050000
1977-01-01,8.800000
1978-01-01,8.930000
1979-01-01,9.690000
1980-01-01,11.900000
1981-01-01,13.440000
1982-01-01,13.430000
1983-01-01,11.940000
1984-01-01,12.240000
1985-01-01,10.970000
1986-01-01,8.625833
1987-01-01,8.184167
1988-01-01,8.007500
1989-01-01,8.539167
1990-01-01,10.006667
1991-01-01,9.285833
1992-01-01,8.653333
1993-01-01,7.228333
1994-01-01,7.750833
1995-01-01,7.480833
1996-01-01,6.492500
1997-01-01,5.753333
1998-01-01,4.751667
1999-01-01,4.749167
2000-01-01,5.592500
2001-01-01,5.130833
2002-01-01,4.986667
2003-01-01,4.180833
2004-01-01,4.152500
2005-01-01,3.428333
2006-01-01,3.815000
2007-01-01,4.328333
2008-01-01,4.417500
2009-01-01,3.901667
2010-01-01,3.462500
2011-01-01,4.233333
2012-01-01,3.000000
2013-01-01,2.410000
2014-01-01,1.713333
2015-01-01,0.840000
2016-01-01,0.475833
2017-01-01,0.722500
2018-01-01,0.795000
2019-01-01,0.193333
2020-01-01,-0.148333
