date,value
1890-01-01,-0.063862
1891-01-01,0.076920
1892-01-01,0.091605
1893-01-01,0.263411
1894-01-01,-0.065065
1895-01-01,0.153849
1896-01-01,0.136711
1897-01-01,0.074591
1898-01-01,0.109682
1899-01-01,0.086492
1900-01-01,-0.002472
1901-01-01,0.071648
1902-01-01,0.084654
1903-01-01,0.038127
1904-01-01,0.143074
1905-01-01,0.081143
1906-01-01,0.075904
1907-01-01,0.063313
1908-01-01,0.014049
1909-01-01,0.141959
1910-01-01,0.126086
1911-01-01,0.013496
1912-01-01,0.085430
1913-01-01,0.038726
1914-01-01,0.063645
1915-01-01,0.073146
1916-01-01,0.072689
1917-01-01,0.088361
1918-01-01,0.119384
1919-01-01,0.133647
1920-01-01,0.217698
1921-01-01,0.282412
1922-01-01,0.347014
1923-01-01,0.393294
1924-01-01,0.067588
1925-01-01,0.046325
1926-01-01,0.504249
1927-01-01,0.444506
1928-01-01,0.242582
1929-01-01,0.058693
1930-01-01,-0.135722
1931-01-01,-0.067288
1932-01-01,-0.004557
1933-01-01,-0.072926
1934-01-01,-0.116149
1935-01-01,0.315784
1936-01-01,0.159816
1937-01-01,0.008368
1938-01-01,0.023943
1939-01-01,-0.059315
1940-01-01,0.713660
1941-01-01,0.665051
1942-01-01,0.166588
1943-01-01,0.033209
1944-01-01,0.186665
1945-01-01,0.106862
1946-01-01,0.133153
1947-01-01,-0.049949
1948-01-01,0.081274
1949-01-01,0.115295
1950-01-01,0.060298
1951-01-01,0.184858
1952-01-01,0.087315
1953-01-01,0.110324
1954-01-01,0.231702
1955-01-01,0.156997
1956-01-01,0.074462
1957-01-01,0.035803
1958-01-01,0.098797
1959-01-01,0.044531
1960-01-01,0.039918
1961-01-01,0.110201
1962-01-01,0.086933
1963-01-01,0.144167
1964-01-01,0.164960
1976-01-01,0.300244
1977-01-01,0.242926
1978-01-01,0.186333
1979-01-01,0.146622
1980-01-01,0.054136
1981-01-01,0.005088
1982-01-01,0.042633
1983-01-01,0.084867
1984-01-01,0.105741
1985-01-01,0.133351
1986-01-01,0.178284
1987-01-01,0.108246
1988-01-01,0.219478
1989-01-01,0.194553
1990-01-01,0.126291
1991-01-01,0.121067
1992-01-01,0.128965
1993-01-01,0.157102
1994-01-01,0.120083
1995-01-01,0.115204
1996-01-01,0.110926
1997-01-01,0.133486
1998-01-01,0.196493
1999-01-01,0.087701
2000-01-01,0.082378
2001-01-01,0.072731
2002-01-01,0.045305
2003-01-01,0.123177
2004-01-01,0.174747
2005-01-01,0.203174
2006-01-01,0.177749
2007-01-01,0.095420
2008-01-01,0.024073
2009-01-01,0.100012
2010-01-01,0.091636
2011-01-01,0.045202
2012-01-01,0.104331
2013-01-01,0.071243
2014-01-01,0.059080
2015-01-01,0.054077
2016-01-01,0.025563
2017-01-01,0.058430
2018-01-01,-0.025769
2019-01-01,0.135464
2020-01-01,0.016395
