date,value
1870-01-01,6.196613
1871-01-01,6.380275
1872-01-01,6.971189
1873-01-01,6.915292
1874-01-01,6.731630
1875-01-01,6.436172
1876-01-01,6.436172
1877-01-01,6.196613
1878-01-01,6.076833
1879-01-01,6.020936
1880-01-01,6.196613
1881-01-01,6.469993
1882-01-01,6.880063
1883-01-01,6.925626
1884-01-01,6.059923
1885-01-01,6.059923
1886-01-01,6.014359
1887-01-01,6.378866
1888-01-01,6.105486
1889-01-01,6.242176
1890-01-01,6.105486
1891-01-01,6.105486
1892-01-01,6.105486
1893-01-01,6.059923
1894-01-01,5.558726
1895-01-01,5.285346
1896-01-01,5.558726
1897-01-01,5.604290
1898-01-01,5.832106
1899-01-01,5.649853
1900-01-01,5.832106
1901-01-01,5.877669
1902-01-01,5.968796
1903-01-01,6.014359
1904-01-01,6.105486
1905-01-01,6.151050
1906-01-01,6.287739
1907-01-01,6.469993
1908-01-01,6.606683
1909-01-01,6.743372
1910-01-01,6.925626
1911-01-01,7.107879
1912-01-01,7.426823
1913-01-01,7.654639
1914-01-01,7.701031
1915-01-01,7.840206
1916-01-01,8.489691
1917-01-01,10.051550
1918-01-01,11.365980
1919-01-01,12.494850
1920-01-01,14.474230
1921-01-01,12.742270
1922-01-01,11.659790
1923-01-01,11.690720
1924-01-01,11.489690
1925-01-01,11.597940
1926-01-01,11.721650
1927-01-01,11.520620
1928-01-01,11.567010
1929-01-01,11.706190
1930-01-01,11.628870
1931-01-01,10.484540
1932-01-01,9.525773
1933-01-01,9.077320
1934-01-01,9.201031
1935-01-01,9.262887
1936-01-01,9.448454
1937-01-01,9.742268
1938-01-01,9.850515
1939-01-01,9.773196
1940-01-01,10.159790
1941-01-01,10.762890
1942-01-01,11.273200
1943-01-01,11.474230
1944-01-01,11.536080
1945-01-01,11.597940
1946-01-01,11.984540
1947-01-01,13.113400
1948-01-01,15.003860
1949-01-01,15.483980
1950-01-01,15.944100
1951-01-01,17.604530
1952-01-01,18.044640
1953-01-01,17.884600
1954-01-01,17.984630
1955-01-01,18.024640
1956-01-01,18.284710
1957-01-01,18.869860
1958-01-01,19.363320
1959-01-01,19.571700
1960-01-01,19.828440
1961-01-01,20.000150
1962-01-01,20.235860
1963-01-01,20.593880
1964-01-01,20.963020
1965-01-01,21.478920
1966-01-01,22.281680
1967-01-01,23.077780
1968-01-01,24.020640
1969-01-01,25.103590
1970-01-01,25.948600
1971-01-01,26.684650
1972-01-01,27.958850
1973-01-01,30.086950
1974-01-01,33.355820
1975-01-01,36.962690
1976-01-01,39.737900
1977-01-01,42.913370
1978-01-01,46.738170
1979-01-01,51.012160
1980-01-01,56.206780
1981-01-01,63.211490
1982-01-01,70.040460
1983-01-01,74.114120
1984-01-01,77.329800
1985-01-01,80.385050
1986-01-01,83.740230
1987-01-01,87.395370
1988-01-01,90.911000
1989-01-01,95.452010
1990-01-01,100.000000
1991-01-01,105.615200
1992-01-01,107.205600
1993-01-01,109.179700
1994-01-01,109.382000
1995-01-01,111.753600
1996-01-01,113.497500
1997-01-01,115.326479
1998-01-01,116.464963
1999-01-01,118.496878
2000-01-01,121.740029
2001-01-01,124.793006
2002-01-01,127.632837
2003-01-01,131.132529
2004-01-01,133.546066
2005-01-01,136.525016
2006-01-01,139.279333
2007-01-01,142.246796
2008-01-01,145.639277
2009-01-01,146.075782
2010-01-01,148.660346
2011-01-01,152.957744
2012-01-01,155.297254
2013-01-01,156.733123
2014-01-01,159.742706
2015-01-01,161.529565
2016-01-01,163.848654
2017-01-01,166.475338
2018-01-01,170.250949
2019-01-01,173.569606
2020-01-01,174.814103
