date,value
1921-01-01,3.070198
1922-01-01,2.777114
1923-01-01,2.855638
1924-01-01,2.773796
1925-01-01,2.712967
1926-01-01,2.687529
1927-01-01,2.690847
1928-01-01,2.760524
1929-01-01,2.886606
1930-01-01,2.797021
1931-01-01,2.591309
1932-01-01,2.349100
1933-01-01,2.237396
1934-01-01,2.301543
1935-01-01,2.271681
1936-01-01,2.325874
1937-01-01,2.491771
1938-01-01,2.423200
1939-01-01,2.436472
1940-01-01,2.585779
1941-01-01,2.877758
1942-01-01,3.115543
1943-01-01,3.358859
1944-01-01,3.519226
1945-01-01,3.602174
1946-01-01,3.864291
1947-01-01,4.335438
1948-01-01,5.014510
1949-01-01,5.308700
1956-01-01,6.835476
1957-01-01,7.284601
1958-01-01,7.878494
1959-01-01,8.097927
1960-01-01,8.085388
1961-01-01,8.051761
1962-01-01,8.152073
1963-01-01,8.218758
1964-01-01,8.585809
1965-01-01,9.071981
1966-01-01,9.994739
1967-01-01,10.892419
1968-01-01,12.124093
1969-01-01,13.242345
1970-01-01,13.323279
1971-01-01,14.010075
1972-01-01,15.157966
1973-01-01,18.412981
1974-01-01,23.400662
1975-01-01,26.148417
1976-01-01,29.402356
1977-01-01,29.214775
1978-01-01,30.268850
1979-01-01,34.204637
1980-01-01,43.599363
1981-01-01,63.420146
1982-01-01,60.007484
1983-01-01,57.350039
1984-01-01,57.207457
1985-01-01,56.457865
1986-01-01,61.131016
1987-01-01,70.236177
1988-01-01,78.381908
1989-01-01,92.128915
1990-01-01,100.000000
1991-01-01,97.125626
1992-01-01,101.066304
1993-01-01,108.082634
1994-01-01,112.031627
1995-01-01,110.551274
1996-01-01,108.210786
1997-01-01,111.046274
1998-01-01,111.771654
1999-01-01,112.290133
2000-01-01,113.742850
2001-01-01,115.927305
2002-01-01,124.953471
2003-01-01,137.601158
2004-01-01,152.714551
2005-01-01,167.377944
2006-01-01,186.500493
2007-01-01,207.064754
2008-01-01,223.046842
2009-01-01,217.622631
2010-01-01,234.280697
2011-01-01,249.784660
2012-01-01,259.231723
2013-01-01,265.901386
2014-01-01,280.067053
2015-01-01,295.118075
2016-01-01,324.334765
2017-01-01,363.880587
2018-01-01,378.594259
2019-01-01,383.025491
2020-01-01,405.504436
