date,value
1875-01-01,0.053800
1876-01-01,0.056000
1877-01-01,0.056200
1878-01-01,0.051300
1879-01-01,0.040000
1880-01-01,0.034800
1881-01-01,0.035700
1882-01-01,0.043500
1883-01-01,0.046700
1884-01-01,0.045300
1885-01-01,0.043400
1886-01-01,0.040500
1887-01-01,0.035000
1888-01-01,0.033400
1889-01-01,0.035700
1890-01-01,0.041100
1891-01-01,0.043900
1892-01-01,0.042800
1893-01-01,0.040800
1894-01-01,0.040000
1895-01-01,0.039200
1896-01-01,0.038600
1897-01-01,0.046200
1898-01-01,0.045800
1899-01-01,0.056700
1900-01-01,0.062200
1901-01-01,0.057500
1902-01-01,0.044600
1903-01-01,0.045400
1904-01-01,0.047900
1905-01-01,0.045500
1906-01-01,0.054500
1907-01-01,0.064200
1908-01-01,0.067800
1909-01-01,0.053400
1910-01-01,0.053500
1911-01-01,0.049900
1912-01-01,0.053800
1913-01-01,0.059800
1914-01-01,0.059700
1915-01-01,0.059800
1916-01-01,0.052800
1917-01-01,0.047700
1918-01-01,0.054700
1919-01-01,0.061100
1920-01-01,0.073100
1921-01-01,0.062000
1922-01-01,0.056400
1923-01-01,0.061100
1924-01-01,0.063925
1925-01-01,0.063925
1926-01-01,0.053325
1927-01-01,0.049425
1928-01-01,0.049225
1929-01-01,0.051525
1930-01-01,0.047325
1931-01-01,0.046025
1932-01-01,0.052525
1933-01-01,0.045325
1934-01-01,0.038725
1935-01-01,0.036825
1936-01-01,0.043125
1937-01-01,0.045825
1938-01-01,0.045525
1939-01-01,0.046425
1940-01-01,0.048125
1941-01-01,0.040000
1942-01-01,0.040000
1943-01-01,0.040000
1944-01-01,0.040000
1945-01-01,0.040000
1946-01-01,0.035208
1947-01-01,0.035000
1948-01-01,0.035000
1949-01-01,0.035000
1950-01-01,0.040833
1951-01-01,0.050000
1952-01-01,0.050000
1953-01-01,0.048750
1954-01-01,0.050000
1955-01-01,0.057917
1956-01-01,0.060000
1957-01-01,0.060000
1958-01-01,0.056458
1959-01-01,0.051458
1960-01-01,0.059583
1961-01-01,0.066250
1962-01-01,0.070000
1963-01-01,0.068125
1964-01-01,0.065417
1965-01-01,0.070000
1966-01-01,0.070000
1967-01-01,0.070417
1968-01-01,0.071667
1969-01-01,0.085000
1970-01-01,0.095000
1971-01-01,0.081875
1972-01-01,0.077708
1973-01-01,0.081042
1974-01-01,0.133367
1975-01-01,0.064708
1976-01-01,0.102800
1977-01-01,0.144817
1978-01-01,0.154200
1979-01-01,0.126333
1980-01-01,0.169275
1981-01-01,0.148400
1982-01-01,0.169183
1983-01-01,0.128100
1984-01-01,0.117725
1985-01-01,0.103325
1986-01-01,0.092250
1987-01-01,0.101083
1988-01-01,0.085275
1989-01-01,0.095936
1990-01-01,0.108930
1991-01-01,0.096995
1992-01-01,0.110351
1993-01-01,0.104054
1994-01-01,0.061344
1995-01-01,0.060693
1996-01-01,0.038693
1997-01-01,0.036585
1998-01-01,0.041462
1999-01-01,0.033076
2000-01-01,0.049074
2001-01-01,0.046186
2002-01-01,0.034848
2003-01-01,0.023753
2004-01-01,0.021617
2005-01-01,0.021995
2006-01-01,0.031815
2007-01-01,0.043275
2008-01-01,0.048808
2009-01-01,0.018092
2010-01-01,0.007019
2011-01-01,0.008877
2012-01-01,0.000801
2013-01-01,-0.000231
2014-01-01,0.000641
2015-01-01,-0.001260
2016-01-01,-0.004400
2017-01-01,-0.004400
2018-01-01,-0.004900
2019-01-01,-0.005500
2020-01-01,-0.001500
