date,value
1870-01-01,0.057402
1871-01-01,0.110778
1872-01-01,0.076056
1873-01-01,0.054645
1874-01-01,0.043243
1875-01-01,0.045946
1876-01-01,0.013477
1877-01-01,0.016667
1878-01-01,0.082857
1879-01-01,0.082645
1880-01-01,0.076923
1881-01-01,0.043590
1882-01-01,0.046036
1883-01-01,0.043257
1884-01-01,0.050761
1885-01-01,0.045226
1886-01-01,0.025000
1887-01-01,0.027919
1888-01-01,0.048593
1889-01-01,0.030303
1890-01-01,0.012690
1891-01-01,0.005195
1892-01-01,0.040214
1893-01-01,0.042781
1894-01-01,0.111702
1895-01-01,0.024752
1896-01-01,0.030000
1897-01-01,0.047739
1898-01-01,0.017370
1899-01-01,-0.015152
1900-01-01,0.015957
1901-01-01,0.100543
1902-01-01,0.040921
1903-01-01,0.040712
1904-01-01,0.027848
1905-01-01,0.040816
1906-01-01,0.022843
1907-01-01,0.023136
1908-01-01,0.023438
1909-01-01,0.023747
1910-01-01,0.040107
1911-01-01,0.029333
1912-01-01,-0.032258
1913-01-01,-0.005780
1914-01-01,0.039394
1916-01-01,0.164179
1917-01-01,0.003356
1918-01-01,0.045614
1919-01-01,-0.137324
1920-01-01,0.017316
1921-01-01,0.244344
1922-01-01,0.168582
1923-01-01,-0.024561
1924-01-01,-0.023873
1925-01-01,0.077586
1926-01-01,0.090141
1927-01-01,0.084469
1928-01-01,0.092593
1929-01-01,0.063613
1930-01-01,0.065327
1931-01-01,-0.022277
1932-01-01,0.138667
1933-01-01,0.085995
1934-01-01,0.050614
1935-01-01,0.007595
1936-01-01,0.023560
1937-01-01,0.040000
1938-01-01,0.080214
1939-01-01,-0.012887
1940-01-01,0.085165
1941-01-01,0.058047
1942-01-01,0.101299
1943-01-01,0.043038
1944-01-01,0.078283
1945-01-01,0.073669
1946-01-01,0.031175
1947-01-01,0.009662
1948-01-01,-0.022388
1949-01-01,0.058355
1950-01-01,-0.028721
1951-01-01,-0.036517
1952-01-01,0.048930
1953-01-01,0.087500
1954-01-01,-0.053571
1955-01-01,0.043077
1956-01-01,0.043887
1957-01-01,0.108626
1958-01-01,0.183486
1959-01-01,0.010899
1960-01-01,0.022792
1961-01-01,-0.020649
1962-01-01,0.083333
1963-01-01,0.144654
1964-01-01,-0.058140
1965-01-01,-0.036184
1966-01-01,0.007493
1967-01-01,0.063324
1968-01-01,0.197511
1969-01-01,-0.088633
1970-01-01,0.078209
1971-01-01,0.142332
1972-01-01,0.098669
1973-01-01,-0.056725
1974-01-01,0.004801
1975-01-01,0.296133
1976-01-01,-0.019918
1977-01-01,0.017880
1978-01-01,0.217419
1979-01-01,0.049214
1980-01-01,0.090162
1981-01-01,0.168602
1982-01-01,0.122753
1983-01-01,0.685726
1984-01-01,0.040114
1985-01-01,0.444903
1986-01-01,-0.080356
1987-01-01,0.091404
1988-01-01,0.345296
1989-01-01,0.021851
1990-01-01,0.079798
1991-01-01,0.198573
1992-01-01,0.076612
1993-01-01,0.262681
1994-01-01,-0.110289
1995-01-01,0.204579
1996-01-01,0.115118
1997-01-01,0.122174
1998-01-01,0.144741
1999-01-01,-0.043159
2000-01-01,0.085023
2001-01-01,0.054231
2002-01-01,0.098534
2003-01-01,0.042591
2004-01-01,0.085198
2005-01-01,0.078614
2006-01-01,-0.012141
2007-01-01,0.003036
2008-01-01,0.120100
2009-01-01,0.005765
2010-01-01,0.076342
2011-01-01,0.142488
2012-01-01,0.061103
2013-01-01,-0.067169
2014-01-01,0.143458
2015-01-01,-0.028944
2016-01-01,0.047262
2017-01-01,0.031711
2018-01-01,0.020568
2019-01-01,0.069447
2020-01-01,0.017344
