date,value
1880-01-01,0.125569
1881-01-01,0.074671
1882-01-01,0.081649
1883-01-01,0.069177
1884-01-01,0.072557
1885-01-01,0.015048
1886-01-01,0.039361
1887-01-01,0.051139
1888-01-01,0.065070
1889-01-01,0.095099
1890-01-01,0.060802
1891-01-01,0.043168
1892-01-01,0.074915
1893-01-01,0.080615
1894-01-01,0.078931
1895-01-01,0.090514
1896-01-01,0.069463
1897-01-01,0.062833
1898-01-01,0.082880
1899-01-01,0.055818
1900-01-01,0.063400
1901-01-01,0.091340
1902-01-01,0.119661
1903-01-01,0.108876
1904-01-01,0.107544
1905-01-01,0.109814
1906-01-01,0.119152
1907-01-01,0.096943
1908-01-01,0.056761
1909-01-01,0.094718
1910-01-01,0.081004
1911-01-01,0.129771
1912-01-01,0.088514
1913-01-01,0.122397
1914-01-01,0.079549
1916-01-01,0.339355
1917-01-01,0.125497
1918-01-01,0.268442
1919-01-01,0.129670
1920-01-01,0.041320
1921-01-01,-0.010856
1922-01-01,-0.031032
1923-01-01,0.109677
1924-01-01,0.141205
1925-01-01,0.084099
1926-01-01,-0.052399
1927-01-01,-0.001658
1928-01-01,0.077803
1929-01-01,0.131943
1930-01-01,0.085630
1931-01-01,-0.035041
1932-01-01,-0.046132
1933-01-01,0.119224
1934-01-01,0.167966
1935-01-01,0.096896
1936-01-01,0.087768
1937-01-01,0.037898
1938-01-01,0.081130
1939-01-01,0.084767
1940-01-01,0.097093
1941-01-01,0.160325
1942-01-01,0.181381
1943-01-01,0.170258
1944-01-01,0.186617
1945-01-01,0.130822
1946-01-01,0.201743
1947-01-01,0.192502
1948-01-01,0.129982
1949-01-01,0.010004
1950-01-01,0.098601
1951-01-01,0.124405
1952-01-01,0.086829
1953-01-01,0.100360
1954-01-01,0.096101
1955-01-01,0.107900
1956-01-01,0.112307
1957-01-01,0.137992
1958-01-01,0.113618
1959-01-01,0.148603
1960-01-01,0.184799
1961-01-01,0.281134
1962-01-01,0.154092
1963-01-01,0.124033
1964-01-01,0.180502
1965-01-01,0.102007
1966-01-01,0.173468
1967-01-01,0.087405
1968-01-01,0.089254
1969-01-01,0.108425
1970-01-01,0.192196
1971-01-01,0.112438
1972-01-01,0.241392
1973-01-01,0.238793
1974-01-01,0.074270
1975-01-01,0.224198
1976-01-01,0.148270
1977-01-01,0.167718
1978-01-01,0.192452
1979-01-01,0.129190
1980-01-01,0.035272
1981-01-01,0.068015
1982-01-01,0.071775
1983-01-01,0.350628
1984-01-01,0.162512
1985-01-01,0.218435
1986-01-01,0.108231
1987-01-01,-0.008986
1988-01-01,0.104056
1989-01-01,0.098478
1990-01-01,0.024222
1991-01-01,0.093655
1992-01-01,0.044833
1993-01-01,0.088235
1994-01-01,0.122728
1995-01-01,0.115801
1996-01-01,0.161867
1997-01-01,0.198983
1998-01-01,0.090775
1999-01-01,0.108146
2000-01-01,0.112484
2001-01-01,0.046788
2002-01-01,0.034132
2003-01-01,0.106523
2004-01-01,0.133836
2005-01-01,0.234943
2006-01-01,0.217517
2007-01-01,0.067060
2008-01-01,-0.063344
2009-01-01,-0.004872
2010-01-01,0.111448
2011-01-01,-0.015286
2012-01-01,0.059237
2013-01-01,0.116713
2014-01-01,0.105574
2015-01-01,0.120779
2016-01-01,0.036893
2017-01-01,0.106447
2018-01-01,0.027744
2019-01-01,0.128172
2020-01-01,0.153783
