date,value
1870-01-01,2.813710
1871-01-01,3.037528
1872-01-01,3.171046
1873-01-01,3.347215
1874-01-01,3.179854
1875-01-01,2.904675
1876-01-01,2.759441
1877-01-01,2.595514
1878-01-01,2.417390
1879-01-01,2.443107
1880-01-01,2.637445
1881-01-01,2.692970
1882-01-01,2.665208
1883-01-01,2.526395
1884-01-01,2.470870
1885-01-01,2.387582
1886-01-01,2.276532
1887-01-01,2.276532
1888-01-01,2.221006
1889-01-01,2.304294
1890-01-01,2.332057
1891-01-01,2.554157
1892-01-01,2.415344
1893-01-01,2.276532
1894-01-01,2.221006
1895-01-01,2.165481
1896-01-01,2.109956
1897-01-01,2.109956
1898-01-01,2.221006
1899-01-01,2.276532
1900-01-01,2.332057
1901-01-01,2.415344
1902-01-01,2.415344
1903-01-01,2.332057
1904-01-01,2.332057
1905-01-01,2.387582
1906-01-01,2.415344
1907-01-01,2.554157
1908-01-01,2.609683
1909-01-01,2.526395
1910-01-01,2.554157
1911-01-01,2.526395
1912-01-01,2.665208
1913-01-01,2.776258
1914-01-01,2.859546
1915-01-01,3.383796
1916-01-01,3.955705
1917-01-01,4.575273
1918-01-01,5.385478
1919-01-01,6.386319
1920-01-01,7.577796
1921-01-01,6.433978
1922-01-01,5.480796
1923-01-01,5.719091
1924-01-01,6.052705
1925-01-01,5.862069
1926-01-01,5.004205
1927-01-01,4.813569
1928-01-01,4.813569
1929-01-01,4.765910
1930-01-01,4.527614
1931-01-01,4.289319
1932-01-01,4.241660
1933-01-01,4.384637
1934-01-01,4.527614
1935-01-01,4.718250
1936-01-01,4.765910
1937-01-01,4.956546
1938-01-01,5.004205
1939-01-01,5.147182
1940-01-01,6.386319
1941-01-01,7.339500
1942-01-01,7.577796
1943-01-01,7.625455
1944-01-01,7.816092
1945-01-01,7.911410
1946-01-01,7.863751
1947-01-01,8.078217
1948-01-01,8.292683
1949-01-01,8.518863
1950-01-01,9.042368
1951-01-01,9.994196
1952-01-01,10.374930
1953-01-01,10.470110
1954-01-01,10.470110
1955-01-01,11.041210
1956-01-01,11.707490
1957-01-01,12.028730
1958-01-01,12.116710
1959-01-01,12.326030
1960-01-01,12.480750
1961-01-01,12.911540
1962-01-01,13.864130
1963-01-01,14.710540
1964-01-01,15.165510
1965-01-01,15.992030
1966-01-01,17.121860
1967-01-01,18.527200
1968-01-01,20.000780
1969-01-01,20.698390
1970-01-01,22.046860
1971-01-01,23.340980
1972-01-01,24.872700
1973-01-01,27.186700
1974-01-01,31.339520
1975-01-01,34.349880
1976-01-01,37.441370
1977-01-01,41.612010
1978-01-01,45.776940
1979-01-01,50.176580
1980-01-01,56.350980
1981-01-01,62.969050
1982-01-01,69.342030
1983-01-01,74.132350
1984-01-01,78.795850
1985-01-01,82.482510
1986-01-01,85.516370
1987-01-01,88.930630
1988-01-01,92.988300
1989-01-01,97.426380
1990-01-01,100.000000
1991-01-01,102.395100
1992-01-01,104.541400
1993-01-01,105.856400
1994-01-01,107.965100
1995-01-01,110.214600
1996-01-01,112.556200
1997-01-01,114.785051
1998-01-01,116.291925
1999-01-01,118.678069
2000-01-01,121.902590
2001-01-01,124.721292
2002-01-01,127.670548
2003-01-01,130.226570
2004-01-01,131.379533
2005-01-01,133.581644
2006-01-01,136.098343
2007-01-01,138.352361
2008-01-01,143.385758
2009-01-01,144.880048
2010-01-01,148.065245
2011-01-01,151.997586
2012-01-01,155.576017
2013-01-01,156.389225
2014-01-01,156.939753
2015-01-01,157.293664
2016-01-01,157.320404
2017-01-01,158.984571
2018-01-01,160.112366
2019-01-01,161.277912
2020-01-01,161.815857
