date,value
1873-01-01,-0.010062
1874-01-01,0.110279
1875-01-01,0.080569
1876-01-01,-0.020716
1877-01-01,-0.060057
1878-01-01,0.147498
1879-01-01,0.170568
1880-01-01,0.198211
1881-01-01,0.090195
1882-01-01,0.057093
1883-01-01,0.069079
1884-01-01,0.041175
1885-01-01,-0.079145
1886-01-01,0.116720
1887-01-01,0.034403
1888-01-01,0.127781
1889-01-01,0.090050
1890-01-01,0.010680
1891-01-01,0.035638
1892-01-01,0.057857
1893-01-01,0.077045
1894-01-01,0.103030
1895-01-01,0.112005
1896-01-01,0.071261
1897-01-01,0.036436
1898-01-01,0.066215
1899-01-01,-0.025714
1900-01-01,0.046884
1901-01-01,0.050443
1902-01-01,0.084967
1903-01-01,0.079426
1904-01-01,0.069142
1905-01-01,0.097994
1906-01-01,0.103996
1907-01-01,0.002328
1908-01-01,-0.050522
1909-01-01,0.113737
1910-01-01,0.056908
1911-01-01,0.131163
1912-01-01,0.076426
1913-01-01,0.036704
1914-01-01,0.003126
1915-01-01,0.441937
1916-01-01,0.674634
1917-01-01,0.055032
1918-01-01,0.241827
1919-01-01,-0.039540
1920-01-01,-0.081754
1921-01-01,-0.207868
1922-01-01,-0.084309
1923-01-01,0.170911
1924-01-01,0.120036
1925-01-01,0.022568
1926-01-01,-0.072333
1927-01-01,0.120512
1928-01-01,0.108773
1929-01-01,0.073450
1930-01-01,0.010390
1931-01-01,-0.089992
1932-01-01,-0.104332
1933-01-01,0.248983
1934-01-01,0.236836
1935-01-01,0.080587
1936-01-01,0.144076
1937-01-01,-0.005099
1938-01-01,0.028394
1939-01-01,0.081447
1940-01-01,0.015732
1941-01-01,0.253400
1942-01-01,0.130249
1943-01-01,0.134942
1944-01-01,0.101787
1945-01-01,-0.083032
1946-01-01,0.057749
1947-01-01,0.052977
1948-01-01,0.045700
1949-01-01,-0.027697
1950-01-01,0.255521
1951-01-01,-0.028101
1952-01-01,-0.011066
1953-01-01,0.093096
1954-01-01,0.152721
1955-01-01,0.160866
1956-01-01,0.169929
1957-01-01,0.109500
1958-01-01,0.065755
1959-01-01,0.302125
1960-01-01,0.161204
1961-01-01,0.044800
1962-01-01,0.060297
1963-01-01,-0.002929
1964-01-01,0.240819
1965-01-01,0.071166
1966-01-01,0.092304
1967-01-01,-0.149157
1968-01-01,0.082333
1969-01-01,0.198129
1970-01-01,-0.051790
1971-01-01,-0.011853
1972-01-01,0.486565
1973-01-01,0.624322
1974-01-01,-0.226101
1975-01-01,0.164450
1976-01-01,0.356811
1977-01-01,0.078410
1978-01-01,-0.000933
1979-01-01,0.020367
1980-01-01,-0.015120
1981-01-01,0.775242
1982-01-01,0.348677
1983-01-01,0.816431
1984-01-01,0.096399
1985-01-01,0.066289
1986-01-01,0.027795
1987-01-01,-0.138700
1988-01-01,0.154202
1989-01-01,0.418582
1990-01-01,0.113232
1991-01-01,0.093941
1992-01-01,-0.069352
1993-01-01,0.033562
1994-01-01,0.205731
1995-01-01,0.012023
1996-01-01,0.319602
1997-01-01,0.437620
1998-01-01,-0.039034
1999-01-01,0.232490
2000-01-01,0.169700
2001-01-01,-0.128663
2002-01-01,-0.202343
2003-01-01,0.330832
2004-01-01,0.240313
2005-01-01,0.431542
2006-01-01,0.224434
2007-01-01,0.071343
2008-01-01,-0.479554
2009-01-01,0.354730
2010-01-01,0.326784
2011-01-01,-0.163201
2012-01-01,0.266415
2013-01-01,0.306480
2014-01-01,0.197683
2015-01-01,0.339859
2016-01-01,-0.060600
2017-01-01,0.187200
2018-01-01,-0.079500
2019-01-01,0.297100
2020-01-01,0.305700
