date,value
1876-01-01,0.121796
1877-01-01,0.076181
1878-01-01,0.033996
1879-01-01,0.050493
1880-01-01,0.125135
1881-01-01,0.086002
1882-01-01,0.120783
1883-01-01,0.083111
1884-01-01,0.108324
1885-01-01,0.056474
1886-01-01,-0.010029
1887-01-01,0.072284
1888-01-01,0.035125
1889-01-01,0.126456
1890-01-01,0.103366
1891-01-01,0.054293
1892-01-01,0.096462
1893-01-01,0.096462
1894-01-01,0.066459
1895-01-01,0.099446
1896-01-01,0.080481
1897-01-01,0.083056
1898-01-01,0.108894
1899-01-01,0.109794
1900-01-01,0.079257
1901-01-01,0.117094
1902-01-01,0.161535
1903-01-01,0.144030
1904-01-01,0.149879
1905-01-01,0.134047
1906-01-01,0.149401
1907-01-01,0.170787
1908-01-01,0.125629
1909-01-01,0.097378
1910-01-01,0.105401
1911-01-01,0.153379
1912-01-01,0.116277
1913-01-01,0.196161
1914-01-01,0.125878
1915-01-01,0.164606
1916-01-01,0.148184
1917-01-01,0.192910
1918-01-01,0.326807
1919-01-01,0.236498
1920-01-01,0.074281
1921-01-01,-0.004569
1922-01-01,-0.063676
1923-01-01,0.121007
1924-01-01,0.177190
1925-01-01,0.102824
1926-01-01,-0.085287
1927-01-01,-0.058364
1928-01-01,0.070495
1929-01-01,0.175378
1930-01-01,0.118202
1931-01-01,-0.035221
1932-01-01,-0.079004
1933-01-01,0.099106
1934-01-01,0.183921
1935-01-01,0.121602
1936-01-01,0.084387
1937-01-01,0.048017
1938-01-01,0.097594
1939-01-01,0.098617
1940-01-01,0.119398
1941-01-01,0.157383
1942-01-01,0.205812
1943-01-01,0.193378
1944-01-01,0.218026
1945-01-01,0.179189
1946-01-01,0.247817
1947-01-01,0.242445
1948-01-01,0.167049
1949-01-01,0.006422
1950-01-01,0.101022
1951-01-01,0.185781
1952-01-01,0.113818
1953-01-01,0.115176
1954-01-01,0.129288
1955-01-01,0.122994
1956-01-01,0.127243
1957-01-01,0.161110
1958-01-01,0.118353
1959-01-01,0.156932
1960-01-01,0.219331
1961-01-01,0.351235
1962-01-01,0.175602
1963-01-01,0.138860
1964-01-01,0.196456
1965-01-01,0.114394
1966-01-01,0.193921
1967-01-01,0.108891
1968-01-01,0.086385
1969-01-01,0.107399
1970-01-01,0.217614
1971-01-01,0.121293
1972-01-01,0.226270
1973-01-01,0.204228
1974-01-01,0.095310
1975-01-01,0.229290
1976-01-01,0.137394
1977-01-01,0.176522
1978-01-01,0.201472
1979-01-01,0.138081
1980-01-01,0.022875
1981-01-01,-0.005656
1982-01-01,0.025830
1983-01-01,0.269501
1984-01-01,0.202995
1985-01-01,0.215423
1986-01-01,0.157334
1987-01-01,-0.035674
1988-01-01,0.055753
1989-01-01,0.039130
1990-01-01,-0.025973
1991-01-01,0.068166
1992-01-01,0.040045
1993-01-01,0.049307
1994-01-01,0.183699
1995-01-01,0.131376
1996-01-01,0.159297
1997-01-01,0.164013
1998-01-01,0.134338
1999-01-01,0.109353
2000-01-01,0.105346
2001-01-01,0.097280
2002-01-01,0.073798
2003-01-01,0.068896
2004-01-01,0.126547
2005-01-01,0.210713
2006-01-01,0.246025
2007-01-01,0.071154
2008-01-01,-0.020162
2009-01-01,-0.093031
2010-01-01,0.059004
2011-01-01,0.003642
2012-01-01,0.000932
2013-01-01,0.074140
2014-01-01,0.072255
2015-01-01,0.027884
2016-01-01,0.086743
2017-01-01,0.078854
2018-01-01,0.076059
2019-01-01,0.054963
2020-01-01,0.081879
