date,value
1875-01-01,1.279763
1876-01-01,1.323145
1877-01-01,1.312300
1878-01-01,1.247227
1879-01-01,1.203845
1880-01-01,1.247227
1881-01-01,1.247227
1882-01-01,1.290609
1883-01-01,1.290609
1884-01-01,1.323145
1885-01-01,1.290609
1886-01-01,1.171309
1887-01-01,1.149618
1888-01-01,1.084545
1889-01-01,1.117082
1890-01-01,1.127927
1891-01-01,1.084545
1892-01-01,1.084545
1893-01-01,1.084545
1894-01-01,1.052009
1895-01-01,1.052009
1896-01-01,1.030318
1897-01-01,1.008627
1898-01-01,1.008627
1899-01-01,1.008627
1900-01-01,0.976091
1901-01-01,0.976091
1902-01-01,1.019473
1903-01-01,1.052009
1904-01-01,1.095391
1905-01-01,1.127927
1906-01-01,1.182154
1907-01-01,1.268918
1908-01-01,1.312300
1909-01-01,1.323145
1910-01-01,1.344836
1911-01-01,1.431600
1912-01-01,1.474982
1913-01-01,1.637663
1914-01-01,1.713582
1915-01-01,1.865418
1916-01-01,2.006409
1917-01-01,2.245009
1918-01-01,2.819818
1919-01-01,3.318709
1920-01-01,3.394627
1921-01-01,3.199409
1922-01-01,2.798127
1923-01-01,2.928272
1924-01-01,3.231945
1925-01-01,3.351245
1926-01-01,2.852354
1927-01-01,2.472763
1928-01-01,2.429381
1929-01-01,2.635445
1930-01-01,2.733054
1931-01-01,2.429381
1932-01-01,2.038945
1933-01-01,2.049791
1934-01-01,2.245009
1935-01-01,2.342618
1936-01-01,2.364309
1937-01-01,2.310081
1938-01-01,2.353463
1939-01-01,2.388943
1940-01-01,2.459901
1941-01-01,2.613645
1942-01-01,2.897480
1943-01-01,3.181315
1944-01-01,3.571588
1945-01-01,3.879075
1946-01-01,4.482224
1947-01-01,5.179985
1948-01-01,5.629390
1949-01-01,5.239117
1950-01-01,5.310075
1951-01-01,5.794960
1952-01-01,5.925051
1953-01-01,6.055142
1954-01-01,6.268018
1955-01-01,6.445415
1956-01-01,6.646464
1957-01-01,7.072216
1958-01-01,7.237787
1959-01-01,7.675365
1960-01-01,8.633308
1961-01-01,10.939465
1962-01-01,12.133936
1963-01-01,13.091879
1964-01-01,14.936805
1965-01-01,15.918400
1966-01-01,18.200905
1967-01-01,19.300764
1968-01-01,19.974872
1969-01-01,21.039252
1970-01-01,24.445270
1971-01-01,26.112799
1972-01-01,30.616827
1973-01-01,35.345397
1974-01-01,37.042663
1975-01-01,43.679831
1976-01-01,47.853652
1977-01-01,54.246467
1978-01-01,62.937525
1979-01-01,69.191652
1980-01-01,68.148197
1981-01-01,64.918769
1982-01-01,63.459252
1983-01-01,77.096817
1984-01-01,88.971074
1985-01-01,104.127592
1986-01-01,116.292432
1987-01-01,107.660811
1988-01-01,108.902391
1989-01-01,108.123101
1990-01-01,100.000000
1991-01-01,101.287809
1992-01-01,99.643376
1993-01-01,98.679171
1994-01-01,110.771364
1995-01-01,119.171840
1996-01-01,131.911240
1997-01-01,147.133800
1998-01-01,160.361907
1999-01-01,171.186105
2000-01-01,182.320697
2001-01-01,192.966583
2002-01-01,199.940563
2003-01-01,206.254128
2004-01-01,224.679699
2005-01-01,264.165896
2006-01-01,321.139876
2007-01-01,335.807687
2008-01-01,320.664377
2009-01-01,282.215031
2010-01-01,289.994717
2011-01-01,281.904636
2012-01-01,272.771100
2013-01-01,283.387064
2014-01-01,294.080916
2015-01-01,314.525044
2016-01-01,329.391107
2017-01-01,344.020490
2018-01-01,360.221715
2019-01-01,369.660635
2020-01-01,388.536903
