date,value
1870-01-01,4.800000
1871-01-01,4.500000
1872-01-01,4.400000
1873-01-01,4.300000
1874-01-01,4.300000
1875-01-01,4.325000
1876-01-01,4.375000
1877-01-01,4.500000
1878-01-01,4.500000
1879-01-01,4.300000
1880-01-01,4.175000
1881-01-01,4.075000
1882-01-01,4.075000
1883-01-01,4.050000
1884-01-01,4.000000
1885-01-01,4.000000
1886-01-01,3.850000
1887-01-01,3.600000
1888-01-01,3.550000
1889-01-01,3.575000
1890-01-01,3.600000
1891-01-01,3.750000
1892-01-01,3.775000
1893-01-01,3.700000
1894-01-01,3.575000
1895-01-01,3.475000
1896-01-01,3.500000
1897-01-01,3.500000
1898-01-01,3.500000
1899-01-01,3.650000
1900-01-01,3.775000
1901-01-01,3.600000
1902-01-01,3.550000
1903-01-01,3.500000
1904-01-01,3.600000
1905-01-01,3.550000
1906-01-01,3.575000
1907-01-01,3.625000
1908-01-01,3.700000
1909-01-01,3.675000
1910-01-01,3.700000
1911-01-01,3.750000
1912-01-01,3.925000
1913-01-01,4.200000
1914-01-01,4.250000
1915-01-01,5.200000
1916-01-01,4.900000
1917-01-01,4.875000
1918-01-01,4.900000
1919-01-01,5.200000
1920-01-01,6.300000
1921-01-01,5.525000
1922-01-01,4.900000
1923-01-01,5.000000
1924-01-01,5.300000
1925-01-01,5.275000
1926-01-01,5.250000
1927-01-01,5.100000
1928-01-01,4.925000
1929-01-01,5.100000
1930-01-01,4.650000
1931-01-01,4.750000
1932-01-01,5.000000
1933-01-01,4.125000
1934-01-01,3.950000
1935-01-01,4.275000
1936-01-01,4.375000
1937-01-01,4.550000
1938-01-01,4.275000
1939-01-01,4.625000
1940-01-01,4.925000
1941-01-01,4.200000
1942-01-01,4.050000
1943-01-01,4.350000
1944-01-01,3.975000
1945-01-01,3.750000
1946-01-01,3.550000
1947-01-01,3.650000
1948-01-01,4.070000
1949-01-01,4.420000
1950-01-01,4.530000
1951-01-01,5.140000
1952-01-01,5.290000
1953-01-01,5.080000
1954-01-01,5.240000
1955-01-01,5.550000
1956-01-01,5.710000
1957-01-01,5.770000
1958-01-01,5.240000
1959-01-01,5.320000
1960-01-01,5.760000
1961-01-01,6.030000
1962-01-01,6.320000
1963-01-01,6.450000
1964-01-01,6.240000
1965-01-01,7.350000
1966-01-01,7.860000
1967-01-01,8.170000
1968-01-01,8.430000
1969-01-01,9.340000
1970-01-01,10.570000
1971-01-01,10.670000
1972-01-01,10.370000
1973-01-01,11.080000
1974-01-01,14.550000
1975-01-01,13.100000
1976-01-01,13.210000
1977-01-01,13.380000
1978-01-01,14.540000
1979-01-01,15.820000
1980-01-01,17.660000
1981-01-01,18.918333
1982-01-01,20.385000
1983-01-01,14.463333
1984-01-01,14.426667
1985-01-01,11.580000
1986-01-01,10.050833
1987-01-01,11.284167
1988-01-01,9.884167
1989-01-01,9.706667
1990-01-01,10.629167
1991-01-01,9.261667
1992-01-01,8.986667
1993-01-01,7.302500
1994-01-01,7.825833
1995-01-01,8.269167
1996-01-01,7.194167
1997-01-01,6.254167
1998-01-01,4.937500
1999-01-01,4.910000
2000-01-01,5.641667
2001-01-01,5.079167
2002-01-01,5.055833
2003-01-01,4.308333
2004-01-01,4.305000
2005-01-01,3.404167
2006-01-01,3.811667
2007-01-01,4.285833
2008-01-01,4.281667
2009-01-01,3.587500
2010-01-01,2.927500
2011-01-01,2.730583
2012-01-01,1.403333
2013-01-01,1.745833
2014-01-01,1.326667
2015-01-01,0.690000
2016-01-01,0.320833
2017-01-01,0.515000
2018-01-01,0.456667
2019-01-01,-0.181667
2020-01-01,-0.358333
