date,value
1880-01-01,0.153567
1881-01-01,0.087733
1882-01-01,0.094904
1883-01-01,0.077368
1884-01-01,0.080838
1885-01-01,0.004866
1886-01-01,0.041520
1887-01-01,0.057431
1888-01-01,0.072247
1889-01-01,0.112215
1890-01-01,0.069534
1891-01-01,0.047702
1892-01-01,0.082825
1893-01-01,0.089554
1894-01-01,0.079725
1895-01-01,0.103986
1896-01-01,0.077180
1897-01-01,0.066320
1898-01-01,0.093027
1899-01-01,0.062582
1900-01-01,0.067807
1901-01-01,0.093776
1902-01-01,0.134256
1903-01-01,0.120493
1904-01-01,0.119249
1905-01-01,0.120234
1906-01-01,0.131524
1907-01-01,0.104687
1908-01-01,0.058354
1909-01-01,0.103772
1910-01-01,0.086892
1911-01-01,0.144756
1912-01-01,0.100911
1913-01-01,0.136968
1914-01-01,0.083928
1915-01-01,0.267909
1916-01-01,0.364947
1917-01-01,0.139275
1918-01-01,0.294649
1919-01-01,0.153577
1920-01-01,0.040742
1921-01-01,-0.044255
1922-01-01,-0.067502
1923-01-01,0.130351
1924-01-01,0.166450
1925-01-01,0.087008
1926-01-01,-0.082690
1927-01-01,-0.018461
1928-01-01,0.079458
1929-01-01,0.151697
1930-01-01,0.093214
1931-01-01,-0.047328
1932-01-01,-0.084234
1933-01-01,0.132240
1934-01-01,0.196293
1935-01-01,0.112361
1936-01-01,0.098120
1937-01-01,0.036986
1938-01-01,0.084219
1939-01-01,0.095445
1940-01-01,0.101725
1941-01-01,0.174550
1942-01-01,0.192654
1943-01-01,0.183338
1944-01-01,0.198456
1945-01-01,0.139001
1946-01-01,0.219285
1947-01-01,0.215727
1948-01-01,0.150893
1949-01-01,0.002148
1950-01-01,0.122550
1951-01-01,0.159340
1952-01-01,0.099637
1953-01-01,0.112688
1954-01-01,0.132011
1955-01-01,0.127607
1956-01-01,0.132722
1957-01-01,0.154485
1958-01-01,0.111888
1959-01-01,0.176687
1960-01-01,0.211940
1961-01-01,0.318159
1962-01-01,0.164286
1963-01-01,0.125983
1964-01-01,0.200981
1965-01-01,0.110235
1966-01-01,0.184399
1967-01-01,0.088928
1968-01-01,0.086060
1969-01-01,0.115175
1970-01-01,0.197842
1971-01-01,0.112455
1972-01-01,0.247977
1973-01-01,0.246648
1974-01-01,0.074426
1975-01-01,0.225282
1976-01-01,0.150944
1977-01-01,0.171595
1978-01-01,0.192935
1979-01-01,0.133339
1980-01-01,0.021052
1981-01-01,0.047143
1982-01-01,0.047275
1983-01-01,0.332668
1984-01-01,0.193803
1985-01-01,0.200029
1986-01-01,0.144452
1987-01-01,-0.045949
1988-01-01,0.069118
1989-01-01,0.111080
1990-01-01,-0.001876
1991-01-01,0.073185
1992-01-01,0.022073
1993-01-01,0.046229
1994-01-01,0.188024
1995-01-01,0.108574
1996-01-01,0.195392
1997-01-01,0.240769
1998-01-01,0.089981
1999-01-01,0.141690
2000-01-01,0.123901
2001-01-01,0.045942
2002-01-01,0.025808
2003-01-01,0.123160
2004-01-01,0.150002
2005-01-01,0.260805
2006-01-01,0.241195
2007-01-01,0.071197
2008-01-01,-0.085080
2009-01-01,-0.007162
2010-01-01,0.120916
2011-01-01,-0.030255
2012-01-01,0.063677
2013-01-01,0.138000
2014-01-01,0.110179
2015-01-01,0.136203
2016-01-01,0.038531
2017-01-01,0.115752
2018-01-01,0.029708
2019-01-01,0.136801
2020-01-01,0.168616
