date,value
1875-01-01,0.049873
1876-01-01,0.034739
1877-01-01,0.036433
1878-01-01,0.067079
1879-01-01,0.061322
1880-01-01,0.055862
1881-01-01,0.039645
1882-01-01,0.044768
1883-01-01,0.044978
1884-01-01,0.048031
1885-01-01,0.044313
1886-01-01,0.032750
1887-01-01,0.031459
1888-01-01,0.040997
1889-01-01,0.033002
1890-01-01,0.026895
1891-01-01,0.024547
1892-01-01,0.041507
1893-01-01,0.041790
1894-01-01,0.075851
1895-01-01,0.031976
1896-01-01,0.034300
1897-01-01,0.046969
1898-01-01,0.031585
1899-01-01,0.020774
1900-01-01,0.039079
1901-01-01,0.079022
1902-01-01,0.042760
1903-01-01,0.043056
1904-01-01,0.037874
1905-01-01,0.043158
1906-01-01,0.038671
1907-01-01,0.043668
1908-01-01,0.045619
1909-01-01,0.038573
1910-01-01,0.046803
1911-01-01,0.039617
1912-01-01,0.010771
1913-01-01,0.027010
1914-01-01,0.049547
1916-01-01,0.108490
1917-01-01,0.025528
1918-01-01,0.050157
1919-01-01,-0.038112
1920-01-01,0.045208
1921-01-01,0.153172
1922-01-01,0.112491
1923-01-01,0.018269
1924-01-01,0.020026
1925-01-01,0.070756
1926-01-01,0.071733
1927-01-01,0.066947
1928-01-01,0.070909
1929-01-01,0.057569
1930-01-01,0.056326
1931-01-01,0.011874
1932-01-01,0.095596
1933-01-01,0.065660
1934-01-01,0.044669
1935-01-01,0.022210
1936-01-01,0.033343
1937-01-01,0.042912
1938-01-01,0.062869
1939-01-01,0.016769
1940-01-01,0.066645
1941-01-01,0.049024
1942-01-01,0.070649
1943-01-01,0.041519
1944-01-01,0.059141
1945-01-01,0.056834
1946-01-01,0.033192
1947-01-01,0.022331
1948-01-01,0.006306
1949-01-01,0.046678
1950-01-01,0.006056
1951-01-01,0.006742
1952-01-01,0.049465
1953-01-01,0.068125
1954-01-01,-0.001786
1955-01-01,0.050497
1956-01-01,0.051944
1957-01-01,0.084313
1958-01-01,0.119972
1959-01-01,0.031179
1960-01-01,0.041188
1961-01-01,0.022801
1962-01-01,0.076667
1963-01-01,0.106390
1964-01-01,0.003639
1965-01-01,0.016908
1966-01-01,0.038747
1967-01-01,0.066870
1968-01-01,0.134589
1969-01-01,-0.001816
1970-01-01,0.086604
1971-01-01,0.112104
1972-01-01,0.088189
1973-01-01,0.012158
1974-01-01,0.069084
1975-01-01,0.180421
1976-01-01,0.041441
1977-01-01,0.081348
1978-01-01,0.185810
1979-01-01,0.087774
1980-01-01,0.129718
1981-01-01,0.158501
1982-01-01,0.145968
1983-01-01,0.406913
1984-01-01,0.078919
1985-01-01,0.274114
1986-01-01,0.005947
1987-01-01,0.096244
1988-01-01,0.215285
1989-01-01,0.058893
1990-01-01,0.094364
1991-01-01,0.147784
1992-01-01,0.093481
1993-01-01,0.183367
1994-01-01,-0.024472
1995-01-01,0.132636
1996-01-01,0.076906
1997-01-01,0.079380
1998-01-01,0.093102
1999-01-01,-0.005041
2000-01-01,0.067049
2001-01-01,0.050209
2002-01-01,0.066691
2003-01-01,0.033172
2004-01-01,0.053407
2005-01-01,0.050304
2006-01-01,0.009837
2007-01-01,0.023156
2008-01-01,0.084454
2009-01-01,0.011928
2010-01-01,0.041681
2011-01-01,0.075683
2012-01-01,0.030952
2013-01-01,-0.033700
2014-01-01,0.072050
2015-01-01,-0.015102
2016-01-01,0.021431
2017-01-01,0.013655
2018-01-01,0.007834
2019-01-01,0.031974
2020-01-01,0.007922
