date,value
1870-01-01,0.045000
1871-01-01,0.040000
1872-01-01,0.040000
1873-01-01,0.040000
1874-01-01,0.040000
1875-01-01,0.040000
1876-01-01,0.040000
1877-01-01,0.040000
1878-01-01,0.040000
1879-01-01,0.040000
1880-01-01,0.040000
1881-01-01,0.040000
1882-01-01,0.040000
1883-01-01,0.040000
1884-01-01,0.040000
1885-01-01,0.040000
1886-01-01,0.035000
1887-01-01,0.035000
1888-01-01,0.035000
1889-01-01,0.035000
1890-01-01,0.040000
1891-01-01,0.047500
1892-01-01,0.050000
1893-01-01,0.050000
1894-01-01,0.045000
1895-01-01,0.040000
1896-01-01,0.040000
1897-01-01,0.040000
1898-01-01,0.045000
1899-01-01,0.050000
1900-01-01,0.050000
1901-01-01,0.050000
1902-01-01,0.045000
1903-01-01,0.045000
1904-01-01,0.045000
1905-01-01,0.045000
1906-01-01,0.045000
1907-01-01,0.050000
1908-01-01,0.050000
1909-01-01,0.050000
1910-01-01,0.050000
1911-01-01,0.045000
1912-01-01,0.050000
1913-01-01,0.050000
1914-01-01,0.050000
1915-01-01,0.040000
1916-01-01,0.040000
1917-01-01,0.040000
1918-01-01,0.040000
1919-01-01,0.050000
1920-01-01,0.065000
1921-01-01,0.065000
1922-01-01,0.065000
1923-01-01,0.065000
1924-01-01,0.070000
1925-01-01,0.065000
1926-01-01,0.065000
1927-01-01,0.060000
1928-01-01,0.070000
1929-01-01,0.070000
1930-01-01,0.060000
1931-01-01,0.055000
1932-01-01,0.050000
1933-01-01,0.045000
1934-01-01,0.040000
1935-01-01,0.037100
1936-01-01,0.036350
1937-01-01,0.034100
1938-01-01,0.033950
1939-01-01,0.033650
1940-01-01,0.031600
1941-01-01,0.030850
1942-01-01,0.030850
1943-01-01,0.031350
1944-01-01,0.031650
1945-01-01,0.031200
1946-01-01,0.030850
1947-01-01,0.030300
1948-01-01,0.051950
1949-01-01,0.043100
1950-01-01,0.061650
1951-01-01,0.059450
1952-01-01,0.048100
1953-01-01,0.048750
1954-01-01,0.049350
1955-01-01,0.054850
1956-01-01,0.051050
1957-01-01,0.049150
1958-01-01,0.041950
1959-01-01,0.039850
1960-01-01,0.040600
1961-01-01,0.041600
1962-01-01,0.040500
1963-01-01,0.041200
1964-01-01,0.039250
1965-01-01,0.038850
1966-01-01,0.039500
1967-01-01,0.037400
1968-01-01,0.043000
1969-01-01,0.041550
1970-01-01,0.041700
1971-01-01,0.050800
1972-01-01,0.043200
1973-01-01,0.056800
1974-01-01,0.057050
1975-01-01,0.056400
1976-01-01,0.057600
1977-01-01,0.047000
1978-01-01,0.117542
1979-01-01,0.092642
1980-01-01,0.123467
1981-01-01,0.114617
1982-01-01,0.116633
1983-01-01,0.146683
1984-01-01,0.165025
1985-01-01,0.134608
1986-01-01,0.119025
1987-01-01,0.099658
1988-01-01,0.125567
1989-01-01,0.139967
1990-01-01,0.130792
1991-01-01,0.132517
1992-01-01,0.077733
1993-01-01,0.053500
1994-01-01,0.057500
1995-01-01,0.036250
1996-01-01,0.032317
1997-01-01,0.035683
1998-01-01,0.029635
1999-01-01,0.043918
2000-01-01,0.042618
2001-01-01,0.033186
2002-01-01,0.023335
2003-01-01,0.021063
2004-01-01,0.021847
2005-01-01,0.030792
2006-01-01,0.042776
2007-01-01,0.046342
2008-01-01,0.012284
2009-01-01,0.008110
2010-01-01,0.013906
2011-01-01,0.005732
2012-01-01,0.002207
2013-01-01,0.002099
2014-01-01,0.002099
2015-01-01,-0.000193
2016-01-01,-0.002637
2017-01-01,-0.003291
2018-01-01,-0.003221
2019-01-01,-0.003563
2020-01-01,-0.004252
