date,value
1870-01-01,0.132001
1871-01-01,0.144743
1872-01-01,0.080820
1873-01-01,0.060805
1874-01-01,0.073462
1875-01-01,-0.004725
1876-01-01,-0.023206
1877-01-01,0.076001
1878-01-01,0.137998
1879-01-01,0.062389
1880-01-01,0.084478
1881-01-01,0.049464
1882-01-01,0.044800
1883-01-01,0.086660
1884-01-01,0.076654
1885-01-01,0.051309
1886-01-01,0.078983
1887-01-01,0.024812
1888-01-01,0.068361
1889-01-01,0.098659
1890-01-01,-0.021524
1891-01-01,-0.046747
1892-01-01,0.009292
1893-01-01,0.157000
1894-01-01,0.115269
1895-01-01,0.088047
1896-01-01,0.055573
1897-01-01,0.034700
1898-01-01,0.061327
1899-01-01,-0.045219
1900-01-01,-0.078963
1901-01-01,0.130739
1902-01-01,0.046037
1903-01-01,-0.002809
1904-01-01,-0.115106
1905-01-01,0.096149
1906-01-01,-0.081584
1907-01-01,0.033392
1908-01-01,0.073439
1909-01-01,0.122634
1910-01-01,0.098425
1911-01-01,0.060737
1912-01-01,-0.084005
1913-01-01,0.060660
1914-01-01,0.028288
1915-01-01,-0.061757
1916-01-01,0.041788
1917-01-01,-0.204554
1918-01-01,0.342924
1919-01-01,-0.168428
1920-01-01,-0.079520
1921-01-01,0.064416
1922-01-01,0.526369
1923-01-01,0.331677
1924-01-01,0.167154
1925-01-01,0.096577
1926-01-01,0.071339
1927-01-01,0.107032
1928-01-01,0.041084
1929-01-01,0.061073
1930-01-01,0.075586
1931-01-01,0.083906
1932-01-01,0.081000
1933-01-01,0.165938
1934-01-01,0.079098
1935-01-01,0.063310
1936-01-01,0.070141
1937-01-01,0.056401
1938-01-01,0.047000
1939-01-01,0.047000
1940-01-01,0.047000
1941-01-01,0.047000
1942-01-01,0.047000
1943-01-01,0.047000
1944-01-01,0.047000
1945-01-01,0.047000
1946-01-01,0.047000
1947-01-01,-0.004600
1948-01-01,-0.128677
1949-01-01,0.215052
1950-01-01,-0.030276
1951-01-01,0.272448
1952-01-01,0.040306
1953-01-01,0.106131
1954-01-01,0.049405
1955-01-01,0.069213
1956-01-01,0.091170
1957-01-01,0.144503
1958-01-01,0.148153
1959-01-01,0.125456
1960-01-01,0.128758
1961-01-01,0.002595
1962-01-01,0.508969
1963-01-01,0.156247
1964-01-01,0.036326
1965-01-01,0.188396
1966-01-01,0.081372
1967-01-01,-0.015855
1968-01-01,0.325723
1969-01-01,0.080343
1970-01-01,0.070301
1971-01-01,0.085576
1972-01-01,0.125307
1973-01-01,-0.031612
1974-01-01,0.030254
1975-01-01,0.053448
1976-01-01,0.037858
1977-01-01,0.119772
1978-01-01,0.247300
1979-01-01,0.043157
1980-01-01,0.031463
1981-01-01,0.127842
1982-01-01,0.124227
1983-01-01,0.095069
1984-01-01,0.109934
1985-01-01,0.139218
1986-01-01,0.149079
1987-01-01,-0.003751
1988-01-01,0.063546
1989-01-01,0.067411
1990-01-01,0.115447
1991-01-01,0.136960
1992-01-01,0.186783
1993-01-01,0.380255
1994-01-01,-0.118084
1995-01-01,0.288596
1996-01-01,0.160595
1997-01-01,0.116385
1998-01-01,0.176257
1999-01-01,-0.063800
2000-01-01,0.090910
2001-01-01,0.046250
2002-01-01,0.122148
2003-01-01,0.043583
2004-01-01,0.096501
2005-01-01,0.070937
2006-01-01,-0.014736
2007-01-01,0.013388
2008-01-01,0.115034
2009-01-01,0.051993
2010-01-01,0.076017
2011-01-01,0.112861
2012-01-01,0.104749
2013-01-01,-0.029130
2014-01-01,0.172695
2015-01-01,0.001111
2016-01-01,0.037819
2017-01-01,-0.019235
2018-01-01,-0.004887
2019-01-01,0.029947
2020-01-01,-0.001436
