date,value
1920-01-01,0.143188
1921-01-01,0.148098
1922-01-01,0.235884
1923-01-01,0.215747
1924-01-01,0.192622
1925-01-01,0.748409
1926-01-01,0.476859
1928-01-01,0.133431
1929-01-01,0.075816
1930-01-01,-0.142418
1931-01-01,-0.033085
1932-01-01,-0.047793
1933-01-01,0.046981
1934-01-01,0.109610
1935-01-01,0.063616
1936-01-01,0.090965
1937-01-01,-0.094463
1938-01-01,-0.093799
1939-01-01,-0.135862
1940-01-01,0.034734
1941-01-01,0.114540
1942-01-01,0.153134
1943-01-01,0.084724
1944-01-01,0.097036
1946-01-01,0.013802
1947-01-01,0.174090
1948-01-01,0.121541
1949-01-01,0.188823
1950-01-01,0.180253
1951-01-01,0.548525
1952-01-01,0.386403
1953-01-01,0.010404
1954-01-01,0.244848
1955-01-01,0.146360
1956-01-01,0.177912
1957-01-01,0.136887
1958-01-01,0.096325
1959-01-01,0.273774
1960-01-01,0.194538
1961-01-01,0.115311
1962-01-01,0.377723
1963-01-01,0.206292
1964-01-01,0.213845
1965-01-01,0.254498
1966-01-01,0.197929
1967-01-01,0.135345
1968-01-01,0.165768
1969-01-01,0.186979
1970-01-01,0.115497
1971-01-01,0.133348
1972-01-01,0.204733
1973-01-01,0.344499
1974-01-01,0.271413
1975-01-01,0.132601
1976-01-01,0.140625
1977-01-01,0.115119
1978-01-01,0.133239
1979-01-01,0.129448
1980-01-01,0.270023
1981-01-01,0.237978
1982-01-01,0.279680
1983-01-01,0.285760
1984-01-01,0.180263
1985-01-01,0.121925
1986-01-01,0.172674
1987-01-01,0.191068
1988-01-01,0.383386
1989-01-01,0.196311
1990-01-01,-0.030765
1991-01-01,-0.072866
1992-01-01,-0.044460
1993-01-01,0.204050
1994-01-01,0.107404
1995-01-01,0.061477
1996-01-01,0.224018
1997-01-01,0.247362
1998-01-01,0.401202
1999-01-01,1.144161
2000-01-01,-0.015867
2001-01-01,-0.133594
2002-01-01,-0.053392
2003-01-01,0.093479
2004-01-01,0.098223
2005-01-01,0.211031
2006-01-01,0.157863
2007-01-01,0.169174
2008-01-01,-0.102385
2009-01-01,0.121695
2010-01-01,0.158720
2011-01-01,-0.013260
2012-01-01,0.091022
2013-01-01,0.129274
2014-01-01,0.076740
2015-01-01,0.070192
2016-01-01,0.067532
2017-01-01,0.050517
2018-01-01,0.047614
2019-01-01,0.059235
