date,value
1870-01-01,0.053600
1871-01-01,0.056900
1872-01-01,0.061100
1873-01-01,0.061100
1874-01-01,0.066000
1875-01-01,0.066000
1876-01-01,0.066000
1877-01-01,0.063600
1878-01-01,0.057800
1879-01-01,0.053600
1880-01-01,0.059400
1881-01-01,0.062700
1882-01-01,0.058600
1883-01-01,0.056900
1884-01-01,0.056100
1885-01-01,0.052800
1886-01-01,0.047900
1887-01-01,0.046200
1888-01-01,0.047000
1889-01-01,0.050300
1890-01-01,0.052000
1891-01-01,0.058600
1892-01-01,0.061900
1893-01-01,0.058600
1894-01-01,0.052800
1895-01-01,0.051200
1896-01-01,0.052000
1897-01-01,0.054500
1898-01-01,0.056100
1899-01-01,0.058600
1900-01-01,0.059400
1901-01-01,0.058600
1902-01-01,0.058600
1903-01-01,0.058600
1904-01-01,0.058600
1905-01-01,0.058600
1906-01-01,0.061100
1907-01-01,0.062700
1908-01-01,0.066000
1909-01-01,0.065200
1910-01-01,0.065200
1911-01-01,0.067700
1912-01-01,0.069300
1913-01-01,0.069300
1914-01-01,0.069300
1915-01-01,0.083400
1916-01-01,0.110600
1917-01-01,0.215400
1918-01-01,0.735400
1919-01-01,0.652000
1920-01-01,0.652000
1921-01-01,0.811300
1922-01-01,0.790700
1923-01-01,0.797300
1924-01-01,0.811300
1925-01-01,0.846000
1926-01-01,0.825300
1927-01-01,0.839400
1928-01-01,0.860000
1929-01-01,0.853400
1930-01-01,0.784100
1931-01-01,0.721300
1932-01-01,0.714700
1933-01-01,0.693300
1934-01-01,0.686700
1935-01-01,0.693300
1936-01-01,0.693300
1937-01-01,0.728000
1938-01-01,0.749400
1939-01-01,0.762600
1940-01-01,0.907900
1941-01-01,1.072900
1942-01-01,1.262800
1943-01-01,1.427800
1944-01-01,1.518600
1945-01-01,2.129400
1946-01-01,3.392200
1947-01-01,4.407300
1948-01-01,5.934200
1949-01-01,6.014400
1950-01-01,6.896500
1951-01-01,8.019000
1952-01-01,8.099000
1953-01-01,8.260000
1954-01-01,8.260000
1955-01-01,8.019000
1956-01-01,8.901000
1957-01-01,9.905000
1958-01-01,10.559000
1959-01-01,10.722000
1960-01-01,11.068000
1961-01-01,11.268000
1962-01-01,11.771000
1963-01-01,12.344000
1964-01-01,13.622000
1965-01-01,14.278000
1966-01-01,14.840000
1967-01-01,15.676000
1968-01-01,17.116000
1969-01-01,17.494000
1970-01-01,17.972000
1971-01-01,19.137000
1972-01-01,20.504000
1973-01-01,22.756000
1974-01-01,26.550000
1975-01-01,31.279000
1976-01-01,35.765000
1977-01-01,40.293000
1978-01-01,43.435000
1979-01-01,46.679000
1980-01-01,52.091000
1981-01-01,58.346000
1982-01-01,63.928000
1983-01-01,69.276000
1984-01-01,74.172000
1985-01-01,78.524000
1986-01-01,80.801000
1987-01-01,84.099000
1988-01-01,88.385000
1989-01-01,94.248000
1990-01-01,100.000000
1991-01-01,104.116000
1992-01-01,106.825000
1993-01-01,109.069000
1994-01-01,110.254000
1995-01-01,111.340000
1996-01-01,111.982000
1997-01-01,113.344133
1998-01-01,114.873217
1999-01-01,116.378897
2000-01-01,119.813095
2001-01-01,123.007008
2002-01-01,125.475386
2003-01-01,127.094967
2004-01-01,127.282202
2005-01-01,128.268305
2006-01-01,129.903489
2007-01-01,131.959951
2008-01-01,137.127631
2009-01-01,139.368207
2010-01-01,141.718003
2011-01-01,146.428518
2012-01-01,151.057898
2013-01-01,154.404720
2014-01-01,156.272387
2015-01-01,156.028981
2016-01-01,156.635934
2017-01-01,157.951259
2018-01-01,159.797081
2019-01-01,161.613259
2020-01-01,162.232694
