date,value
1896-01-01,0.054252
1897-01-01,0.162394
1898-01-01,-0.034919
1899-01-01,-0.013396
1900-01-01,-0.024350
1901-01-01,0.000000
1902-01-01,0.001548
1903-01-01,0.091359
1904-01-01,-0.000361
1905-01-01,0.150669
1906-01-01,0.028041
1907-01-01,0.185163
1908-01-01,-0.027839
1909-01-01,0.090680
1910-01-01,0.045674
1911-01-01,0.090098
1912-01-01,-0.185620
1913-01-01,0.055490
1914-01-01,0.026466
1915-01-01,0.255321
1916-01-01,0.896595
1917-01-01,0.115404
1918-01-01,0.339632
1919-01-01,0.029847
1920-01-01,-0.048139
1921-01-01,-0.225818
1922-01-01,0.141665
1923-01-01,0.046966
1924-01-01,-0.035524
1925-01-01,0.378205
1926-01-01,0.383016
1927-01-01,0.740195
1928-01-01,-0.081779
1929-01-01,-0.152184
1930-01-01,-0.040488
1931-01-01,0.080267
1932-01-01,0.009640
1933-01-01,0.436654
1934-01-01,0.153509
1935-01-01,0.129744
1936-01-01,0.455790
1937-01-01,-0.010937
1938-01-01,0.019040
1939-01-01,-0.055631
1940-01-01,0.218783
1941-01-01,0.456535
1942-01-01,0.307040
1943-01-01,-0.015149
1944-01-01,-0.040628
1945-01-01,1.056168
1946-01-01,-0.187481
1947-01-01,-0.001990
1948-01-01,-0.252989
1949-01-01,0.428937
1950-01-01,0.836327
1951-01-01,0.136830
1952-01-01,-0.128336
1953-01-01,0.368085
1954-01-01,0.054489
1955-01-01,0.603462
1956-01-01,0.023886
1957-01-01,-0.151614
1958-01-01,0.058646
1959-01-01,0.431543
1960-01-01,0.148529
1961-01-01,-0.007787
1962-01-01,0.144888
1963-01-01,0.048011
1964-01-01,0.087802
1965-01-01,-0.057688
1966-01-01,-0.069244
1967-01-01,-0.012867
1968-01-01,0.404220
1969-01-01,0.258626
1970-01-01,0.248940
1971-01-01,0.197577
1972-01-01,0.706765
1973-01-01,0.441667
1974-01-01,-0.174280
1975-01-01,0.033654
1976-01-01,-0.133852
1977-01-01,-0.115117
1978-01-01,0.192319
1979-01-01,0.262508
1980-01-01,0.040811
1981-01-01,0.239242
1982-01-01,0.416091
1983-01-01,0.688094
1984-01-01,-0.028778
1985-01-01,0.161137
1986-01-01,0.656654
1987-01-01,0.311013
1988-01-01,0.347970
1989-01-01,-0.154900
1990-01-01,-0.305595
1991-01-01,-0.197590
1992-01-01,0.080059
1993-01-01,0.928622
1994-01-01,0.177009
1995-01-01,-0.063463
1996-01-01,0.507846
1997-01-01,0.351567
1998-01-01,0.720533
1999-01-01,1.670378
2000-01-01,-0.092940
2001-01-01,-0.306247
2002-01-01,-0.328195
2003-01-01,0.085044
2004-01-01,0.075732
2005-01-01,0.352057
2006-01-01,0.218271
2007-01-01,0.250415
2008-01-01,-0.513067
2009-01-01,0.262122
2010-01-01,0.234519
2011-01-01,-0.270214
2012-01-01,0.141030
2013-01-01,0.322434
2014-01-01,0.107428
2015-01-01,0.148638
2016-01-01,0.106500
2017-01-01,0.109900
2018-01-01,-0.025300
2019-01-01,0.204600
2020-01-01,0.181200
