date,value
1905-01-01,0.010273
1906-01-01,0.018354
1907-01-01,0.018080
1908-01-01,0.016710
1909-01-01,0.018902
1910-01-01,0.028627
1911-01-01,0.032325
1912-01-01,0.026846
1913-01-01,0.021093
1914-01-01,0.022463
1915-01-01,0.025613
1916-01-01,0.025339
1917-01-01,0.027257
1918-01-01,0.030407
1919-01-01,0.040543
1920-01-01,0.047803
1921-01-01,0.053966
1922-01-01,0.061637
1923-01-01,0.069581
1924-01-01,0.077114
1925-01-01,0.134642
1926-01-01,0.197374
1927-01-01,0.386118
1928-01-01,0.444742
1929-01-01,0.483127
1930-01-01,0.385947
1931-01-01,0.353177
1932-01-01,0.320407
1933-01-01,0.307874
1934-01-01,0.333659
1935-01-01,0.344754
1936-01-01,0.345712
1937-01-01,0.293664
1938-01-01,0.247094
1939-01-01,0.193676
1940-01-01,0.182718
1941-01-01,0.186416
1942-01-01,0.207167
1943-01-01,0.220453
1944-01-01,0.240451
1945-01-01,0.590478
1946-01-01,0.593628
1947-01-01,0.727722
1948-01-01,0.844803
1949-01-01,0.977024
1950-01-01,1.100162
1951-01-01,1.751175
1952-01-01,2.475869
1953-01-01,2.296209
1954-01-01,2.831150
1955-01-01,2.959334
1956-01-01,3.338839
1957-01-01,3.562909
1958-01-01,3.556853
1959-01-01,4.175568
1960-01-01,4.584344
1961-01-01,4.648940
1962-01-01,5.901510
1963-01-01,6.514169
1964-01-01,7.250974
1965-01-01,8.355173
1966-01-01,9.223191
1967-01-01,9.748039
1968-01-01,10.358679
1969-01-01,11.396263
1970-01-01,11.708143
1971-01-01,12.211732
1972-01-01,13.345509
1973-01-01,16.727566
1974-01-01,20.038543
1975-01-01,21.009026
1976-01-01,22.276409
1977-01-01,22.893870
1978-01-01,23.605099
1979-01-01,24.298816
1980-01-01,28.879059
1981-01-01,33.137780
1982-01-01,39.549263
1983-01-01,46.981715
1984-01-01,52.875624
1985-01-01,55.094549
1986-01-01,56.902784
1987-01-01,63.827504
1988-01-01,87.175824
1989-01-01,106.405184
1990-01-01,100.000000
1991-01-01,85.259812
1992-01-01,69.732020
1993-01-01,64.659798
1994-01-01,68.881815
1995-01-01,66.151192
1996-01-01,70.253203
1997-01-01,83.277999
1998-01-01,91.630155
1999-01-01,99.548126
2000-01-01,105.517925
2001-01-01,104.162939
2002-01-01,112.688912
2003-01-01,119.635341
2004-01-01,128.130491
2005-01-01,136.030496
2006-01-01,147.347579
2007-01-01,155.715958
2008-01-01,157.223075
2009-01-01,158.397055
2010-01-01,172.818921
2011-01-01,178.222700
2012-01-01,183.128154
2013-01-01,186.037202
2014-01-01,185.296018
2015-01-01,185.296018
2016-01-01,186.782092
2017-01-01,189.691240
2018-01-01,191.664642
2019-01-01,193.610251
2020-01-01,197.089183
