date,value
1870-01-01,0.088500
1871-01-01,0.092372
1872-01-01,0.060410
1873-01-01,0.050403
1874-01-01,0.056731
1875-01-01,0.017638
1876-01-01,0.008397
1877-01-01,0.058000
1878-01-01,0.088999
1879-01-01,0.051195
1880-01-01,0.062239
1881-01-01,0.044732
1882-01-01,0.042400
1883-01-01,0.063330
1884-01-01,0.058327
1885-01-01,0.045654
1886-01-01,0.056992
1887-01-01,0.029906
1888-01-01,0.051681
1889-01-01,0.066830
1890-01-01,0.009238
1891-01-01,0.000377
1892-01-01,0.029646
1893-01-01,0.103500
1894-01-01,0.080134
1895-01-01,0.064024
1896-01-01,0.047786
1897-01-01,0.037350
1898-01-01,0.053164
1899-01-01,0.002390
1900-01-01,-0.014481
1901-01-01,0.090369
1902-01-01,0.045518
1903-01-01,0.021095
1904-01-01,-0.035053
1905-01-01,0.070575
1906-01-01,-0.018292
1907-01-01,0.041696
1908-01-01,0.061720
1909-01-01,0.086317
1910-01-01,0.074212
1911-01-01,0.052869
1912-01-01,-0.017003
1913-01-01,0.055330
1914-01-01,0.039144
1915-01-01,-0.010878
1916-01-01,0.040894
1917-01-01,-0.082277
1918-01-01,0.191462
1919-01-01,-0.059214
1920-01-01,-0.007260
1921-01-01,0.064708
1922-01-01,0.295685
1923-01-01,0.198339
1924-01-01,0.118577
1925-01-01,0.080789
1926-01-01,0.068169
1927-01-01,0.083516
1928-01-01,0.055542
1929-01-01,0.065536
1930-01-01,0.067793
1931-01-01,0.069453
1932-01-01,0.065500
1933-01-01,0.105469
1934-01-01,0.059549
1935-01-01,0.050205
1936-01-01,0.053246
1937-01-01,0.045250
1938-01-01,0.040475
1939-01-01,0.040325
1940-01-01,0.039300
1941-01-01,0.038925
1942-01-01,0.038925
1943-01-01,0.039175
1944-01-01,0.039325
1945-01-01,0.039100
1946-01-01,0.038925
1947-01-01,0.012850
1948-01-01,-0.038363
1949-01-01,0.129076
1950-01-01,0.015687
1951-01-01,0.165949
1952-01-01,0.044203
1953-01-01,0.077441
1954-01-01,0.049378
1955-01-01,0.062031
1956-01-01,0.071110
1957-01-01,0.096826
1958-01-01,0.095051
1959-01-01,0.082653
1960-01-01,0.084679
1961-01-01,0.022098
1962-01-01,0.274734
1963-01-01,0.098724
1964-01-01,0.037788
1965-01-01,0.113623
1966-01-01,0.060436
1967-01-01,0.010773
1968-01-01,0.184362
1969-01-01,0.060947
1970-01-01,0.056000
1971-01-01,0.068188
1972-01-01,0.084254
1973-01-01,0.012594
1974-01-01,0.043652
1975-01-01,0.054924
1976-01-01,0.047729
1977-01-01,0.083386
1978-01-01,0.182421
1979-01-01,0.067900
1980-01-01,0.077465
1981-01-01,0.121229
1982-01-01,0.120430
1983-01-01,0.120876
1984-01-01,0.137480
1985-01-01,0.136913
1986-01-01,0.134052
1987-01-01,0.047954
1988-01-01,0.094556
1989-01-01,0.103689
1990-01-01,0.123119
1991-01-01,0.134738
1992-01-01,0.132258
1993-01-01,0.216878
1994-01-01,-0.030292
1995-01-01,0.162423
1996-01-01,0.096456
1997-01-01,0.076034
1998-01-01,0.102946
1999-01-01,-0.009941
2000-01-01,0.066764
2001-01-01,0.039718
2002-01-01,0.072742
2003-01-01,0.032323
2004-01-01,0.059174
2005-01-01,0.050865
2006-01-01,0.014020
2007-01-01,0.029865
2008-01-01,0.063659
2009-01-01,0.030051
2010-01-01,0.044962
2011-01-01,0.059297
2012-01-01,0.053478
2013-01-01,-0.013515
2014-01-01,0.087397
2015-01-01,0.000459
2016-01-01,0.017591
2017-01-01,-0.011263
2018-01-01,-0.004054
2019-01-01,0.013192
2020-01-01,-0.002844
