date,value
1870-01-01,0.060000
1871-01-01,0.055000
1872-01-01,0.050000
1873-01-01,0.047500
1874-01-01,0.035000
1875-01-01,0.032500
1876-01-01,0.025000
1877-01-01,0.020000
1878-01-01,0.030000
1879-01-01,0.028750
1880-01-01,0.025200
1881-01-01,0.036800
1882-01-01,0.034100
1883-01-01,0.026700
1884-01-01,0.024800
1885-01-01,0.024500
1886-01-01,0.022000
1887-01-01,0.024200
1888-01-01,0.027300
1889-01-01,0.025400
1890-01-01,0.026200
1891-01-01,0.025100
1892-01-01,0.018100
1893-01-01,0.022200
1894-01-01,0.017900
1895-01-01,0.016300
1896-01-01,0.017100
1897-01-01,0.018200
1898-01-01,0.019900
1899-01-01,0.028400
1900-01-01,0.030400
1901-01-01,0.024100
1902-01-01,0.023900
1903-01-01,0.027000
1904-01-01,0.021400
1905-01-01,0.021100
1906-01-01,0.026800
1907-01-01,0.033500
1908-01-01,0.021400
1909-01-01,0.017500
1910-01-01,0.023900
1911-01-01,0.026100
1912-01-01,0.031200
1913-01-01,0.038200
1914-01-01,0.028700
1922-01-01,0.042900
1923-01-01,0.043900
1924-01-01,0.052100
1925-01-01,0.056900
1926-01-01,0.056600
1927-01-01,0.029100
1928-01-01,0.030200
1929-01-01,0.034700
1930-01-01,0.023500
1931-01-01,0.015600
1932-01-01,0.013000
1933-01-01,0.016300
1934-01-01,0.020200
1935-01-01,0.032400
1936-01-01,0.036800
1937-01-01,0.038300
1938-01-01,0.027600
1939-01-01,0.020500
1940-01-01,0.017200
1941-01-01,0.016700
1942-01-01,0.016200
1943-01-01,0.016500
1944-01-01,0.016400
1945-01-01,0.013700
1946-01-01,0.013100
1947-01-01,0.015700
1948-01-01,0.020900
1949-01-01,0.025200
1950-01-01,0.024300
1951-01-01,0.027000
1952-01-01,0.037100
1953-01-01,0.040400
1954-01-01,0.035900
1955-01-01,0.031600
1956-01-01,0.031900
1957-01-01,0.053500
1958-01-01,0.064900
1959-01-01,0.040700
1960-01-01,0.040800
1961-01-01,0.036500
1962-01-01,0.036100
1963-01-01,0.039800
1964-01-01,0.047400
1965-01-01,0.042100
1966-01-01,0.047800
1967-01-01,0.048000
1968-01-01,0.061500
1969-01-01,0.089600
1970-01-01,0.086800
1971-01-01,0.058400
1972-01-01,0.049500
1973-01-01,0.089100
1974-01-01,0.129100
1975-01-01,0.079200
1976-01-01,0.085600
1977-01-01,0.090700
1978-01-01,0.079800
1979-01-01,0.090400
1980-01-01,0.118500
1981-01-01,0.153000
1982-01-01,0.148700
1983-01-01,0.125333
1984-01-01,0.117408
1985-01-01,0.099342
1986-01-01,0.077425
1987-01-01,0.079758
1988-01-01,0.075233
1989-01-01,0.090717
1990-01-01,0.098467
1991-01-01,0.094907
1992-01-01,0.103517
1993-01-01,0.087492
1994-01-01,0.056925
1995-01-01,0.063542
1996-01-01,0.037283
1997-01-01,0.032408
1998-01-01,0.033925
1999-01-01,0.027305
2000-01-01,0.042405
2001-01-01,0.042579
2002-01-01,0.032951
2003-01-01,0.022755
2004-01-01,0.020249
2005-01-01,0.020710
2006-01-01,0.028892
2007-01-01,0.038640
2008-01-01,0.036189
2009-01-01,0.006472
2010-01-01,0.003763
2011-01-01,0.006934
2012-01-01,0.000493
2013-01-01,0.000431
2014-01-01,0.000573
2015-01-01,-0.001991
2016-01-01,-0.003194
2017-01-01,-0.003534
2018-01-01,-0.003629
2019-01-01,-0.003917
2020-01-01,-0.004963
