date,value
1870-01-01,-0.213805
1871-01-01,0.095747
1872-01-01,-0.008293
1873-01-01,0.162426
1874-01-01,0.121518
1875-01-01,0.108474
1876-01-01,0.103642
1877-01-01,0.088178
1878-01-01,0.095904
1879-01-01,0.106777
1880-01-01,0.076054
1881-01-01,0.039599
1882-01-01,-0.032909
1883-01-01,0.002050
1884-01-01,0.065753
1885-01-01,0.053104
1886-01-01,0.077668
1887-01-01,0.012824
1888-01-01,0.053288
1889-01-01,0.091632
1890-01-01,0.122232
1891-01-01,0.036002
1892-01-01,0.069050
1893-01-01,0.031126
1894-01-01,0.060847
1895-01-01,0.021061
1896-01-01,0.045699
1897-01-01,0.035165
1898-01-01,0.016474
1899-01-01,0.008621
1900-01-01,0.040602
1901-01-01,0.029815
1902-01-01,0.014787
1903-01-01,0.013269
1904-01-01,-0.023891
1905-01-01,0.105701
1906-01-01,-0.010888
1907-01-01,0.030166
1908-01-01,0.045191
1909-01-01,0.048972
1910-01-01,0.020309
1911-01-01,0.006022
1912-01-01,-0.019543
1913-01-01,-0.020161
1914-01-01,-0.142297
1915-01-01,-0.048621
1916-01-01,-0.009596
1917-01-01,0.021742
1918-01-01,0.106191
1919-01-01,0.004498
1920-01-01,-0.012266
1921-01-01,0.024497
1922-01-01,0.136760
1923-01-01,-0.014654
1924-01-01,-0.034854
1925-01-01,-0.020186
1926-01-01,0.128705
1927-01-01,0.224215
1928-01-01,0.177058
1929-01-01,0.297684
1930-01-01,0.103961
1931-01-01,-0.005038
1932-01-01,-0.040076
1933-01-01,-0.096964
1934-01-01,0.205162
1935-01-01,0.003634
1936-01-01,0.074575
1937-01-01,-0.037562
1938-01-01,0.197067
1939-01-01,-0.080826
1940-01-01,0.236281
1941-01-01,0.150374
1942-01-01,0.043433
1943-01-01,0.022033
1944-01-01,0.083153
1945-01-01,0.018399
1946-01-01,-0.056936
1947-01-01,-0.212181
1948-01-01,-0.055988
1949-01-01,0.028760
1950-01-01,-0.025585
1951-01-01,-0.082338
1952-01-01,0.271728
1953-01-01,-0.000658
1954-01-01,0.090020
1955-01-01,0.075338
1956-01-01,-0.033567
1957-01-01,0.032509
1958-01-01,0.116404
1959-01-01,0.147627
1960-01-01,0.044635
1961-01-01,0.057964
1962-01-01,0.067944
1963-01-01,0.031174
1964-01-01,0.043845
1965-01-01,0.041485
1966-01-01,-0.029219
1967-01-01,0.056465
1968-01-01,0.011068
1969-01-01,-0.032305
1970-01-01,-0.096876
1971-01-01,0.043283
1972-01-01,0.089894
1973-01-01,-0.015124
1974-01-01,-0.028779
1975-01-01,0.208751
1976-01-01,0.042499
1977-01-01,0.089172
1978-01-01,0.163099
1979-01-01,-0.061515
1980-01-01,-0.019866
1981-01-01,0.008606
1982-01-01,0.216356
1983-01-01,0.239156
1984-01-01,0.218222
1985-01-01,0.208900
1986-01-01,0.220321
1987-01-01,-0.001697
1988-01-01,0.183881
1989-01-01,0.055635
1990-01-01,0.035571
1991-01-01,0.173157
1992-01-01,0.082407
1993-01-01,0.338206
1994-01-01,-0.123387
1995-01-01,0.171141
1996-01-01,0.175833
1997-01-01,0.176914
1998-01-01,0.228772
1999-01-01,-0.092720
2000-01-01,0.088729
2001-01-01,0.076124
2002-01-01,0.093550
2003-01-01,0.053240
2004-01-01,0.144771
2005-01-01,0.144855
2006-01-01,0.019455
2007-01-01,-0.096614
2008-01-01,0.221317
2009-01-01,-0.064044
2010-01-01,0.093898
2011-01-01,0.002217
2012-01-01,0.189128
2013-01-01,-0.038718
2014-01-01,0.323830
2015-01-01,0.000143
2016-01-01,0.035277
2017-01-01,0.035844
2018-01-01,0.009597
2019-01-01,0.077446
2020-01-01,0.039300
