date,value
1871-01-01,0.038141
1872-01-01,0.039643
1873-01-01,0.059803
1874-01-01,0.011102
1875-01-01,0.099238
1876-01-01,0.098723
1877-01-01,0.094335
1878-01-01,0.091604
1879-01-01,0.146679
1880-01-01,0.131932
1881-01-01,0.126193
1882-01-01,-0.024060
1883-01-01,0.034521
1884-01-01,0.022016
1885-01-01,0.043565
1886-01-01,0.044581
1887-01-01,0.039483
1888-01-01,0.043736
1889-01-01,0.079055
1890-01-01,0.074031
1891-01-01,0.037571
1892-01-01,0.039351
1893-01-01,0.065209
1894-01-01,0.023018
1895-01-01,0.017805
1896-01-01,0.055768
1897-01-01,0.067039
1898-01-01,0.039681
1899-01-01,0.058660
1900-01-01,0.072089
1901-01-01,0.020992
1902-01-01,0.033763
1903-01-01,0.043758
1904-01-01,0.032632
1905-01-01,0.046108
1906-01-01,0.037949
1907-01-01,0.041822
1908-01-01,0.051437
1909-01-01,0.062790
1910-01-01,0.061735
1911-01-01,0.059397
1912-01-01,0.042833
1913-01-01,0.031221
1914-01-01,-0.000877
1922-01-01,0.116875
1923-01-01,0.091287
1924-01-01,0.051552
1925-01-01,0.074084
1926-01-01,0.131516
1927-01-01,0.134158
1928-01-01,0.155669
1929-01-01,0.113176
1930-01-01,0.071799
1931-01-01,0.011727
1932-01-01,0.072871
1933-01-01,-0.000249
1934-01-01,0.056109
1935-01-01,0.009432
1936-01-01,0.054471
1937-01-01,0.101736
1938-01-01,0.061939
1939-01-01,0.013751
1940-01-01,0.168819
1941-01-01,0.178642
1942-01-01,0.287992
1943-01-01,0.216321
1944-01-01,0.092294
1945-01-01,0.017705
1946-01-01,0.191716
1947-01-01,0.093971
1948-01-01,0.157376
1949-01-01,0.194748
1950-01-01,0.078133
1951-01-01,0.159157
1952-01-01,0.227267
1953-01-01,0.153793
1954-01-01,0.296905
1955-01-01,0.182133
1956-01-01,0.228603
1957-01-01,0.223399
1958-01-01,0.191261
1959-01-01,0.240168
1960-01-01,0.168675
1961-01-01,0.146139
1962-01-01,0.125172
1963-01-01,0.168586
1964-01-01,0.199225
1965-01-01,0.194827
1966-01-01,0.098260
1967-01-01,0.091578
1968-01-01,0.129055
1969-01-01,0.161605
1970-01-01,0.061726
1971-01-01,0.091102
1972-01-01,0.142945
1973-01-01,0.128758
1974-01-01,0.155320
1975-01-01,0.182300
1976-01-01,0.179289
1977-01-01,0.174349
1978-01-01,0.186106
1979-01-01,0.152723
1980-01-01,0.211134
1981-01-01,0.133482
1982-01-01,0.112906
1983-01-01,0.133148
1984-01-01,0.102703
1985-01-01,0.115211
1986-01-01,0.136724
1987-01-01,0.074192
1988-01-01,0.210595
1989-01-01,0.173037
1990-01-01,0.079600
1991-01-01,0.109427
1992-01-01,0.035380
1993-01-01,0.116904
1994-01-01,0.003575
1995-01-01,0.054858
1996-01-01,0.107027
1997-01-01,0.101793
1998-01-01,0.140088
1999-01-01,0.219903
2000-01-01,0.083625
2001-01-01,0.031410
2002-01-01,0.040744
2003-01-01,0.144100
2004-01-01,0.158415
2005-01-01,0.187803
2006-01-01,0.146862
2007-01-01,0.062969
2008-01-01,-0.002878
2009-01-01,0.006413
2010-01-01,0.068982
2011-01-01,0.045844
2012-01-01,0.059850
2013-01-01,0.033967
2014-01-01,0.043317
2015-01-01,0.026447
2016-01-01,0.043602
2017-01-01,0.077822
2018-01-01,0.015456
2019-01-01,0.109376
2020-01-01,0.043122
