date,value
1870-01-01,0.061860
1871-01-01,0.064580
1872-01-01,0.063900
1873-01-01,0.063900
1874-01-01,0.063900
1875-01-01,0.062540
1876-01-01,0.064580
1877-01-01,0.064580
1878-01-01,0.063220
1879-01-01,0.063220
1880-01-01,0.063900
1881-01-01,0.063220
1882-01-01,0.063220
1883-01-01,0.064580
1884-01-01,0.064580
1885-01-01,0.063220
1886-01-01,0.063220
1887-01-01,0.062540
1888-01-01,0.063220
1889-01-01,0.062540
1890-01-01,0.062540
1891-01-01,0.063220
1892-01-01,0.062540
1893-01-01,0.061860
1894-01-01,0.062540
1895-01-01,0.061860
1896-01-01,0.061860
1897-01-01,0.060501
1898-01-01,0.061181
1899-01-01,0.061181
1900-01-01,0.061860
1901-01-01,0.061860
1902-01-01,0.061860
1903-01-01,0.061181
1904-01-01,0.061181
1905-01-01,0.061181
1906-01-01,0.061860
1907-01-01,0.062540
1908-01-01,0.063220
1909-01-01,0.063220
1910-01-01,0.063900
1911-01-01,0.066619
1912-01-01,0.066619
1913-01-01,0.066619
1914-01-01,0.067978
1915-01-01,0.079975
1916-01-01,0.091971
1917-01-01,0.107966
1918-01-01,0.139956
1919-01-01,0.175944
1920-01-01,0.243923
1921-01-01,0.211933
1922-01-01,0.203935
1923-01-01,0.227928
1924-01-01,0.259918
1925-01-01,0.275912
1926-01-01,0.359886
1927-01-01,0.375881
1928-01-01,0.375881
1929-01-01,0.399873
1930-01-01,0.403872
1931-01-01,0.387877
1932-01-01,0.351888
1933-01-01,0.339892
1934-01-01,0.327896
1935-01-01,0.299905
1936-01-01,0.319898
1937-01-01,0.403872
1938-01-01,0.459854
1939-01-01,0.487845
1940-01-01,0.579816
1941-01-01,0.679784
1942-01-01,0.819740
1943-01-01,1.015678
1944-01-01,1.243605
1945-01-01,1.843415
1946-01-01,2.811108
1947-01-01,4.194669
1948-01-01,6.653888
1949-01-01,7.498826
1950-01-01,8.238147
1951-01-01,9.611172
1952-01-01,10.772962
1953-01-01,10.561727
1954-01-01,10.561727
1955-01-01,10.667345
1956-01-01,10.984197
1957-01-01,11.512283
1958-01-01,13.202159
1959-01-01,14.047097
1960-01-01,14.575184
1961-01-01,14.997653
1962-01-01,15.736974
1963-01-01,16.476295
1964-01-01,17.004381
1965-01-01,17.532468
1966-01-01,18.052511
1967-01-01,18.556497
1968-01-01,19.399556
1969-01-01,20.572446
1970-01-01,21.662712
1971-01-01,22.831961
1972-01-01,24.216264
1973-01-01,26.003569
1974-01-01,29.552879
1975-01-01,33.006407
1976-01-01,36.183437
1977-01-01,39.618894
1978-01-01,43.283863
1979-01-01,47.892180
1980-01-01,54.387595
1981-01-01,61.628980
1982-01-01,69.011190
1983-01-01,75.539337
1984-01-01,81.336077
1985-01-01,86.078864
1986-01-01,88.263999
1987-01-01,91.166912
1988-01-01,93.629162
1989-01-01,96.904593
1990-01-01,100.000000
1991-01-01,103.213407
1992-01-01,105.653125
1993-01-01,107.876556
1994-01-01,109.662469
1995-01-01,111.632535
1996-01-01,113.846078
1997-01-01,115.216720
1998-01-01,115.966927
1999-01-01,116.589833
2000-01-01,118.543832
2001-01-01,120.481764
2002-01-01,122.799125
2003-01-01,125.376030
2004-01-01,128.061697
2005-01-01,130.297487
2006-01-01,132.480132
2007-01-01,134.451434
2008-01-01,138.233368
2009-01-01,138.354488
2010-01-01,140.472865
2011-01-01,143.439087
2012-01-01,146.242167
2013-01-01,147.505284
2014-01-01,148.254255
2015-01-01,148.309871
2016-01-01,148.581775
2017-01-01,150.115559
2018-01-01,152.893920
2019-01-01,154.588375
2020-01-01,155.324987
