date,value
1870-01-01,-0.210457
1871-01-01,0.221278
1872-01-01,0.117524
1873-01-01,0.077719
1874-01-01,0.095818
1875-01-01,0.158124
1876-01-01,0.068321
1877-01-01,0.052489
1878-01-01,0.091324
1879-01-01,0.117694
1880-01-01,0.226417
1881-01-01,0.265967
1882-01-01,-0.169967
1883-01-01,-0.036527
1884-01-01,0.051439
1885-01-01,0.022319
1886-01-01,0.041224
1887-01-01,0.022941
1888-01-01,0.037947
1889-01-01,0.056867
1890-01-01,0.099711
1891-01-01,0.022634
1892-01-01,0.000782
1893-01-01,0.084155
1894-01-01,-0.009491
1895-01-01,0.029275
1896-01-01,0.085238
1897-01-01,0.102924
1898-01-01,0.042982
1899-01-01,0.035471
1900-01-01,0.039700
1901-01-01,-0.054380
1902-01-01,0.007407
1903-01-01,0.028068
1904-01-01,0.062934
1905-01-01,0.054041
1906-01-01,0.028873
1907-01-01,0.017496
1908-01-01,0.063053
1909-01-01,0.094914
1910-01-01,0.033485
1911-01-01,0.076988
1912-01-01,0.063031
1913-01-01,0.002376
1914-01-01,-0.110478
1915-01-01,-0.095447
1916-01-01,0.156252
1917-01-01,0.049521
1918-01-01,0.103420
1919-01-01,0.080836
1920-01-01,-0.066669
1921-01-01,-0.045455
1922-01-01,0.233324
1923-01-01,0.263185
1924-01-01,0.034148
1925-01-01,0.151279
1926-01-01,0.245032
1927-01-01,0.254219
1928-01-01,0.483609
1929-01-01,0.000898
1930-01-01,-0.267862
1931-01-01,-0.319049
1932-01-01,0.239229
1933-01-01,0.011747
1934-01-01,-0.073798
1935-01-01,0.007045
1936-01-01,0.176338
1937-01-01,-0.052772
1938-01-01,0.058855
1939-01-01,0.164533
1940-01-01,0.474044
1941-01-01,0.528988
1942-01-01,0.536352
1943-01-01,-0.176938
1944-01-01,-0.116839
1945-01-01,-0.200522
1946-01-01,0.273203
1947-01-01,-0.184583
1948-01-01,-0.107391
1949-01-01,-0.157851
1950-01-01,-0.150761
1951-01-01,0.442947
1952-01-01,0.139452
1953-01-01,0.231602
1954-01-01,1.158557
1955-01-01,-0.036632
1956-01-01,0.031505
1957-01-01,0.142936
1958-01-01,-0.085195
1959-01-01,0.267386
1960-01-01,-0.071777
1961-01-01,0.049008
1962-01-01,-0.105879
1963-01-01,-0.182572
1964-01-01,-0.079806
1965-01-01,-0.047821
1966-01-01,-0.171618
1967-01-01,-0.021921
1968-01-01,0.173950
1969-01-01,0.236621
1970-01-01,-0.087623
1971-01-01,-0.056786
1972-01-01,0.169524
1973-01-01,-0.031703
1974-01-01,-0.271349
1975-01-01,0.319503
1976-01-01,-0.112927
1977-01-01,-0.168030
1978-01-01,0.620944
1979-01-01,0.090084
1980-01-01,0.088025
1981-01-01,-0.111612
1982-01-01,0.104017
1983-01-01,0.586689
1984-01-01,0.144837
1985-01-01,0.371058
1986-01-01,0.382412
1987-01-01,-0.237587
1988-01-01,0.623500
1989-01-01,0.308611
1990-01-01,-0.219634
1991-01-01,0.166290
1992-01-01,0.047604
1993-01-01,0.364410
1994-01-01,-0.143127
1995-01-01,0.018923
1996-01-01,0.305954
1997-01-01,0.277679
1998-01-01,0.312966
1999-01-01,0.556279
2000-01-01,0.005336
2001-01-01,-0.192384
2002-01-01,-0.292727
2003-01-01,0.212229
2004-01-01,0.129978
2005-01-01,0.284331
2006-01-01,0.225609
2007-01-01,0.030629
2008-01-01,-0.408925
2009-01-01,0.290320
2010-01-01,0.041892
2011-01-01,-0.133890
2012-01-01,0.203687
2013-01-01,0.222173
2014-01-01,0.027084
2015-01-01,0.119446
2016-01-01,0.089400
2017-01-01,0.185100
2018-01-01,-0.074500
2019-01-01,0.283700
2020-01-01,-0.008400
