date,value
1871-01-01,-0.028789
1872-01-01,0.033229
1873-01-01,0.027052
1874-01-01,-0.051265
1875-01-01,0.101132
1876-01-01,0.128580
1877-01-01,0.130831
1878-01-01,0.108479
1879-01-01,0.203272
1880-01-01,0.143750
1881-01-01,0.112314
1882-01-01,0.021304
1883-01-01,0.074102
1884-01-01,-0.004647
1885-01-01,0.055695
1886-01-01,0.042406
1887-01-01,0.060837
1888-01-01,0.048399
1889-01-01,0.100495
1890-01-01,0.065180
1891-01-01,0.047305
1892-01-01,0.050949
1893-01-01,0.082693
1894-01-01,0.024969
1895-01-01,0.012350
1896-01-01,0.059202
1897-01-01,0.077664
1898-01-01,0.050588
1899-01-01,0.088925
1900-01-01,0.103541
1901-01-01,0.046185
1902-01-01,0.052238
1903-01-01,0.062588
1904-01-01,0.039866
1905-01-01,0.032987
1906-01-01,0.057383
1907-01-01,0.055576
1908-01-01,0.056223
1909-01-01,0.066262
1910-01-01,0.092245
1911-01-01,0.073301
1912-01-01,0.051838
1913-01-01,0.051107
1914-01-01,0.071949
1915-01-01,0.096439
1916-01-01,0.152543
1917-01-01,-0.015880
1918-01-01,0.012554
1919-01-01,0.047889
1920-01-01,0.032074
1921-01-01,0.106330
1922-01-01,0.150006
1923-01-01,0.208175
1924-01-01,0.147038
1925-01-01,0.175174
1926-01-01,0.159084
1927-01-01,0.099193
1928-01-01,0.063769
1929-01-01,0.102888
1930-01-01,0.209158
1931-01-01,0.110201
1932-01-01,0.092316
1933-01-01,0.040283
1934-01-01,0.027815
1935-01-01,-0.003164
1936-01-01,0.004063
1937-01-01,0.250693
1938-01-01,0.012186
1939-01-01,0.010251
1940-01-01,0.104909
1941-01-01,0.133007
1942-01-01,0.405180
1943-01-01,0.547369
1944-01-01,0.224245
1945-01-01,0.131226
1946-01-01,0.301696
1947-01-01,0.284074
1948-01-01,0.306580
1949-01-01,0.321575
1950-01-01,0.135278
1951-01-01,0.203338
1952-01-01,0.266049
1953-01-01,0.201637
1954-01-01,0.207008
1955-01-01,0.285564
1956-01-01,0.366778
1957-01-01,0.316845
1958-01-01,0.301304
1959-01-01,0.284261
1960-01-01,0.295883
1961-01-01,0.214615
1962-01-01,0.229944
1963-01-01,0.304639
1964-01-01,0.302749
1965-01-01,0.277156
1966-01-01,0.162804
1967-01-01,0.117476
1968-01-01,0.136816
1969-01-01,0.166940
1970-01-01,0.101616
1971-01-01,0.121054
1972-01-01,0.151426
1973-01-01,0.165945
1974-01-01,0.206128
1975-01-01,0.174824
1976-01-01,0.213449
1977-01-01,0.203533
1978-01-01,0.164575
1979-01-01,0.178687
1980-01-01,0.245350
1981-01-01,0.154494
1982-01-01,0.099974
1983-01-01,0.096700
1984-01-01,0.085747
1985-01-01,0.080857
1986-01-01,0.095335
1987-01-01,0.120449
1988-01-01,0.157028
1989-01-01,0.167345
1990-01-01,0.131813
1991-01-01,0.094232
1992-01-01,0.018486
1993-01-01,0.030626
1994-01-01,0.045130
1995-01-01,0.039175
1996-01-01,0.058595
1997-01-01,0.045363
1998-01-01,0.072466
1999-01-01,0.119045
2000-01-01,0.136204
2001-01-01,0.123307
2002-01-01,0.129060
2003-01-01,0.157749
2004-01-01,0.187737
2005-01-01,0.186819
2006-01-01,0.149802
2007-01-01,0.092698
2008-01-01,0.034268
2009-01-01,-0.044755
2010-01-01,0.080006
2011-01-01,0.087043
2012-01-01,0.022059
2013-01-01,0.005948
2014-01-01,0.010194
2015-01-01,0.010631
2016-01-01,0.038117
2017-01-01,0.058877
2018-01-01,0.058761
2019-01-01,0.059438
2020-01-01,0.082069
