date,value
1870-01-01,0.020459
1871-01-01,0.018764
1872-01-01,0.018285
1873-01-01,0.017678
1874-01-01,0.015664
1875-01-01,0.016143
1876-01-01,0.017070
1877-01-01,0.018125
1878-01-01,0.018892
1879-01-01,0.021513
1880-01-01,0.023368
1881-01-01,0.024742
1882-01-01,0.023975
1883-01-01,0.024454
1884-01-01,0.023048
1885-01-01,0.023048
1886-01-01,0.022760
1887-01-01,0.022888
1888-01-01,0.022760
1889-01-01,0.023815
1890-01-01,0.024135
1891-01-01,0.024135
1892-01-01,0.024135
1893-01-01,0.024902
1894-01-01,0.024295
1895-01-01,0.023368
1896-01-01,0.023527
1897-01-01,0.024135
1898-01-01,0.024135
1899-01-01,0.025062
1900-01-01,0.026436
1901-01-01,0.026436
1902-01-01,0.026596
1903-01-01,0.027044
1904-01-01,0.026916
1905-01-01,0.026596
1906-01-01,0.026916
1907-01-01,0.027204
1908-01-01,0.027523
1909-01-01,0.028131
1910-01-01,0.029505
1911-01-01,0.030432
1912-01-01,0.030752
1913-01-01,0.031040
1914-01-01,0.031967
1915-01-01,0.033734
1916-01-01,0.037564
1917-01-01,0.035649
1918-01-01,0.034765
1919-01-01,0.035060
1920-01-01,0.034765
1921-01-01,0.036975
1922-01-01,0.040805
1923-01-01,0.047287
1924-01-01,0.052001
1925-01-01,0.058630
1926-01-01,0.065112
1927-01-01,0.068500
1928-01-01,0.069531
1929-01-01,0.072919
1930-01-01,0.084115
1931-01-01,0.089271
1932-01-01,0.093248
1933-01-01,0.092659
1934-01-01,0.090891
1935-01-01,0.086177
1936-01-01,0.082347
1937-01-01,0.098660
1938-01-01,0.095783
1939-01-01,0.092117
1940-01-01,0.096574
1941-01-01,0.103548
1942-01-01,0.138764
1943-01-01,0.207107
1944-01-01,0.244670
1945-01-01,0.265454
1946-01-01,0.331158
1947-01-01,0.406856
1948-01-01,0.505815
1949-01-01,0.629922
1950-01-01,0.669667
1951-01-01,0.755862
1952-01-01,0.900098
1953-01-01,1.017363
1954-01-01,1.156359
1955-01-01,1.406900
1956-01-01,1.811919
1957-01-01,2.267556
1958-01-01,2.813899
1959-01-01,3.458028
1960-01-01,4.237847
1961-01-01,4.871833
1962-01-01,5.694908
1963-01-01,7.015199
1964-01-01,8.616068
1965-01-01,10.430185
1966-01-01,11.504409
1967-01-01,12.166187
1968-01-01,13.083986
1969-01-01,14.452218
1970-01-01,15.043347
1971-01-01,15.939485
1972-01-01,17.385290
1973-01-01,19.227017
1974-01-01,22.073157
1975-01-01,24.706311
1976-01-01,28.629368
1977-01-01,32.989321
1978-01-01,36.837269
1979-01-01,41.673501
1980-01-01,49.935205
1981-01-01,55.431764
1982-01-01,58.541477
1983-01-01,61.532940
1984-01-01,63.933495
1985-01-01,66.042799
1986-01-01,69.110023
1987-01-01,74.022669
1988-01-01,82.013039
1989-01-01,91.903910
1990-01-01,100.000000
1991-01-01,105.204058
1992-01-01,102.712620
1993-01-01,101.232333
1994-01-01,101.045075
1995-01-01,100.124141
1996-01-01,101.002958
1997-01-01,100.530429
1998-01-01,102.656807
1999-01-01,109.626602
2000-01-01,119.313435
2001-01-01,128.764004
2002-01-01,139.986555
2003-01-01,156.525051
2004-01-01,180.210540
2005-01-01,207.971587
2006-01-01,233.015595
2007-01-01,248.313704
2008-01-01,250.381016
2009-01-01,232.602133
2010-01-01,244.533476
2011-01-01,259.063726
2012-01-01,257.882405
2013-01-01,252.444591
2014-01-01,247.823737
2015-01-01,243.202882
2016-01-01,245.391708
2017-01-01,252.930997
2018-01-01,260.654545
2019-01-01,269.229508
2020-01-01,284.250897
