date,value
1870-01-01,5.792000
1871-01-01,5.401000
1872-01-01,5.592000
1873-01-01,5.128000
1874-01-01,4.835000
1875-01-01,4.535000
1876-01-01,4.252000
1877-01-01,4.152000
1878-01-01,3.934000
1879-01-01,3.681000
1880-01-01,3.534000
1881-01-01,3.578000
1882-01-01,3.759000
1883-01-01,3.984000
1884-01-01,3.812000
1885-01-01,3.745000
1886-01-01,3.645000
1887-01-01,3.697000
1888-01-01,3.625000
1889-01-01,3.417000
1890-01-01,3.165000
1891-01-01,3.151000
1892-01-01,3.107000
1893-01-01,3.057000
1894-01-01,2.948000
1895-01-01,2.981000
1896-01-01,2.928000
1897-01-01,2.911000
1898-01-01,2.943000
1899-01-01,3.027000
1900-01-01,2.956000
1901-01-01,2.999000
1902-01-01,3.015000
1903-01-01,3.075000
1904-01-01,3.072000
1905-01-01,3.027000
1906-01-01,3.146000
1907-01-01,3.148000
1908-01-01,3.101000
1909-01-01,3.041000
1910-01-01,3.090000
1911-01-01,3.181000
1912-01-01,3.361000
1913-01-01,3.509000
1914-01-01,4.161000
1915-01-01,4.706000
1916-01-01,4.918000
1917-01-01,5.128000
1918-01-01,4.874000
1919-01-01,5.042000
1920-01-01,5.137000
1921-01-01,5.484000
1922-01-01,5.085000
1923-01-01,5.634000
1924-01-01,6.024000
1925-01-01,6.303000
1926-01-01,5.566000
1927-01-01,4.950000
1928-01-01,4.511000
1929-01-01,3.610000
1930-01-01,3.540000
1931-01-01,3.800000
1932-01-01,3.910000
1933-01-01,4.470000
1934-01-01,3.820000
1935-01-01,4.180000
1936-01-01,4.010000
1937-01-01,4.320000
1938-01-01,3.420000
1939-01-01,3.940000
1940-01-01,3.450000
1941-01-01,3.130000
1942-01-01,3.090000
1943-01-01,3.120000
1944-01-01,2.990000
1945-01-01,3.030000
1946-01-01,3.350000
1947-01-01,4.480000
1948-01-01,6.835277
1949-01-01,7.062720
1950-01-01,7.804904
1951-01-01,7.828846
1952-01-01,6.703599
1953-01-01,6.476155
1954-01-01,6.440243
1955-01-01,6.236741
1956-01-01,6.440243
1957-01-01,7.074691
1958-01-01,6.835277
1959-01-01,6.320536
1960-01-01,6.164917
1961-01-01,6.069151
1962-01-01,6.009298
1963-01-01,5.949444
1964-01-01,6.081122
1965-01-01,6.308565
1966-01-01,6.464185
1967-01-01,6.775423
1968-01-01,7.014837
1969-01-01,7.697168
1970-01-01,8.121990
1971-01-01,7.789521
1972-01-01,7.415073
1973-01-01,8.331043
1974-01-01,10.557579
1975-01-01,9.638251
1976-01-01,9.393937
1977-01-01,9.938817
1978-01-01,9.571926
1979-01-01,9.878368
1980-01-01,13.127500
1981-01-01,15.845000
1982-01-01,15.649167
1983-01-01,13.586667
1984-01-01,12.489167
1985-01-01,11.123333
1986-01-01,8.544167
1987-01-01,9.478333
1988-01-01,9.084167
1989-01-01,8.796667
1990-01-01,9.932500
1991-01-01,9.036667
1992-01-01,8.587500
1993-01-01,6.775000
1994-01-01,7.215833
1995-01-01,7.535000
1996-01-01,6.310833
1997-01-01,5.581667
1998-01-01,4.640000
1999-01-01,4.608333
2000-01-01,5.394167
2001-01-01,4.939167
2002-01-01,4.860000
2003-01-01,4.130000
2004-01-01,4.098333
2005-01-01,3.410000
2006-01-01,3.796667
2007-01-01,4.304167
2008-01-01,4.234167
2009-01-01,3.649192
2010-01-01,3.117017
2011-01-01,3.321058
2012-01-01,2.535992
2013-01-01,2.204350
2014-01-01,1.666442
2015-01-01,0.841858
2016-01-01,0.467883
2017-01-01,0.809858
2018-01-01,0.784108
2019-01-01,0.130200
2020-01-01,-0.145267
