date,value
1871-01-01,0.018803
1872-01-01,0.049270
1873-01-01,0.037319
1874-01-01,-0.022066
1875-01-01,0.113064
1876-01-01,0.114582
1877-01-01,0.112662
1878-01-01,0.104014
1879-01-01,0.179796
1880-01-01,0.165921
1881-01-01,0.160616
1882-01-01,-0.033523
1883-01-01,0.042885
1884-01-01,0.011692
1885-01-01,0.045813
1886-01-01,0.042060
1887-01-01,0.049847
1888-01-01,0.045443
1889-01-01,0.088852
1890-01-01,0.073946
1891-01-01,0.040745
1892-01-01,0.037403
1893-01-01,0.083114
1894-01-01,0.015383
1895-01-01,0.017389
1896-01-01,0.066599
1897-01-01,0.084411
1898-01-01,0.048645
1899-01-01,0.075158
1900-01-01,0.087123
1901-01-01,0.018424
1902-01-01,0.039808
1903-01-01,0.053202
1904-01-01,0.046403
1905-01-01,0.039070
1906-01-01,0.049410
1907-01-01,0.045387
1908-01-01,0.058132
1909-01-01,0.073986
1910-01-01,0.076390
1911-01-01,0.074265
1912-01-01,0.054676
1913-01-01,0.038235
1914-01-01,0.021103
1915-01-01,0.048460
1916-01-01,0.153406
1917-01-01,-0.002014
1918-01-01,0.029651
1919-01-01,0.053171
1920-01-01,0.019496
1921-01-01,0.080375
1922-01-01,0.166495
1923-01-01,0.221278
1924-01-01,0.120265
1925-01-01,0.169033
1926-01-01,0.178432
1927-01-01,0.142681
1928-01-01,0.202232
1929-01-01,0.069564
1930-01-01,0.079336
1931-01-01,0.019112
1932-01-01,0.132437
1933-01-01,0.032185
1934-01-01,0.001053
1935-01-01,-0.000097
1936-01-01,0.053290
1937-01-01,0.184108
1938-01-01,0.022184
1939-01-01,0.046255
1940-01-01,0.197961
1941-01-01,0.240078
1942-01-01,0.442999
1943-01-01,0.325837
1944-01-01,0.114066
1945-01-01,0.018483
1946-01-01,0.293686
1947-01-01,0.188051
1948-01-01,0.240551
1949-01-01,0.272133
1950-01-01,0.112263
1951-01-01,0.227351
1952-01-01,0.253545
1953-01-01,0.205107
1954-01-01,0.379779
1955-01-01,0.225365
1956-01-01,0.303956
1957-01-01,0.279017
1958-01-01,0.221776
1959-01-01,0.279724
1960-01-01,0.199445
1961-01-01,0.167496
1962-01-01,0.139464
1963-01-01,0.194105
1964-01-01,0.225783
1965-01-01,0.218947
1966-01-01,0.110660
1967-01-01,0.097335
1968-01-01,0.142257
1969-01-01,0.178281
1970-01-01,0.074066
1971-01-01,0.098210
1972-01-01,0.153975
1973-01-01,0.141067
1974-01-01,0.168807
1975-01-01,0.187032
1976-01-01,0.192765
1977-01-01,0.183925
1978-01-01,0.194604
1979-01-01,0.172874
1980-01-01,0.235543
1981-01-01,0.141733
1982-01-01,0.100130
1983-01-01,0.123906
1984-01-01,0.089535
1985-01-01,0.107171
1986-01-01,0.134309
1987-01-01,0.081670
1988-01-01,0.226708
1989-01-01,0.192178
1990-01-01,0.082102
1991-01-01,0.104532
1992-01-01,0.022460
1993-01-01,0.093515
1994-01-01,0.013453
1995-01-01,0.035808
1996-01-01,0.107174
1997-01-01,0.100915
1998-01-01,0.142601
1999-01-01,0.282447
2000-01-01,0.087797
2001-01-01,0.024841
2002-01-01,0.035035
2003-01-01,0.169989
2004-01-01,0.175908
2005-01-01,0.208991
2006-01-01,0.168173
2007-01-01,0.078431
2008-01-01,-0.028636
2009-01-01,0.013959
2010-01-01,0.073428
2011-01-01,0.055505
2012-01-01,0.051319
2013-01-01,0.047026
2014-01-01,0.013514
2015-01-01,0.033270
2016-01-01,0.053304
2017-01-01,0.098951
2018-01-01,0.019878
2019-01-01,0.133598
2020-01-01,0.052727
